index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1318230,Ministro Andreazza,2020-03-27,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
1318231,Ministro Andreazza,2020-03-28,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1318232,Ministro Andreazza,2020-03-29,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1318233,Ministro Andreazza,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1318234,Ministro Andreazza,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1318235,Ministro Andreazza,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1318236,Ministro Andreazza,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1318237,Ministro Andreazza,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1318238,Ministro Andreazza,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1318239,Ministro Andreazza,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1318240,Ministro Andreazza,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1318241,Ministro Andreazza,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1318242,Ministro Andreazza,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1318243,Ministro Andreazza,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1318244,Ministro Andreazza,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1318245,Ministro Andreazza,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1318246,Ministro Andreazza,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1318247,Ministro Andreazza,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1318248,Ministro Andreazza,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1318249,Ministro Andreazza,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1318250,Ministro Andreazza,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1318251,Ministro Andreazza,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1318252,Ministro Andreazza,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1318253,Ministro Andreazza,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1318254,Ministro Andreazza,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1318255,Ministro Andreazza,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1318256,Ministro Andreazza,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1318257,Ministro Andreazza,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1318258,Ministro Andreazza,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1318259,Ministro Andreazza,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1318260,Ministro Andreazza,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1318261,Ministro Andreazza,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1318262,Ministro Andreazza,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1318263,Ministro Andreazza,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1318264,Ministro Andreazza,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1318265,Ministro Andreazza,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1318266,Ministro Andreazza,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1318267,Ministro Andreazza,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1318268,Ministro Andreazza,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1318269,Ministro Andreazza,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1318270,Ministro Andreazza,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1318271,Ministro Andreazza,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1318272,Ministro Andreazza,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
