index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1227096,Montanhas,2020-03-27,0,0,0,0,6.714285714285714,0.42857142857142855,47.0,3.0
1227097,Montanhas,2020-03-28,0,0,0,0,6.571428571428571,0.42857142857142855,46.0,3.0
1227098,Montanhas,2020-03-29,0,0,0,0,6.0,0.14285714285714285,42.0,1.0
1227099,Montanhas,2020-03-30,0,0,0,0,4.142857142857143,-0.14285714285714285,29.0,-1.0
1227100,Montanhas,2020-03-31,0,0,0,0,2.5714285714285716,-0.14285714285714285,18.0,-1.0
1227101,Montanhas,2020-04-01,0,0,0,0,2.0,0.0,14.0,0.0
1227102,Montanhas,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
1227103,Montanhas,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
1227104,Montanhas,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
1227105,Montanhas,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
1227106,Montanhas,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
1227107,Montanhas,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
1227108,Montanhas,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
1227109,Montanhas,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
1227110,Montanhas,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
1227111,Montanhas,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
1227112,Montanhas,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
1227113,Montanhas,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
1227114,Montanhas,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
1227115,Montanhas,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
1227116,Montanhas,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
1227117,Montanhas,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
1227118,Montanhas,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
1227119,Montanhas,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
1227120,Montanhas,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
1227121,Montanhas,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
1227122,Montanhas,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
1227123,Montanhas,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
1227124,Montanhas,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
1227125,Montanhas,2020-04-25,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
1227126,Montanhas,2020-04-26,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1227127,Montanhas,2020-04-27,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1227128,Montanhas,2020-04-28,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1227129,Montanhas,2020-04-29,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1227130,Montanhas,2020-04-30,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1227131,Montanhas,2020-05-01,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1227132,Montanhas,2020-05-02,1,0,0,0,0.0,0.0,0.0,0.0
1227133,Montanhas,2020-05-03,1,0,0,0,0.0,0.0,0.0,0.0
1227134,Montanhas,2020-05-04,2,1,0,0,0.14285714285714285,0.0,1.0,0.0
1227135,Montanhas,2020-05-05,2,0,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1227136,Montanhas,2020-05-06,2,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1227137,Montanhas,2020-05-07,2,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1227138,Montanhas,2020-05-08,2,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1227139,Montanhas,2020-05-09,2,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1227140,Montanhas,2020-05-10,2,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1227141,Montanhas,2020-05-11,0,-2,0,-1,-0.2857142857142857,0.0,-2.0,0.0
