index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1285577,Monte Alegre de Sergipe,2020-03-27,0.0,0,0,0,11.285714285714286,0.2857142857142857,79.0,2.0
1285578,Monte Alegre de Sergipe,2020-03-28,0.0,0,0,0,10.142857142857142,0.14285714285714285,71.0,1.0
1285579,Monte Alegre de Sergipe,2020-03-29,0.0,0,0,0,10.142857142857142,0.14285714285714285,71.0,1.0
1285580,Monte Alegre de Sergipe,2020-03-30,0.0,0,0,0,8.285714285714286,0.14285714285714285,58.0,1.0
1285581,Monte Alegre de Sergipe,2020-03-31,0.0,0,0,0,8.285714285714286,0.0,58.0,0.0
1285582,Monte Alegre de Sergipe,2020-04-01,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
1285583,Monte Alegre de Sergipe,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1285584,Monte Alegre de Sergipe,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1285585,Monte Alegre de Sergipe,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1285586,Monte Alegre de Sergipe,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1285587,Monte Alegre de Sergipe,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1285588,Monte Alegre de Sergipe,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1285589,Monte Alegre de Sergipe,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1285590,Monte Alegre de Sergipe,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1285591,Monte Alegre de Sergipe,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1285592,Monte Alegre de Sergipe,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1285593,Monte Alegre de Sergipe,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1285594,Monte Alegre de Sergipe,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1285595,Monte Alegre de Sergipe,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1285596,Monte Alegre de Sergipe,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1285597,Monte Alegre de Sergipe,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1285598,Monte Alegre de Sergipe,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1285599,Monte Alegre de Sergipe,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1285600,Monte Alegre de Sergipe,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1285601,Monte Alegre de Sergipe,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1285602,Monte Alegre de Sergipe,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1285603,Monte Alegre de Sergipe,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1285604,Monte Alegre de Sergipe,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
