index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1309392,Mostardas,2020-03-27,0.0,0,0,0,2.4285714285714284,0.14285714285714285,17.0,1.0
1309393,Mostardas,2020-03-28,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
1309394,Mostardas,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1309395,Mostardas,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1309396,Mostardas,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1309397,Mostardas,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1309398,Mostardas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1309399,Mostardas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1309400,Mostardas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1309401,Mostardas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1309402,Mostardas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1309403,Mostardas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1309404,Mostardas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1309405,Mostardas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1309406,Mostardas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1309407,Mostardas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1309408,Mostardas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1309409,Mostardas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1309410,Mostardas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1309411,Mostardas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1309412,Mostardas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1309413,Mostardas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1309414,Mostardas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1309415,Mostardas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1309416,Mostardas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1309417,Mostardas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1309418,Mostardas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1309419,Mostardas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1309420,Mostardas,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1309421,Mostardas,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1309422,Mostardas,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1309423,Mostardas,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
