index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1360221,Mulungu do Morro,2020-03-27,0.0,0,0,0,18.714285714285715,0.2857142857142857,131.0,2.0
1360222,Mulungu do Morro,2020-03-28,0.0,0,0,0,17.714285714285715,0.2857142857142857,124.0,2.0
1360223,Mulungu do Morro,2020-03-29,0.0,0,0,0,16.142857142857142,0.2857142857142857,113.0,2.0
1360224,Mulungu do Morro,2020-03-30,0.0,0,0,0,8.142857142857142,0.2857142857142857,57.0,2.0
1360225,Mulungu do Morro,2020-03-31,0.0,0,0,0,3.7142857142857144,0.2857142857142857,26.0,2.0
1360226,Mulungu do Morro,2020-04-01,0.0,0,0,0,1.5714285714285714,0.14285714285714285,11.0,1.0
1360227,Mulungu do Morro,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1360228,Mulungu do Morro,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1360229,Mulungu do Morro,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1360230,Mulungu do Morro,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1360231,Mulungu do Morro,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1360232,Mulungu do Morro,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1360233,Mulungu do Morro,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1360234,Mulungu do Morro,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1360235,Mulungu do Morro,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1360236,Mulungu do Morro,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1360237,Mulungu do Morro,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1360238,Mulungu do Morro,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1360239,Mulungu do Morro,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1360240,Mulungu do Morro,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1360241,Mulungu do Morro,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1360242,Mulungu do Morro,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1360243,Mulungu do Morro,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1360244,Mulungu do Morro,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1360245,Mulungu do Morro,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1360246,Mulungu do Morro,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1360247,Mulungu do Morro,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1360248,Mulungu do Morro,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1360249,Mulungu do Morro,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1360250,Mulungu do Morro,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1360251,Mulungu do Morro,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1360252,Mulungu do Morro,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1360253,Mulungu do Morro,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1360254,Mulungu do Morro,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1360255,Mulungu do Morro,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1360256,Mulungu do Morro,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1360257,Mulungu do Morro,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1360258,Mulungu do Morro,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1360259,Mulungu do Morro,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1360260,Mulungu do Morro,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1360261,Mulungu do Morro,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1360262,Mulungu do Morro,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1360263,Mulungu do Morro,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1360264,Mulungu do Morro,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1360265,Mulungu do Morro,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1360266,Mulungu do Morro,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1360267,Mulungu do Morro,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1360268,Mulungu do Morro,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1360269,Mulungu do Morro,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1360270,Mulungu do Morro,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1360271,Mulungu do Morro,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1360272,Mulungu do Morro,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1360273,Mulungu do Morro,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1360274,Mulungu do Morro,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1360275,Mulungu do Morro,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1360276,Mulungu do Morro,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1360277,Mulungu do Morro,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1360278,Mulungu do Morro,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1360279,Mulungu do Morro,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1360280,Mulungu do Morro,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1360281,Mulungu do Morro,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1360282,Mulungu do Morro,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1360283,Mulungu do Morro,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1360284,Mulungu do Morro,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1360285,Mulungu do Morro,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1360286,Mulungu do Morro,2020-05-31,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1360287,Mulungu do Morro,2020-06-01,1.0,0,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1360288,Mulungu do Morro,2020-06-02,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1360289,Mulungu do Morro,2020-06-03,3.0,2,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1360290,Mulungu do Morro,2020-06-04,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1360291,Mulungu do Morro,2020-06-05,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1360292,Mulungu do Morro,2020-06-06,4.0,1,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1360293,Mulungu do Morro,2020-06-07,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1360294,Mulungu do Morro,2020-06-08,4.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1360295,Mulungu do Morro,2020-06-09,4.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1360296,Mulungu do Morro,2020-06-10,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360297,Mulungu do Morro,2020-06-11,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360298,Mulungu do Morro,2020-06-12,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360299,Mulungu do Morro,2020-06-13,4.0,0,1,0,0.0,0.0,0.0,0.0
1360300,Mulungu do Morro,2020-06-14,4.0,0,1,0,0.0,0.0,0.0,0.0
1360301,Mulungu do Morro,2020-06-15,4.0,0,1,0,0.0,0.0,0.0,0.0
1360302,Mulungu do Morro,2020-06-16,6.0,2,1,0,0.2857142857142857,0.0,2.0,0.0
1360303,Mulungu do Morro,2020-06-17,6.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1360304,Mulungu do Morro,2020-06-18,6.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1360305,Mulungu do Morro,2020-06-19,5.0,-1,1,0,0.14285714285714285,0.0,1.0,0.0
1360306,Mulungu do Morro,2020-06-20,5.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360307,Mulungu do Morro,2020-06-21,5.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360308,Mulungu do Morro,2020-06-22,5.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360309,Mulungu do Morro,2020-06-23,5.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1360310,Mulungu do Morro,2020-06-24,5.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1360311,Mulungu do Morro,2020-06-25,6.0,1,1,0,0.0,0.0,0.0,0.0
1360312,Mulungu do Morro,2020-06-26,7.0,1,1,0,0.2857142857142857,0.0,2.0,0.0
1360313,Mulungu do Morro,2020-06-27,6.0,-1,1,0,0.14285714285714285,0.0,1.0,0.0
1360314,Mulungu do Morro,2020-06-28,6.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360315,Mulungu do Morro,2020-06-29,6.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360316,Mulungu do Morro,2020-06-30,8.0,2,1,0,0.42857142857142855,0.0,3.0,0.0
1360317,Mulungu do Morro,2020-07-01,8.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1360318,Mulungu do Morro,2020-07-02,8.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1360319,Mulungu do Morro,2020-07-03,8.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360320,Mulungu do Morro,2020-07-04,9.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
1360321,Mulungu do Morro,2020-07-05,10.0,1,1,0,0.5714285714285714,0.0,4.0,0.0
1360322,Mulungu do Morro,2020-07-06,11.0,1,1,0,0.7142857142857143,0.0,5.0,0.0
1360323,Mulungu do Morro,2020-07-07,11.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1360324,Mulungu do Morro,2020-07-08,13.0,2,1,0,0.7142857142857143,0.0,5.0,0.0
1360325,Mulungu do Morro,2020-07-09,13.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
1360326,Mulungu do Morro,2020-07-10,13.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
1360327,Mulungu do Morro,2020-07-11,13.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1360328,Mulungu do Morro,2020-07-12,13.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1360329,Mulungu do Morro,2020-07-13,13.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1360330,Mulungu do Morro,2020-07-14,13.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1360331,Mulungu do Morro,2020-07-15,13.0,0,1,0,0.0,0.0,0.0,0.0
1360332,Mulungu do Morro,2020-07-16,13.0,0,1,0,0.0,0.0,0.0,0.0
1360333,Mulungu do Morro,2020-07-17,13.0,0,1,0,0.0,0.0,0.0,0.0
1360334,Mulungu do Morro,2020-07-18,14.0,1,1,0,0.14285714285714285,0.0,1.0,0.0
1360335,Mulungu do Morro,2020-07-19,14.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360336,Mulungu do Morro,2020-07-20,14.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1360337,Mulungu do Morro,2020-07-21,12.0,-2,1,0,-0.14285714285714285,0.0,-1.0,0.0
1360338,Mulungu do Morro,2020-07-22,12.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1360339,Mulungu do Morro,2020-07-23,13.0,1,1,0,0.0,0.0,0.0,0.0
