index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1284425,Nilo Peçanha,2020-03-27,0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1284426,Nilo Peçanha,2020-03-28,0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1284427,Nilo Peçanha,2020-03-29,0,0,0,0,0.0,0.0,0.0,0.0
1284428,Nilo Peçanha,2020-03-30,0,0,0,0,0.0,0.0,0.0,0.0
1284429,Nilo Peçanha,2020-03-31,0,0,0,0,0.0,0.0,0.0,0.0
1284430,Nilo Peçanha,2020-04-01,0,0,0,0,0.0,0.0,0.0,0.0
1284431,Nilo Peçanha,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
1284432,Nilo Peçanha,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
1284433,Nilo Peçanha,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
1284434,Nilo Peçanha,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
1284435,Nilo Peçanha,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
1284436,Nilo Peçanha,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
1284437,Nilo Peçanha,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
1284438,Nilo Peçanha,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
1284439,Nilo Peçanha,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
1284440,Nilo Peçanha,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
1284441,Nilo Peçanha,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
1284442,Nilo Peçanha,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
1284443,Nilo Peçanha,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
1284444,Nilo Peçanha,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
1284445,Nilo Peçanha,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
1284446,Nilo Peçanha,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
1284447,Nilo Peçanha,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
1284448,Nilo Peçanha,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
1284449,Nilo Peçanha,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
1284450,Nilo Peçanha,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
1284451,Nilo Peçanha,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
1284452,Nilo Peçanha,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
1284453,Nilo Peçanha,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
1284454,Nilo Peçanha,2020-04-25,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
1284455,Nilo Peçanha,2020-04-26,1,0,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1284456,Nilo Peçanha,2020-04-27,1,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1284457,Nilo Peçanha,2020-04-28,1,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1284458,Nilo Peçanha,2020-04-29,1,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1284459,Nilo Peçanha,2020-04-30,1,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1284460,Nilo Peçanha,2020-05-01,1,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1284461,Nilo Peçanha,2020-05-02,1,0,1,0,0.0,0.14285714285714285,0.0,1.0
1284462,Nilo Peçanha,2020-05-03,1,0,1,0,0.0,0.0,0.0,0.0
1284463,Nilo Peçanha,2020-05-04,1,0,1,0,0.0,0.0,0.0,0.0
1284464,Nilo Peçanha,2020-05-05,1,0,1,0,0.0,0.0,0.0,0.0
1284465,Nilo Peçanha,2020-05-06,1,0,1,0,0.0,0.0,0.0,0.0
1284466,Nilo Peçanha,2020-05-07,2,1,1,0,0.14285714285714285,0.0,1.0,0.0
1284467,Nilo Peçanha,2020-05-08,2,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284468,Nilo Peçanha,2020-05-09,2,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284469,Nilo Peçanha,2020-05-10,2,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284470,Nilo Peçanha,2020-05-11,2,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284471,Nilo Peçanha,2020-05-12,2,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284472,Nilo Peçanha,2020-05-13,2,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284473,Nilo Peçanha,2020-05-14,2,0,1,0,0.0,0.0,0.0,0.0
1284474,Nilo Peçanha,2020-05-15,3,1,0,-1,0.14285714285714285,-0.14285714285714285,1.0,-1.0
1284475,Nilo Peçanha,2020-05-16,3,0,1,1,0.14285714285714285,0.0,1.0,0.0
1284476,Nilo Peçanha,2020-05-17,3,0,0,-1,0.14285714285714285,-0.14285714285714285,1.0,-1.0
1284477,Nilo Peçanha,2020-05-18,3,0,0,0,0.14285714285714285,-0.14285714285714285,1.0,-1.0
1284478,Nilo Peçanha,2020-05-19,3,0,1,1,0.14285714285714285,0.0,1.0,0.0
1284479,Nilo Peçanha,2020-05-20,3,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284480,Nilo Peçanha,2020-05-21,3,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284481,Nilo Peçanha,2020-05-22,3,0,1,0,0.0,0.14285714285714285,0.0,1.0
1284482,Nilo Peçanha,2020-05-23,3,0,1,0,0.0,0.0,0.0,0.0
1284483,Nilo Peçanha,2020-05-24,3,0,1,0,0.0,0.14285714285714285,0.0,1.0
1284484,Nilo Peçanha,2020-05-25,3,0,1,0,0.0,0.14285714285714285,0.0,1.0
1284485,Nilo Peçanha,2020-05-26,4,1,1,0,0.14285714285714285,0.0,1.0,0.0
1284486,Nilo Peçanha,2020-05-27,3,-1,1,0,0.0,0.0,0.0,0.0
1284487,Nilo Peçanha,2020-05-28,3,0,1,0,0.0,0.0,0.0,0.0
1284488,Nilo Peçanha,2020-05-29,3,0,1,0,0.0,0.0,0.0,0.0
1284489,Nilo Peçanha,2020-05-30,3,0,1,0,0.0,0.0,0.0,0.0
1284490,Nilo Peçanha,2020-05-31,3,0,1,0,0.0,0.0,0.0,0.0
1284491,Nilo Peçanha,2020-06-01,3,0,1,0,0.0,0.0,0.0,0.0
1284492,Nilo Peçanha,2020-06-02,3,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1284493,Nilo Peçanha,2020-06-03,3,0,1,0,0.0,0.0,0.0,0.0
1284494,Nilo Peçanha,2020-06-04,3,0,1,0,0.0,0.0,0.0,0.0
1284495,Nilo Peçanha,2020-06-05,3,0,1,0,0.0,0.0,0.0,0.0
1284496,Nilo Peçanha,2020-06-06,4,1,1,0,0.14285714285714285,0.0,1.0,0.0
1284497,Nilo Peçanha,2020-06-07,4,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284498,Nilo Peçanha,2020-06-08,4,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284499,Nilo Peçanha,2020-06-09,4,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284500,Nilo Peçanha,2020-06-10,4,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284501,Nilo Peçanha,2020-06-11,4,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284502,Nilo Peçanha,2020-06-12,4,0,1,0,0.14285714285714285,0.0,1.0,0.0
1284503,Nilo Peçanha,2020-06-13,4,0,1,0,0.0,0.0,0.0,0.0
1284504,Nilo Peçanha,2020-06-14,4,0,1,0,0.0,0.0,0.0,0.0
1284505,Nilo Peçanha,2020-06-15,4,0,1,0,0.0,0.0,0.0,0.0
1284506,Nilo Peçanha,2020-06-16,4,0,1,0,0.0,0.0,0.0,0.0
1284507,Nilo Peçanha,2020-06-17,5,1,1,0,0.14285714285714285,0.0,1.0,0.0
1284508,Nilo Peçanha,2020-06-18,6,1,1,0,0.2857142857142857,0.0,2.0,0.0
1284509,Nilo Peçanha,2020-06-19,6,0,1,0,0.2857142857142857,0.0,2.0,0.0
1284510,Nilo Peçanha,2020-06-20,6,0,1,0,0.2857142857142857,0.0,2.0,0.0
1284511,Nilo Peçanha,2020-06-21,6,0,1,0,0.2857142857142857,0.0,2.0,0.0
1284512,Nilo Peçanha,2020-06-22,7,1,1,0,0.42857142857142855,0.0,3.0,0.0
1284513,Nilo Peçanha,2020-06-23,7,0,1,0,0.42857142857142855,0.0,3.0,0.0
1284514,Nilo Peçanha,2020-06-24,10,3,1,0,0.7142857142857143,0.0,5.0,0.0
1284515,Nilo Peçanha,2020-06-25,10,0,1,0,0.5714285714285714,0.0,4.0,0.0
1284516,Nilo Peçanha,2020-06-26,12,2,1,0,0.8571428571428571,0.0,6.0,0.0
1284517,Nilo Peçanha,2020-06-27,11,-1,1,0,0.7142857142857143,0.0,5.0,0.0
1284518,Nilo Peçanha,2020-06-28,17,6,1,0,1.5714285714285714,0.0,11.0,0.0
1284519,Nilo Peçanha,2020-06-29,24,7,1,0,2.4285714285714284,0.0,17.0,0.0
1284520,Nilo Peçanha,2020-06-30,30,6,1,0,3.2857142857142856,0.0,23.0,0.0
1284521,Nilo Peçanha,2020-07-01,31,1,1,0,3.0,0.0,21.0,0.0
1284522,Nilo Peçanha,2020-07-02,36,5,1,0,3.7142857142857144,0.0,26.0,0.0
1284523,Nilo Peçanha,2020-07-03,38,2,1,0,3.7142857142857144,0.0,26.0,0.0
1284524,Nilo Peçanha,2020-07-04,46,8,1,0,5.0,0.0,35.0,0.0
1284525,Nilo Peçanha,2020-07-05,64,18,1,0,6.714285714285714,0.0,47.0,0.0
1284526,Nilo Peçanha,2020-07-06,65,1,1,0,5.857142857142857,0.0,41.0,0.0
1284527,Nilo Peçanha,2020-07-07,67,2,1,0,5.285714285714286,0.0,37.0,0.0
1284528,Nilo Peçanha,2020-07-08,75,8,1,0,6.285714285714286,0.0,44.0,0.0
1284529,Nilo Peçanha,2020-07-09,77,2,1,0,5.857142857142857,0.0,41.0,0.0
1284530,Nilo Peçanha,2020-07-10,75,-2,1,0,5.285714285714286,0.0,37.0,0.0
1284531,Nilo Peçanha,2020-07-11,75,0,1,0,4.142857142857143,0.0,29.0,0.0
1284532,Nilo Peçanha,2020-07-12,81,6,1,0,2.4285714285714284,0.0,17.0,0.0
1284533,Nilo Peçanha,2020-07-13,86,5,1,0,3.0,0.0,21.0,0.0
1284534,Nilo Peçanha,2020-07-14,91,5,1,0,3.4285714285714284,0.0,24.0,0.0
1284535,Nilo Peçanha,2020-07-15,95,4,1,0,2.857142857142857,0.0,20.0,0.0
1284536,Nilo Peçanha,2020-07-16,95,0,1,0,2.5714285714285716,0.0,18.0,0.0
1284537,Nilo Peçanha,2020-07-17,95,0,1,0,2.857142857142857,0.0,20.0,0.0
1284538,Nilo Peçanha,2020-07-18,95,0,1,0,2.857142857142857,0.0,20.0,0.0
1284539,Nilo Peçanha,2020-07-19,101,6,1,0,2.857142857142857,0.0,20.0,0.0
1284540,Nilo Peçanha,2020-07-20,108,7,1,0,3.142857142857143,0.0,22.0,0.0
1284541,Nilo Peçanha,2020-07-21,112,4,1,0,3.0,0.0,21.0,0.0
1284542,Nilo Peçanha,2020-07-22,115,3,1,0,2.857142857142857,0.0,20.0,0.0
1284543,Nilo Peçanha,2020-07-23,123,8,1,0,4.0,0.0,28.0,0.0
1284544,Nilo Peçanha,2020-07-24,133,10,1,0,5.428571428571429,0.0,38.0,0.0
1284545,Nilo Peçanha,2020-07-25,135,2,1,0,5.714285714285714,0.0,40.0,0.0
1284546,Nilo Peçanha,2020-07-26,140,5,2,1,5.571428571428571,0.14285714285714285,39.0,1.0
1284547,Nilo Peçanha,2020-07-27,140,0,2,0,4.571428571428571,0.14285714285714285,32.0,1.0
1284548,Nilo Peçanha,2020-07-28,141,1,2,0,4.142857142857143,0.14285714285714285,29.0,1.0
1284549,Nilo Peçanha,2020-07-29,152,11,2,0,5.285714285714286,0.14285714285714285,37.0,1.0
1284550,Nilo Peçanha,2020-07-30,152,0,2,0,4.142857142857143,0.14285714285714285,29.0,1.0
1284551,Nilo Peçanha,2020-07-31,153,1,2,0,2.857142857142857,0.14285714285714285,20.0,1.0
1284552,Nilo Peçanha,2020-08-01,155,2,3,1,2.857142857142857,0.2857142857142857,20.0,2.0
1284553,Nilo Peçanha,2020-08-02,160,5,3,0,2.857142857142857,0.14285714285714285,20.0,1.0
1284554,Nilo Peçanha,2020-08-03,167,7,3,0,3.857142857142857,0.14285714285714285,27.0,1.0
1284555,Nilo Peçanha,2020-08-04,184,17,3,0,6.142857142857143,0.14285714285714285,43.0,1.0
1284556,Nilo Peçanha,2020-08-05,192,8,3,0,5.714285714285714,0.14285714285714285,40.0,1.0
1284557,Nilo Peçanha,2020-08-06,200,8,3,0,6.857142857142857,0.14285714285714285,48.0,1.0
1284558,Nilo Peçanha,2020-08-07,207,7,3,0,7.714285714285714,0.14285714285714285,54.0,1.0
1284559,Nilo Peçanha,2020-08-08,213,6,3,0,8.285714285714286,0.0,58.0,0.0
1284560,Nilo Peçanha,2020-08-09,221,8,3,0,8.714285714285714,0.0,61.0,0.0
1284561,Nilo Peçanha,2020-08-10,221,0,4,1,7.714285714285714,0.14285714285714285,54.0,1.0
1284562,Nilo Peçanha,2020-08-11,224,3,4,0,5.714285714285714,0.14285714285714285,40.0,1.0
1284563,Nilo Peçanha,2020-08-12,226,2,4,0,4.857142857142857,0.14285714285714285,34.0,1.0
1284564,Nilo Peçanha,2020-08-13,235,9,4,0,5.0,0.14285714285714285,35.0,1.0
1284565,Nilo Peçanha,2020-08-14,235,0,4,0,4.0,0.14285714285714285,28.0,1.0
