index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1309466,Nobres,2020-03-27,0.0,0,0,0,63.857142857142854,7.571428571428571,447.0,53.0
1309467,Nobres,2020-03-28,0.0,0,0,0,53.0,7.571428571428571,371.0,53.0
1309468,Nobres,2020-03-29,0.0,0,0,0,47.142857142857146,1.2857142857142858,330.0,9.0
1309469,Nobres,2020-03-30,0.0,0,0,0,43.857142857142854,1.2857142857142858,307.0,9.0
1309470,Nobres,2020-03-31,0.0,0,0,0,33.714285714285715,0.14285714285714285,236.0,1.0
1309471,Nobres,2020-04-01,0.0,0,0,0,17.714285714285715,0.0,124.0,0.0
1309472,Nobres,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1309473,Nobres,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1309474,Nobres,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1309475,Nobres,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1309476,Nobres,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1309477,Nobres,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1309478,Nobres,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1309479,Nobres,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1309480,Nobres,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1309481,Nobres,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1309482,Nobres,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1309483,Nobres,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1309484,Nobres,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1309485,Nobres,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1309486,Nobres,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1309487,Nobres,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1309488,Nobres,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1309489,Nobres,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1309490,Nobres,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1309491,Nobres,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1309492,Nobres,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1309493,Nobres,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1309494,Nobres,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1309495,Nobres,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1309496,Nobres,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1309497,Nobres,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1309498,Nobres,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1309499,Nobres,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1309500,Nobres,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1309501,Nobres,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1309502,Nobres,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1309503,Nobres,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1309504,Nobres,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1309505,Nobres,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1309506,Nobres,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1309507,Nobres,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1309508,Nobres,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1309509,Nobres,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1309510,Nobres,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1309511,Nobres,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1309512,Nobres,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1309513,Nobres,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1309514,Nobres,2020-05-14,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1309515,Nobres,2020-05-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309516,Nobres,2020-05-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309517,Nobres,2020-05-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309518,Nobres,2020-05-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309519,Nobres,2020-05-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309520,Nobres,2020-05-20,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309521,Nobres,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
1309522,Nobres,2020-05-22,1.0,0,0,0,0.0,0.0,0.0,0.0
1309523,Nobres,2020-05-23,1.0,0,0,0,0.0,0.0,0.0,0.0
1309524,Nobres,2020-05-24,1.0,0,0,0,0.0,0.0,0.0,0.0
1309525,Nobres,2020-05-25,1.0,0,0,0,0.0,0.0,0.0,0.0
1309526,Nobres,2020-05-26,1.0,0,0,0,0.0,0.0,0.0,0.0
1309527,Nobres,2020-05-27,4.0,3,0,0,0.42857142857142855,0.0,3.0,0.0
1309528,Nobres,2020-05-28,3.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
1309529,Nobres,2020-05-29,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1309530,Nobres,2020-05-30,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1309531,Nobres,2020-05-31,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1309532,Nobres,2020-06-01,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1309533,Nobres,2020-06-02,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1309534,Nobres,2020-06-03,4.0,1,0,0,0.0,0.0,0.0,0.0
1309535,Nobres,2020-06-04,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309536,Nobres,2020-06-05,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309537,Nobres,2020-06-06,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309538,Nobres,2020-06-07,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309539,Nobres,2020-06-08,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309540,Nobres,2020-06-09,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1309541,Nobres,2020-06-10,4.0,0,0,0,0.0,0.0,0.0,0.0
1309542,Nobres,2020-06-11,5.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1309543,Nobres,2020-06-12,6.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1309544,Nobres,2020-06-13,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1309545,Nobres,2020-06-14,7.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1309546,Nobres,2020-06-15,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1309547,Nobres,2020-06-16,9.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
1309548,Nobres,2020-06-17,11.0,2,0,0,1.0,0.0,7.0,0.0
1309549,Nobres,2020-06-18,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1309550,Nobres,2020-06-19,15.0,4,0,0,1.2857142857142858,0.0,9.0,0.0
