index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1316467,Nova Bassano,2020-03-27,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1316468,Nova Bassano,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1316469,Nova Bassano,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1316470,Nova Bassano,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1316471,Nova Bassano,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1316472,Nova Bassano,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1316473,Nova Bassano,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1316474,Nova Bassano,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1316475,Nova Bassano,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1316476,Nova Bassano,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1316477,Nova Bassano,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1316478,Nova Bassano,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1316479,Nova Bassano,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1316480,Nova Bassano,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1316481,Nova Bassano,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1316482,Nova Bassano,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1316483,Nova Bassano,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1316484,Nova Bassano,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1316485,Nova Bassano,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1316486,Nova Bassano,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1316487,Nova Bassano,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1316488,Nova Bassano,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1316489,Nova Bassano,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1316490,Nova Bassano,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1316491,Nova Bassano,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1316492,Nova Bassano,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1316493,Nova Bassano,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1316494,Nova Bassano,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1316495,Nova Bassano,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1316496,Nova Bassano,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1316497,Nova Bassano,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1316498,Nova Bassano,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1316499,Nova Bassano,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1316500,Nova Bassano,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1316501,Nova Bassano,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1316502,Nova Bassano,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1316503,Nova Bassano,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1316504,Nova Bassano,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1316505,Nova Bassano,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1316506,Nova Bassano,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1316507,Nova Bassano,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1316508,Nova Bassano,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1316509,Nova Bassano,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1316510,Nova Bassano,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1316511,Nova Bassano,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1316512,Nova Bassano,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1316513,Nova Bassano,2020-05-12,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1316514,Nova Bassano,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1316515,Nova Bassano,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
