index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1303686,Nova Europa,2020-03-27,0,0,0,0,4.428571428571429,0.0,31.0,0.0
1303687,Nova Europa,2020-03-28,0,0,0,0,4.428571428571429,0.0,31.0,0.0
1303688,Nova Europa,2020-03-29,0,0,0,0,4.428571428571429,0.0,31.0,0.0
1303689,Nova Europa,2020-03-30,0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1303690,Nova Europa,2020-03-31,0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1303691,Nova Europa,2020-04-01,0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303692,Nova Europa,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
1303693,Nova Europa,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
1303694,Nova Europa,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
1303695,Nova Europa,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
1303696,Nova Europa,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
1303697,Nova Europa,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
1303698,Nova Europa,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
1303699,Nova Europa,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
1303700,Nova Europa,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
1303701,Nova Europa,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
1303702,Nova Europa,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
1303703,Nova Europa,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
1303704,Nova Europa,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
1303705,Nova Europa,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
1303706,Nova Europa,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
1303707,Nova Europa,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
1303708,Nova Europa,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
1303709,Nova Europa,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
1303710,Nova Europa,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
1303711,Nova Europa,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
1303712,Nova Europa,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
1303713,Nova Europa,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
1303714,Nova Europa,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
1303715,Nova Europa,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
1303716,Nova Europa,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
1303717,Nova Europa,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
1303718,Nova Europa,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
1303719,Nova Europa,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
1303720,Nova Europa,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
1303721,Nova Europa,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
1303722,Nova Europa,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
1303723,Nova Europa,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
1303724,Nova Europa,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
1303725,Nova Europa,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
1303726,Nova Europa,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
1303727,Nova Europa,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
1303728,Nova Europa,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
1303729,Nova Europa,2020-05-09,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
1303730,Nova Europa,2020-05-10,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1303731,Nova Europa,2020-05-11,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1303732,Nova Europa,2020-05-12,2,1,0,0,0.2857142857142857,0.0,2.0,0.0
1303733,Nova Europa,2020-05-13,1,-1,0,0,0.14285714285714285,0.0,1.0,0.0
1303734,Nova Europa,2020-05-14,4,3,0,0,0.5714285714285714,0.0,4.0,0.0
1303735,Nova Europa,2020-05-15,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
1303736,Nova Europa,2020-05-16,4,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303737,Nova Europa,2020-05-17,5,1,0,0,0.5714285714285714,0.0,4.0,0.0
1303738,Nova Europa,2020-05-18,5,0,0,0,0.5714285714285714,0.0,4.0,0.0
1303739,Nova Europa,2020-05-19,6,1,0,0,0.5714285714285714,0.0,4.0,0.0
1303740,Nova Europa,2020-05-20,6,0,0,0,0.7142857142857143,0.0,5.0,0.0
1303741,Nova Europa,2020-05-21,8,2,0,0,0.5714285714285714,0.0,4.0,0.0
1303742,Nova Europa,2020-05-22,8,0,0,0,0.5714285714285714,0.0,4.0,0.0
1303743,Nova Europa,2020-05-23,8,0,0,0,0.5714285714285714,0.0,4.0,0.0
1303744,Nova Europa,2020-05-24,8,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303745,Nova Europa,2020-05-25,8,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303746,Nova Europa,2020-05-26,8,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303747,Nova Europa,2020-05-27,9,1,0,0,0.42857142857142855,0.0,3.0,0.0
1303748,Nova Europa,2020-05-28,9,0,0,0,0.14285714285714285,0.0,1.0,0.0
1303749,Nova Europa,2020-05-29,9,0,0,0,0.14285714285714285,0.0,1.0,0.0
1303750,Nova Europa,2020-05-30,9,0,0,0,0.14285714285714285,0.0,1.0,0.0
1303751,Nova Europa,2020-05-31,10,1,0,0,0.2857142857142857,0.0,2.0,0.0
1303752,Nova Europa,2020-06-01,10,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303753,Nova Europa,2020-06-02,26,16,0,0,2.5714285714285716,0.0,18.0,0.0
1303754,Nova Europa,2020-06-03,26,0,0,0,2.4285714285714284,0.0,17.0,0.0
1303755,Nova Europa,2020-06-04,28,2,0,0,2.7142857142857144,0.0,19.0,0.0
1303756,Nova Europa,2020-06-05,28,0,0,0,2.7142857142857144,0.0,19.0,0.0
1303757,Nova Europa,2020-06-06,29,1,0,0,2.857142857142857,0.0,20.0,0.0
1303758,Nova Europa,2020-06-07,29,0,0,0,2.7142857142857144,0.0,19.0,0.0
1303759,Nova Europa,2020-06-08,29,0,0,0,2.7142857142857144,0.0,19.0,0.0
1303760,Nova Europa,2020-06-09,29,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303761,Nova Europa,2020-06-10,36,7,0,0,1.4285714285714286,0.0,10.0,0.0
1303762,Nova Europa,2020-06-11,53,17,0,0,3.5714285714285716,0.0,25.0,0.0
1303763,Nova Europa,2020-06-12,53,0,0,0,3.5714285714285716,0.0,25.0,0.0
1303764,Nova Europa,2020-06-13,53,0,0,0,3.4285714285714284,0.0,24.0,0.0
1303765,Nova Europa,2020-06-14,53,0,0,0,3.4285714285714284,0.0,24.0,0.0
1303766,Nova Europa,2020-06-15,53,0,0,0,3.4285714285714284,0.0,24.0,0.0
1303767,Nova Europa,2020-06-16,59,6,0,0,4.285714285714286,0.0,30.0,0.0
1303768,Nova Europa,2020-06-17,59,0,0,0,3.2857142857142856,0.0,23.0,0.0
1303769,Nova Europa,2020-06-18,59,0,0,0,0.8571428571428571,0.0,6.0,0.0
1303770,Nova Europa,2020-06-19,60,1,0,0,1.0,0.0,7.0,0.0
1303771,Nova Europa,2020-06-20,60,0,0,0,1.0,0.0,7.0,0.0
1303772,Nova Europa,2020-06-21,60,0,0,0,1.0,0.0,7.0,0.0
1303773,Nova Europa,2020-06-22,60,0,0,0,1.0,0.0,7.0,0.0
1303774,Nova Europa,2020-06-23,66,6,0,0,1.0,0.0,7.0,0.0
1303775,Nova Europa,2020-06-24,66,0,0,0,1.0,0.0,7.0,0.0
1303776,Nova Europa,2020-06-25,67,1,0,0,1.1428571428571428,0.0,8.0,0.0
1303777,Nova Europa,2020-06-26,67,0,0,0,1.0,0.0,7.0,0.0
1303778,Nova Europa,2020-06-27,70,3,0,0,1.4285714285714286,0.0,10.0,0.0
1303779,Nova Europa,2020-06-28,71,1,0,0,1.5714285714285714,0.0,11.0,0.0
1303780,Nova Europa,2020-06-29,71,0,0,0,1.5714285714285714,0.0,11.0,0.0
1303781,Nova Europa,2020-06-30,71,0,0,0,0.7142857142857143,0.0,5.0,0.0
1303782,Nova Europa,2020-07-01,72,1,0,0,0.8571428571428571,0.0,6.0,0.0
1303783,Nova Europa,2020-07-02,72,0,0,0,0.7142857142857143,0.0,5.0,0.0
1303784,Nova Europa,2020-07-03,72,0,0,0,0.7142857142857143,0.0,5.0,0.0
1303785,Nova Europa,2020-07-04,72,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303786,Nova Europa,2020-07-05,73,1,0,0,0.2857142857142857,0.0,2.0,0.0
1303787,Nova Europa,2020-07-06,73,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303788,Nova Europa,2020-07-07,83,10,0,0,1.7142857142857142,0.0,12.0,0.0
1303789,Nova Europa,2020-07-08,88,5,0,0,2.2857142857142856,0.0,16.0,0.0
1303790,Nova Europa,2020-07-09,88,0,0,0,2.2857142857142856,0.0,16.0,0.0
1303791,Nova Europa,2020-07-10,88,0,0,0,2.2857142857142856,0.0,16.0,0.0
1303792,Nova Europa,2020-07-11,88,0,0,0,2.2857142857142856,0.0,16.0,0.0
1303793,Nova Europa,2020-07-12,88,0,0,0,2.142857142857143,0.0,15.0,0.0
1303794,Nova Europa,2020-07-13,88,0,0,0,2.142857142857143,0.0,15.0,0.0
1303795,Nova Europa,2020-07-14,88,0,0,0,0.7142857142857143,0.0,5.0,0.0
1303796,Nova Europa,2020-07-15,88,0,0,0,0.0,0.0,0.0,0.0
1303797,Nova Europa,2020-07-16,88,0,0,0,0.0,0.0,0.0,0.0
1303798,Nova Europa,2020-07-17,88,0,0,0,0.0,0.0,0.0,0.0
1303799,Nova Europa,2020-07-18,88,0,0,0,0.0,0.0,0.0,0.0
1303800,Nova Europa,2020-07-19,88,0,0,0,0.0,0.0,0.0,0.0
1303801,Nova Europa,2020-07-20,88,0,0,0,0.0,0.0,0.0,0.0
1303802,Nova Europa,2020-07-21,88,0,0,0,0.0,0.0,0.0,0.0
1303803,Nova Europa,2020-07-22,88,0,0,0,0.0,0.0,0.0,0.0
1303804,Nova Europa,2020-07-23,88,0,0,0,0.0,0.0,0.0,0.0
1303805,Nova Europa,2020-07-24,88,0,0,0,0.0,0.0,0.0,0.0
1303806,Nova Europa,2020-07-25,94,6,0,0,0.8571428571428571,0.0,6.0,0.0
1303807,Nova Europa,2020-07-26,94,0,0,0,0.8571428571428571,0.0,6.0,0.0
1303808,Nova Europa,2020-07-27,94,0,0,0,0.8571428571428571,0.0,6.0,0.0
1303809,Nova Europa,2020-07-28,94,0,0,0,0.8571428571428571,0.0,6.0,0.0
1303810,Nova Europa,2020-07-29,95,1,0,0,1.0,0.0,7.0,0.0
1303811,Nova Europa,2020-07-30,95,0,0,0,1.0,0.0,7.0,0.0
1303812,Nova Europa,2020-07-31,96,1,0,0,1.1428571428571428,0.0,8.0,0.0
1303813,Nova Europa,2020-08-01,96,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303814,Nova Europa,2020-08-02,97,1,0,0,0.42857142857142855,0.0,3.0,0.0
1303815,Nova Europa,2020-08-03,97,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303816,Nova Europa,2020-08-04,98,1,0,0,0.5714285714285714,0.0,4.0,0.0
1303817,Nova Europa,2020-08-05,98,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303818,Nova Europa,2020-08-06,98,0,0,0,0.42857142857142855,0.0,3.0,0.0
1303819,Nova Europa,2020-08-07,98,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303820,Nova Europa,2020-08-08,98,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303821,Nova Europa,2020-08-09,99,1,0,0,0.2857142857142857,0.0,2.0,0.0
1303822,Nova Europa,2020-08-10,100,1,0,0,0.42857142857142855,0.0,3.0,0.0
1303823,Nova Europa,2020-08-11,100,0,0,0,0.2857142857142857,0.0,2.0,0.0
1303824,Nova Europa,2020-08-12,102,2,0,0,0.5714285714285714,0.0,4.0,0.0
1303825,Nova Europa,2020-08-13,104,2,0,0,0.8571428571428571,0.0,6.0,0.0
1303826,Nova Europa,2020-08-14,105,1,0,0,1.0,0.0,7.0,0.0
1303827,Nova Europa,2020-08-15,106,1,0,0,1.1428571428571428,0.0,8.0,0.0
1303828,Nova Europa,2020-08-16,106,0,0,0,1.0,0.0,7.0,0.0
1303829,Nova Europa,2020-08-17,106,0,0,0,0.8571428571428571,0.0,6.0,0.0
1303830,Nova Europa,2020-08-18,105,-1,0,0,0.7142857142857143,0.0,5.0,0.0
1303831,Nova Europa,2020-08-19,107,2,0,0,0.7142857142857143,0.0,5.0,0.0
1303832,Nova Europa,2020-08-20,127,20,0,0,3.2857142857142856,0.0,23.0,0.0
