index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1385290,Nova Luzitânia,2020-03-27,0.0,0,0,0,24.0,0.0,168.0,0.0
1385291,Nova Luzitânia,2020-03-28,0.0,0,0,0,18.714285714285715,0.0,131.0,0.0
1385292,Nova Luzitânia,2020-03-29,0.0,0,0,0,14.571428571428571,0.0,102.0,0.0
1385293,Nova Luzitânia,2020-03-30,0.0,0,0,0,10.142857142857142,0.0,71.0,0.0
1385294,Nova Luzitânia,2020-03-31,0.0,0,0,0,6.714285714285714,0.0,47.0,0.0
1385295,Nova Luzitânia,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1385296,Nova Luzitânia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1385297,Nova Luzitânia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1385298,Nova Luzitânia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1385299,Nova Luzitânia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1385300,Nova Luzitânia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1385301,Nova Luzitânia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1385302,Nova Luzitânia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1385303,Nova Luzitânia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1385304,Nova Luzitânia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1385305,Nova Luzitânia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1385306,Nova Luzitânia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1385307,Nova Luzitânia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1385308,Nova Luzitânia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1385309,Nova Luzitânia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1385310,Nova Luzitânia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1385311,Nova Luzitânia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1385312,Nova Luzitânia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1385313,Nova Luzitânia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1385314,Nova Luzitânia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1385315,Nova Luzitânia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1385316,Nova Luzitânia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1385317,Nova Luzitânia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1385318,Nova Luzitânia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1385319,Nova Luzitânia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1385320,Nova Luzitânia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1385321,Nova Luzitânia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1385322,Nova Luzitânia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1385323,Nova Luzitânia,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1385324,Nova Luzitânia,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1385325,Nova Luzitânia,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1385326,Nova Luzitânia,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1385327,Nova Luzitânia,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1385328,Nova Luzitânia,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1385329,Nova Luzitânia,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1385330,Nova Luzitânia,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1385331,Nova Luzitânia,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1385332,Nova Luzitânia,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
