index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1331898,Nova Roma,2020-03-27,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
1331899,Nova Roma,2020-03-28,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1331900,Nova Roma,2020-03-29,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
1331901,Nova Roma,2020-03-30,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1331902,Nova Roma,2020-03-31,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1331903,Nova Roma,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1331904,Nova Roma,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1331905,Nova Roma,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1331906,Nova Roma,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1331907,Nova Roma,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1331908,Nova Roma,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1331909,Nova Roma,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1331910,Nova Roma,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1331911,Nova Roma,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1331912,Nova Roma,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1331913,Nova Roma,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1331914,Nova Roma,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1331915,Nova Roma,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1331916,Nova Roma,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1331917,Nova Roma,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1331918,Nova Roma,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1331919,Nova Roma,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1331920,Nova Roma,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1331921,Nova Roma,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1331922,Nova Roma,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1331923,Nova Roma,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1331924,Nova Roma,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1331925,Nova Roma,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1331926,Nova Roma,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1331927,Nova Roma,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1331928,Nova Roma,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1331929,Nova Roma,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1331930,Nova Roma,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1331931,Nova Roma,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1331932,Nova Roma,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1331933,Nova Roma,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1331934,Nova Roma,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1331935,Nova Roma,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1331936,Nova Roma,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1331937,Nova Roma,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1331938,Nova Roma,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1331939,Nova Roma,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1331940,Nova Roma,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1331941,Nova Roma,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1331942,Nova Roma,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1331943,Nova Roma,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1331944,Nova Roma,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1331945,Nova Roma,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1331946,Nova Roma,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1331947,Nova Roma,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1331948,Nova Roma,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1331949,Nova Roma,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1331950,Nova Roma,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1331951,Nova Roma,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1331952,Nova Roma,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1331953,Nova Roma,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1331954,Nova Roma,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1331955,Nova Roma,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1331956,Nova Roma,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1331957,Nova Roma,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1331958,Nova Roma,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1331959,Nova Roma,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1331960,Nova Roma,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1331961,Nova Roma,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
