index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1438528,Nova Viçosa,2020-03-27,0.0,0,0,0,20.857142857142858,0.2857142857142857,146.0,2.0
1438529,Nova Viçosa,2020-03-28,0.0,0,0,0,17.857142857142858,0.2857142857142857,125.0,2.0
1438530,Nova Viçosa,2020-03-29,0.0,0,0,0,17.571428571428573,0.14285714285714285,123.0,1.0
1438531,Nova Viçosa,2020-03-30,0.0,0,0,0,17.0,0.14285714285714285,119.0,1.0
1438532,Nova Viçosa,2020-03-31,0.0,0,0,0,13.571428571428571,0.14285714285714285,95.0,1.0
1438533,Nova Viçosa,2020-04-01,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
1438534,Nova Viçosa,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1438535,Nova Viçosa,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1438536,Nova Viçosa,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1438537,Nova Viçosa,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1438538,Nova Viçosa,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1438539,Nova Viçosa,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1438540,Nova Viçosa,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1438541,Nova Viçosa,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1438542,Nova Viçosa,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1438543,Nova Viçosa,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1438544,Nova Viçosa,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1438545,Nova Viçosa,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1438546,Nova Viçosa,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1438547,Nova Viçosa,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1438548,Nova Viçosa,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1438549,Nova Viçosa,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1438550,Nova Viçosa,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1438551,Nova Viçosa,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1438552,Nova Viçosa,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1438553,Nova Viçosa,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1438554,Nova Viçosa,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1438555,Nova Viçosa,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1438556,Nova Viçosa,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1438557,Nova Viçosa,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
