city,city,date,cases,daily cases,deaths,daily deaths
Novo Hamburgo,Novo Hamburgo,2020-03-27,0,0,0,0
Novo Hamburgo,Novo Hamburgo,2020-03-28,0,0,0,0
Novo Hamburgo,Novo Hamburgo,2020-03-29,0,0,0,0
Novo Hamburgo,Novo Hamburgo,2020-03-30,1,1,0,0
Novo Hamburgo,Novo Hamburgo,2020-03-31,2,1,1,1
Novo Hamburgo,Novo Hamburgo,2020-04-01,2,0,1,0
Novo Hamburgo,Novo Hamburgo,2020-04-02,3,1,1,0
Novo Hamburgo,Novo Hamburgo,2020-04-03,14,11,1,0
Novo Hamburgo,Novo Hamburgo,2020-04-04,14,0,1,0
Novo Hamburgo,Novo Hamburgo,2020-04-05,14,0,2,1
Novo Hamburgo,Novo Hamburgo,2020-04-06,20,6,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-07,20,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-08,23,3,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-09,23,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-10,24,1,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-11,24,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-12,24,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-13,25,1,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-14,26,1,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-15,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-16,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-17,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-18,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-19,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-20,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-21,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-22,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-23,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-24,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-25,26,0,2,0
Novo Hamburgo,Novo Hamburgo,2020-04-26,26,0,2,0
