index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1397930,Oeiras do Pará,2020-03-27,0.0,0,0,0,15.428571428571429,0.0,108.0,0.0
1397931,Oeiras do Pará,2020-03-28,0.0,0,0,0,14.428571428571429,0.0,101.0,0.0
1397932,Oeiras do Pará,2020-03-29,0.0,0,0,0,9.857142857142858,0.0,69.0,0.0
1397933,Oeiras do Pará,2020-03-30,0.0,0,0,0,6.428571428571429,0.0,45.0,0.0
1397934,Oeiras do Pará,2020-03-31,0.0,0,0,0,5.714285714285714,0.0,40.0,0.0
1397935,Oeiras do Pará,2020-04-01,0.0,0,0,0,3.0,0.0,21.0,0.0
1397936,Oeiras do Pará,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1397937,Oeiras do Pará,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1397938,Oeiras do Pará,2020-04-04,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1397939,Oeiras do Pará,2020-04-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1397940,Oeiras do Pará,2020-04-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1397941,Oeiras do Pará,2020-04-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1397942,Oeiras do Pará,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1397943,Oeiras do Pará,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1397944,Oeiras do Pará,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1397945,Oeiras do Pará,2020-04-11,1.0,0,0,0,0.0,0.0,0.0,0.0
1397946,Oeiras do Pará,2020-04-12,1.0,0,0,0,0.0,0.0,0.0,0.0
1397947,Oeiras do Pará,2020-04-13,1.0,0,0,0,0.0,0.0,0.0,0.0
1397948,Oeiras do Pará,2020-04-14,1.0,0,0,0,0.0,0.0,0.0,0.0
