index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1360320,Olivença,2020-03-27,0.0,0,0,0,3.0,0.0,21.0,0.0
1360321,Olivença,2020-03-28,0.0,0,0,0,3.0,0.0,21.0,0.0
1360322,Olivença,2020-03-29,0.0,0,0,0,3.0,0.0,21.0,0.0
1360323,Olivença,2020-03-30,0.0,0,0,0,3.0,0.0,21.0,0.0
1360324,Olivença,2020-03-31,0.0,0,0,0,3.0,0.0,21.0,0.0
1360325,Olivença,2020-04-01,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1360326,Olivença,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1360327,Olivença,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1360328,Olivença,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1360329,Olivença,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1360330,Olivença,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1360331,Olivença,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1360332,Olivença,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1360333,Olivença,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1360334,Olivença,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1360335,Olivença,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1360336,Olivença,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1360337,Olivença,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1360338,Olivença,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1360339,Olivença,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1360340,Olivença,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1360341,Olivença,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1360342,Olivença,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1360343,Olivença,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1360344,Olivença,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1360345,Olivença,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1360346,Olivença,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1360347,Olivença,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1360348,Olivença,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1360349,Olivença,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1360350,Olivença,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1360351,Olivença,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1360352,Olivença,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1360353,Olivença,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1360354,Olivença,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1360355,Olivença,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1360356,Olivença,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1360357,Olivença,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1360358,Olivença,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1360359,Olivença,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1360360,Olivença,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1360361,Olivença,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1360362,Olivença,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1360363,Olivença,2020-05-09,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1360364,Olivença,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360365,Olivença,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360366,Olivença,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360367,Olivença,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360368,Olivença,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360369,Olivença,2020-05-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360370,Olivença,2020-05-16,1.0,0,0,0,0.0,0.0,0.0,0.0
1360371,Olivença,2020-05-17,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1360372,Olivença,2020-05-18,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360373,Olivença,2020-05-19,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360374,Olivença,2020-05-20,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360375,Olivença,2020-05-21,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360376,Olivença,2020-05-22,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360377,Olivença,2020-05-23,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1360378,Olivença,2020-05-24,2.0,0,0,0,0.0,0.0,0.0,0.0
1360379,Olivença,2020-05-25,2.0,0,0,0,0.0,0.0,0.0,0.0
