index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1374660,Onda Verde,2020-03-27,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1374661,Onda Verde,2020-03-28,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1374662,Onda Verde,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1374663,Onda Verde,2020-03-30,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1374664,Onda Verde,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1374665,Onda Verde,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1374666,Onda Verde,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1374667,Onda Verde,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1374668,Onda Verde,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1374669,Onda Verde,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1374670,Onda Verde,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1374671,Onda Verde,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1374672,Onda Verde,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1374673,Onda Verde,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1374674,Onda Verde,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1374675,Onda Verde,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1374676,Onda Verde,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1374677,Onda Verde,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1374678,Onda Verde,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1374679,Onda Verde,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1374680,Onda Verde,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1374681,Onda Verde,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1374682,Onda Verde,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1374683,Onda Verde,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1374684,Onda Verde,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1374685,Onda Verde,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1374686,Onda Verde,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1374687,Onda Verde,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1374688,Onda Verde,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1374689,Onda Verde,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1374690,Onda Verde,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1374691,Onda Verde,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1374692,Onda Verde,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1374693,Onda Verde,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1374694,Onda Verde,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1374695,Onda Verde,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1374696,Onda Verde,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1374697,Onda Verde,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1374698,Onda Verde,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1374699,Onda Verde,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1374700,Onda Verde,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1374701,Onda Verde,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1374702,Onda Verde,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1374703,Onda Verde,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1374704,Onda Verde,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1374705,Onda Verde,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1374706,Onda Verde,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1374707,Onda Verde,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1374708,Onda Verde,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1374709,Onda Verde,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1374710,Onda Verde,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1374711,Onda Verde,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1374712,Onda Verde,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1374713,Onda Verde,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1374714,Onda Verde,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1374715,Onda Verde,2020-05-21,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1374716,Onda Verde,2020-05-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1374717,Onda Verde,2020-05-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1374718,Onda Verde,2020-05-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1374719,Onda Verde,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1374720,Onda Verde,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
