index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1439915,Ourizona,2020-03-27,0.0,0,0,0,50.857142857142854,1.7142857142857142,356.0,12.0
1439916,Ourizona,2020-03-28,0.0,0,0,0,37.285714285714285,1.4285714285714286,261.0,10.0
1439917,Ourizona,2020-03-29,0.0,0,0,0,24.428571428571427,0.8571428571428571,171.0,6.0
1439918,Ourizona,2020-03-30,0.0,0,0,0,15.0,0.0,105.0,0.0
1439919,Ourizona,2020-03-31,0.0,0,0,0,9.428571428571429,0.0,66.0,0.0
1439920,Ourizona,2020-04-01,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1439921,Ourizona,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1439922,Ourizona,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1439923,Ourizona,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1439924,Ourizona,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1439925,Ourizona,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1439926,Ourizona,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1439927,Ourizona,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1439928,Ourizona,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1439929,Ourizona,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1439930,Ourizona,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1439931,Ourizona,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1439932,Ourizona,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1439933,Ourizona,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1439934,Ourizona,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1439935,Ourizona,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1439936,Ourizona,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1439937,Ourizona,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1439938,Ourizona,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1439939,Ourizona,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1439940,Ourizona,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1439941,Ourizona,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1439942,Ourizona,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1439943,Ourizona,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1439944,Ourizona,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1439945,Ourizona,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1439946,Ourizona,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1439947,Ourizona,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1439948,Ourizona,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1439949,Ourizona,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1439950,Ourizona,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1439951,Ourizona,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1439952,Ourizona,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1439953,Ourizona,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1439954,Ourizona,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1439955,Ourizona,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1439956,Ourizona,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1439957,Ourizona,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1439958,Ourizona,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1439959,Ourizona,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1439960,Ourizona,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1439961,Ourizona,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1439962,Ourizona,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1439963,Ourizona,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1439964,Ourizona,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1439965,Ourizona,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1439966,Ourizona,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1439967,Ourizona,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1439968,Ourizona,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1439969,Ourizona,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1439970,Ourizona,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1439971,Ourizona,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1439972,Ourizona,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1439973,Ourizona,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1439974,Ourizona,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1439975,Ourizona,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1439976,Ourizona,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1439977,Ourizona,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1439978,Ourizona,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1439979,Ourizona,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1439980,Ourizona,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1439981,Ourizona,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1439982,Ourizona,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1439983,Ourizona,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1439984,Ourizona,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1439985,Ourizona,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1439986,Ourizona,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1439987,Ourizona,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1439988,Ourizona,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1439989,Ourizona,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1439990,Ourizona,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1439991,Ourizona,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1439992,Ourizona,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1439993,Ourizona,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1439994,Ourizona,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1439995,Ourizona,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1439996,Ourizona,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1439997,Ourizona,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1439998,Ourizona,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1439999,Ourizona,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
