index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1400472,Ouro Verde,2020-03-27,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1400473,Ouro Verde,2020-03-28,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1400474,Ouro Verde,2020-03-29,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1400475,Ouro Verde,2020-03-30,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1400476,Ouro Verde,2020-03-31,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
1400477,Ouro Verde,2020-04-01,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1400478,Ouro Verde,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1400479,Ouro Verde,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1400480,Ouro Verde,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1400481,Ouro Verde,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1400482,Ouro Verde,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1400483,Ouro Verde,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1400484,Ouro Verde,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1400485,Ouro Verde,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1400486,Ouro Verde,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1400487,Ouro Verde,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1400488,Ouro Verde,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1400489,Ouro Verde,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1400490,Ouro Verde,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1400491,Ouro Verde,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1400492,Ouro Verde,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1400493,Ouro Verde,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1400494,Ouro Verde,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1400495,Ouro Verde,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1400496,Ouro Verde,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1400497,Ouro Verde,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1400498,Ouro Verde,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1400499,Ouro Verde,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1400500,Ouro Verde,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1400501,Ouro Verde,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1400502,Ouro Verde,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1400503,Ouro Verde,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1400504,Ouro Verde,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1400505,Ouro Verde,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1400506,Ouro Verde,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1400507,Ouro Verde,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1400508,Ouro Verde,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1400509,Ouro Verde,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1400510,Ouro Verde,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1400511,Ouro Verde,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1400512,Ouro Verde,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1400513,Ouro Verde,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1400514,Ouro Verde,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1400515,Ouro Verde,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1400516,Ouro Verde,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1400517,Ouro Verde,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1400518,Ouro Verde,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1400519,Ouro Verde,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1400520,Ouro Verde,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1400521,Ouro Verde,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1400522,Ouro Verde,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1400523,Ouro Verde,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1400524,Ouro Verde,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1400525,Ouro Verde,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
