index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1450218,Pacaembu,2020-03-27,0.0,0,0,0,1.7142857142857142,-0.14285714285714285,12.0,-1.0
1450219,Pacaembu,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1450220,Pacaembu,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1450221,Pacaembu,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1450222,Pacaembu,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1450223,Pacaembu,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1450224,Pacaembu,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1450225,Pacaembu,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1450226,Pacaembu,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1450227,Pacaembu,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1450228,Pacaembu,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1450229,Pacaembu,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1450230,Pacaembu,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1450231,Pacaembu,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1450232,Pacaembu,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1450233,Pacaembu,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1450234,Pacaembu,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1450235,Pacaembu,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1450236,Pacaembu,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1450237,Pacaembu,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1450238,Pacaembu,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1450239,Pacaembu,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1450240,Pacaembu,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1450241,Pacaembu,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1450242,Pacaembu,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1450243,Pacaembu,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1450244,Pacaembu,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1450245,Pacaembu,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
