index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1484224,Pacajá,2020-03-27,0.0,0,0,0,5.142857142857143,0.14285714285714285,36.0,1.0
1484225,Pacajá,2020-03-28,0.0,0,0,0,4.571428571428571,0.14285714285714285,32.0,1.0
1484226,Pacajá,2020-03-29,0.0,0,0,0,3.2857142857142856,0.14285714285714285,23.0,1.0
1484227,Pacajá,2020-03-30,0.0,0,0,0,3.4285714285714284,0.14285714285714285,24.0,1.0
1484228,Pacajá,2020-03-31,0.0,0,0,0,3.857142857142857,0.14285714285714285,27.0,1.0
1484229,Pacajá,2020-04-01,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1484230,Pacajá,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1484231,Pacajá,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1484232,Pacajá,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1484233,Pacajá,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1484234,Pacajá,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1484235,Pacajá,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1484236,Pacajá,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1484237,Pacajá,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1484238,Pacajá,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1484239,Pacajá,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1484240,Pacajá,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1484241,Pacajá,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1484242,Pacajá,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1484243,Pacajá,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1484244,Pacajá,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1484245,Pacajá,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1484246,Pacajá,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1484247,Pacajá,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1484248,Pacajá,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1484249,Pacajá,2020-04-21,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1484250,Pacajá,2020-04-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1484251,Pacajá,2020-04-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1484252,Pacajá,2020-04-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1484253,Pacajá,2020-04-25,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1484254,Pacajá,2020-04-26,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1484255,Pacajá,2020-04-27,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1484256,Pacajá,2020-04-28,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1484257,Pacajá,2020-04-29,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1484258,Pacajá,2020-04-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1484259,Pacajá,2020-05-01,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
