index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1443330,Padre Bernardo,2020-03-27,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1443331,Padre Bernardo,2020-03-28,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1443332,Padre Bernardo,2020-03-29,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1443333,Padre Bernardo,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443334,Padre Bernardo,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443335,Padre Bernardo,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1443336,Padre Bernardo,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1443337,Padre Bernardo,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1443338,Padre Bernardo,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1443339,Padre Bernardo,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1443340,Padre Bernardo,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1443341,Padre Bernardo,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1443342,Padre Bernardo,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1443343,Padre Bernardo,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1443344,Padre Bernardo,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1443345,Padre Bernardo,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1443346,Padre Bernardo,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1443347,Padre Bernardo,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1443348,Padre Bernardo,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1443349,Padre Bernardo,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1443350,Padre Bernardo,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1443351,Padre Bernardo,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1443352,Padre Bernardo,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1443353,Padre Bernardo,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1443354,Padre Bernardo,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1443355,Padre Bernardo,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1443356,Padre Bernardo,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1443357,Padre Bernardo,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1443358,Padre Bernardo,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1443359,Padre Bernardo,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1443360,Padre Bernardo,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1443361,Padre Bernardo,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1443362,Padre Bernardo,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1443363,Padre Bernardo,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1443364,Padre Bernardo,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1443365,Padre Bernardo,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1443366,Padre Bernardo,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1443367,Padre Bernardo,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1443368,Padre Bernardo,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1443369,Padre Bernardo,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1443370,Padre Bernardo,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1443371,Padre Bernardo,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1443372,Padre Bernardo,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1443373,Padre Bernardo,2020-05-09,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1443374,Padre Bernardo,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443375,Padre Bernardo,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443376,Padre Bernardo,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443377,Padre Bernardo,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443378,Padre Bernardo,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443379,Padre Bernardo,2020-05-15,0.0,-1,0,0,0.0,0.0,0.0,0.0
1443380,Padre Bernardo,2020-05-16,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1443381,Padre Bernardo,2020-05-17,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1443382,Padre Bernardo,2020-05-18,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1443383,Padre Bernardo,2020-05-19,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1443384,Padre Bernardo,2020-05-20,1.0,1,0,0,0.0,0.0,0.0,0.0
1443385,Padre Bernardo,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
1443386,Padre Bernardo,2020-05-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443387,Padre Bernardo,2020-05-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443388,Padre Bernardo,2020-05-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443389,Padre Bernardo,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443390,Padre Bernardo,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1443391,Padre Bernardo,2020-05-27,1.0,0,0,0,0.0,0.0,0.0,0.0
1443392,Padre Bernardo,2020-05-28,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1443393,Padre Bernardo,2020-05-29,43.0,40,0,0,6.0,0.0,42.0,0.0
1443394,Padre Bernardo,2020-05-30,46.0,3,0,0,6.428571428571429,0.0,45.0,0.0
1443395,Padre Bernardo,2020-05-31,46.0,0,0,0,6.428571428571429,0.0,45.0,0.0
