index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1518720,Paranapanema,2020-03-27,0.0,0,0,0,2.142857142857143,0.42857142857142855,15.0,3.0
1518721,Paranapanema,2020-03-28,0.0,0,0,0,1.7142857142857142,0.42857142857142855,12.0,3.0
1518722,Paranapanema,2020-03-29,0.0,0,0,0,1.7142857142857142,0.42857142857142855,12.0,3.0
1518723,Paranapanema,2020-03-30,0.0,0,0,0,1.7142857142857142,0.2857142857142857,12.0,2.0
1518724,Paranapanema,2020-03-31,0.0,0,0,0,1.2857142857142858,0.2857142857142857,9.0,2.0
1518725,Paranapanema,2020-04-01,0.0,0,0,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1518726,Paranapanema,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1518727,Paranapanema,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1518728,Paranapanema,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1518729,Paranapanema,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1518730,Paranapanema,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1518731,Paranapanema,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1518732,Paranapanema,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1518733,Paranapanema,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1518734,Paranapanema,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1518735,Paranapanema,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1518736,Paranapanema,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1518737,Paranapanema,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1518738,Paranapanema,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1518739,Paranapanema,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1518740,Paranapanema,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1518741,Paranapanema,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1518742,Paranapanema,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1518743,Paranapanema,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1518744,Paranapanema,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1518745,Paranapanema,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
