index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1470170,Parecis,2020-03-27,0.0,0,0,0,1.0,0.0,7.0,0.0
1470171,Parecis,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1470172,Parecis,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1470173,Parecis,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1470174,Parecis,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1470175,Parecis,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1470176,Parecis,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1470177,Parecis,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1470178,Parecis,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1470179,Parecis,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1470180,Parecis,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1470181,Parecis,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1470182,Parecis,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1470183,Parecis,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1470184,Parecis,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1470185,Parecis,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1470186,Parecis,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1470187,Parecis,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1470188,Parecis,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1470189,Parecis,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1470190,Parecis,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1470191,Parecis,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1470192,Parecis,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1470193,Parecis,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1470194,Parecis,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1470195,Parecis,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1470196,Parecis,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1470197,Parecis,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1470198,Parecis,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1470199,Parecis,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1470200,Parecis,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1470201,Parecis,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1470202,Parecis,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1470203,Parecis,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1470204,Parecis,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1470205,Parecis,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1470206,Parecis,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1470207,Parecis,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1470208,Parecis,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1470209,Parecis,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1470210,Parecis,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1470211,Parecis,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1470212,Parecis,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1470213,Parecis,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1470214,Parecis,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1470215,Parecis,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1470216,Parecis,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1470217,Parecis,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1470218,Parecis,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1470219,Parecis,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
