index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1464003,Pau Brasil,2020-03-27,0.0,0,0,0,20.714285714285715,0.0,145.0,0.0
1464004,Pau Brasil,2020-03-28,0.0,0,0,0,15.285714285714286,0.0,107.0,0.0
1464005,Pau Brasil,2020-03-29,0.0,0,0,0,9.0,0.0,63.0,0.0
1464006,Pau Brasil,2020-03-30,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1464007,Pau Brasil,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1464008,Pau Brasil,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1464009,Pau Brasil,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1464010,Pau Brasil,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1464011,Pau Brasil,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1464012,Pau Brasil,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1464013,Pau Brasil,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1464014,Pau Brasil,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1464015,Pau Brasil,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1464016,Pau Brasil,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1464017,Pau Brasil,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1464018,Pau Brasil,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1464019,Pau Brasil,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1464020,Pau Brasil,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1464021,Pau Brasil,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1464022,Pau Brasil,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1464023,Pau Brasil,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1464024,Pau Brasil,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1464025,Pau Brasil,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1464026,Pau Brasil,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1464027,Pau Brasil,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1464028,Pau Brasil,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1464029,Pau Brasil,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1464030,Pau Brasil,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1464031,Pau Brasil,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1464032,Pau Brasil,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1464033,Pau Brasil,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1464034,Pau Brasil,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1464035,Pau Brasil,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1464036,Pau Brasil,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1464037,Pau Brasil,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1464038,Pau Brasil,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1464039,Pau Brasil,2020-05-02,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
