index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1520736,Pedras Altas,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1520737,Pedras Altas,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1520738,Pedras Altas,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1520739,Pedras Altas,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1520740,Pedras Altas,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1520741,Pedras Altas,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1520742,Pedras Altas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1520743,Pedras Altas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1520744,Pedras Altas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1520745,Pedras Altas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1520746,Pedras Altas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1520747,Pedras Altas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1520748,Pedras Altas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1520749,Pedras Altas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1520750,Pedras Altas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1520751,Pedras Altas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1520752,Pedras Altas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1520753,Pedras Altas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1520754,Pedras Altas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1520755,Pedras Altas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1520756,Pedras Altas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1520757,Pedras Altas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1520758,Pedras Altas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1520759,Pedras Altas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1520760,Pedras Altas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1520761,Pedras Altas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1520762,Pedras Altas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1520763,Pedras Altas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1520764,Pedras Altas,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1520765,Pedras Altas,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
