index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1593834,Penaforte,2020-03-27,0.0,0,0,0,120.28571428571429,4.857142857142857,842.0,34.0
1593835,Penaforte,2020-03-28,0.0,0,0,0,120.28571428571429,4.857142857142857,842.0,34.0
1593836,Penaforte,2020-03-29,0.0,0,0,0,90.71428571428571,3.142857142857143,635.0,22.0
1593837,Penaforte,2020-03-30,0.0,0,0,0,76.14285714285714,2.5714285714285716,533.0,18.0
1593838,Penaforte,2020-03-31,0.0,0,0,0,16.857142857142858,1.7142857142857142,118.0,12.0
1593839,Penaforte,2020-04-01,0.0,0,0,0,5.428571428571429,0.14285714285714285,38.0,1.0
1593840,Penaforte,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1593841,Penaforte,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1593842,Penaforte,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1593843,Penaforte,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1593844,Penaforte,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1593845,Penaforte,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1593846,Penaforte,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1593847,Penaforte,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1593848,Penaforte,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1593849,Penaforte,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1593850,Penaforte,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1593851,Penaforte,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1593852,Penaforte,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1593853,Penaforte,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1593854,Penaforte,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1593855,Penaforte,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1593856,Penaforte,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1593857,Penaforte,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1593858,Penaforte,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1593859,Penaforte,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1593860,Penaforte,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1593861,Penaforte,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1593862,Penaforte,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1593863,Penaforte,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1593864,Penaforte,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1593865,Penaforte,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1593866,Penaforte,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1593867,Penaforte,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1593868,Penaforte,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1593869,Penaforte,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1593870,Penaforte,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
