index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1589095,Picos,2020-03-27,0.0,0,0,0,2.0,0.0,14.0,0.0
1589096,Picos,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
1589097,Picos,2020-03-29,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1589098,Picos,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1589099,Picos,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1589100,Picos,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1589101,Picos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1589102,Picos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1589103,Picos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1589104,Picos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1589105,Picos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1589106,Picos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1589107,Picos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1589108,Picos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1589109,Picos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1589110,Picos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1589111,Picos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1589112,Picos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1589113,Picos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1589114,Picos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1589115,Picos,2020-04-16,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1589116,Picos,2020-04-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1589117,Picos,2020-04-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1589118,Picos,2020-04-19,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1589119,Picos,2020-04-20,2.0,0,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1589120,Picos,2020-04-21,2.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1589121,Picos,2020-04-22,2.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1589122,Picos,2020-04-23,2.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1589123,Picos,2020-04-24,2.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1589124,Picos,2020-04-25,2.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1589125,Picos,2020-04-26,6.0,4,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1589126,Picos,2020-04-27,6.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1589127,Picos,2020-04-28,12.0,6,1,0,1.4285714285714286,0.0,10.0,0.0
