index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1512590,Pinhão,2020-03-27,0.0,0,0,0,12.285714285714286,0.42857142857142855,86.0,3.0
1512591,Pinhão,2020-03-28,0.0,0,0,0,10.714285714285714,0.42857142857142855,75.0,3.0
1512592,Pinhão,2020-03-29,0.0,0,0,0,7.571428571428571,0.42857142857142855,53.0,3.0
1512593,Pinhão,2020-03-30,0.0,0,0,0,6.285714285714286,0.42857142857142855,44.0,3.0
1512594,Pinhão,2020-03-31,0.0,0,0,0,4.428571428571429,0.2857142857142857,31.0,2.0
1512595,Pinhão,2020-04-01,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1512596,Pinhão,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1512597,Pinhão,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1512598,Pinhão,2020-04-04,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1512599,Pinhão,2020-04-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1512600,Pinhão,2020-04-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1512601,Pinhão,2020-04-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1512602,Pinhão,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1512603,Pinhão,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1512604,Pinhão,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1512605,Pinhão,2020-04-11,1.0,0,0,0,0.0,0.0,0.0,0.0
1512606,Pinhão,2020-04-12,1.0,0,0,0,0.0,0.0,0.0,0.0
1512607,Pinhão,2020-04-13,1.0,0,0,0,0.0,0.0,0.0,0.0
1512608,Pinhão,2020-04-14,1.0,0,0,0,0.0,0.0,0.0,0.0
1512609,Pinhão,2020-04-15,1.0,0,0,0,0.0,0.0,0.0,0.0
1512610,Pinhão,2020-04-16,1.0,0,0,0,0.0,0.0,0.0,0.0
