index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1505787,Pintadas,2020-03-27,0.0,0,0,0,6.428571428571429,0.0,45.0,0.0
1505788,Pintadas,2020-03-28,0.0,0,0,0,6.142857142857143,0.0,43.0,0.0
1505789,Pintadas,2020-03-29,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1505790,Pintadas,2020-03-30,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1505791,Pintadas,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1505792,Pintadas,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1505793,Pintadas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1505794,Pintadas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1505795,Pintadas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1505796,Pintadas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1505797,Pintadas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1505798,Pintadas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1505799,Pintadas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1505800,Pintadas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1505801,Pintadas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1505802,Pintadas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1505803,Pintadas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1505804,Pintadas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1505805,Pintadas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1505806,Pintadas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1505807,Pintadas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1505808,Pintadas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1505809,Pintadas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1505810,Pintadas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1505811,Pintadas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1505812,Pintadas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1505813,Pintadas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1505814,Pintadas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1505815,Pintadas,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1505816,Pintadas,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1505817,Pintadas,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1505818,Pintadas,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1505819,Pintadas,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1505820,Pintadas,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1505821,Pintadas,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1505822,Pintadas,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1505823,Pintadas,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1505824,Pintadas,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1505825,Pintadas,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1505826,Pintadas,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1505827,Pintadas,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1505828,Pintadas,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1505829,Pintadas,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1505830,Pintadas,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1505831,Pintadas,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1505832,Pintadas,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1505833,Pintadas,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1505834,Pintadas,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1505835,Pintadas,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1505836,Pintadas,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1505837,Pintadas,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1505838,Pintadas,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1505839,Pintadas,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1505840,Pintadas,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1505841,Pintadas,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1505842,Pintadas,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1505843,Pintadas,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1505844,Pintadas,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1505845,Pintadas,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1505846,Pintadas,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1505847,Pintadas,2020-05-26,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1505848,Pintadas,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
