index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1582364,Piraí do Norte,2020-03-27,0.0,0,0,0,12.571428571428571,0.2857142857142857,88.0,2.0
1582365,Piraí do Norte,2020-03-28,0.0,0,0,0,12.571428571428571,0.2857142857142857,88.0,2.0
1582366,Piraí do Norte,2020-03-29,0.0,0,0,0,10.714285714285714,0.2857142857142857,75.0,2.0
1582367,Piraí do Norte,2020-03-30,0.0,0,0,0,8.428571428571429,0.2857142857142857,59.0,2.0
1582368,Piraí do Norte,2020-03-31,0.0,0,0,0,5.285714285714286,0.0,37.0,0.0
1582369,Piraí do Norte,2020-04-01,0.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
1582370,Piraí do Norte,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1582371,Piraí do Norte,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1582372,Piraí do Norte,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1582373,Piraí do Norte,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1582374,Piraí do Norte,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1582375,Piraí do Norte,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1582376,Piraí do Norte,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1582377,Piraí do Norte,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1582378,Piraí do Norte,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1582379,Piraí do Norte,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1582380,Piraí do Norte,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1582381,Piraí do Norte,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1582382,Piraí do Norte,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1582383,Piraí do Norte,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1582384,Piraí do Norte,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1582385,Piraí do Norte,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1582386,Piraí do Norte,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1582387,Piraí do Norte,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1582388,Piraí do Norte,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1582389,Piraí do Norte,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1582390,Piraí do Norte,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1582391,Piraí do Norte,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1582392,Piraí do Norte,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1582393,Piraí do Norte,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1582394,Piraí do Norte,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1582395,Piraí do Norte,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1582396,Piraí do Norte,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1582397,Piraí do Norte,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1582398,Piraí do Norte,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1582399,Piraí do Norte,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1582400,Piraí do Norte,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1582401,Piraí do Norte,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1582402,Piraí do Norte,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1582403,Piraí do Norte,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1582404,Piraí do Norte,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1582405,Piraí do Norte,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1582406,Piraí do Norte,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1582407,Piraí do Norte,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1582408,Piraí do Norte,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1582409,Piraí do Norte,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1582410,Piraí do Norte,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1582411,Piraí do Norte,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1582412,Piraí do Norte,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1582413,Piraí do Norte,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1582414,Piraí do Norte,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1582415,Piraí do Norte,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1582416,Piraí do Norte,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1582417,Piraí do Norte,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1582418,Piraí do Norte,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1582419,Piraí do Norte,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1582420,Piraí do Norte,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1582421,Piraí do Norte,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1582422,Piraí do Norte,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1582423,Piraí do Norte,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1582424,Piraí do Norte,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1582425,Piraí do Norte,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1582426,Piraí do Norte,2020-05-28,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1582427,Piraí do Norte,2020-05-29,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1582428,Piraí do Norte,2020-05-30,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1582429,Piraí do Norte,2020-05-31,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1582430,Piraí do Norte,2020-06-01,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1582431,Piraí do Norte,2020-06-02,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1582432,Piraí do Norte,2020-06-03,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1582433,Piraí do Norte,2020-06-04,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1582434,Piraí do Norte,2020-06-05,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1582435,Piraí do Norte,2020-06-06,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1582436,Piraí do Norte,2020-06-07,6.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
1582437,Piraí do Norte,2020-06-08,8.0,2,0,0,0.7142857142857143,0.0,5.0,0.0
1582438,Piraí do Norte,2020-06-09,11.0,3,0,0,1.1428571428571428,0.0,8.0,0.0
1582439,Piraí do Norte,2020-06-10,11.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1582440,Piraí do Norte,2020-06-11,11.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1582441,Piraí do Norte,2020-06-12,11.0,0,0,0,1.0,0.0,7.0,0.0
1582442,Piraí do Norte,2020-06-13,11.0,0,0,0,1.0,0.0,7.0,0.0
1582443,Piraí do Norte,2020-06-14,11.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1582444,Piraí do Norte,2020-06-15,11.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1582445,Piraí do Norte,2020-06-16,11.0,0,0,0,0.0,0.0,0.0,0.0
1582446,Piraí do Norte,2020-06-17,11.0,0,0,0,0.0,0.0,0.0,0.0
1582447,Piraí do Norte,2020-06-18,11.0,0,0,0,0.0,0.0,0.0,0.0
1582448,Piraí do Norte,2020-06-19,17.0,6,0,0,0.8571428571428571,0.0,6.0,0.0
1582449,Piraí do Norte,2020-06-20,18.0,1,0,0,1.0,0.0,7.0,0.0
1582450,Piraí do Norte,2020-06-21,18.0,0,0,0,1.0,0.0,7.0,0.0
1582451,Piraí do Norte,2020-06-22,22.0,4,0,0,1.5714285714285714,0.0,11.0,0.0
1582452,Piraí do Norte,2020-06-23,30.0,8,0,0,2.7142857142857144,0.0,19.0,0.0
1582453,Piraí do Norte,2020-06-24,31.0,1,0,0,2.857142857142857,0.0,20.0,0.0
1582454,Piraí do Norte,2020-06-25,31.0,0,0,0,2.857142857142857,0.0,20.0,0.0
1582455,Piraí do Norte,2020-06-26,33.0,2,0,0,2.2857142857142856,0.0,16.0,0.0
1582456,Piraí do Norte,2020-06-27,37.0,4,0,0,2.7142857142857144,0.0,19.0,0.0
1582457,Piraí do Norte,2020-06-28,45.0,8,0,0,3.857142857142857,0.0,27.0,0.0
1582458,Piraí do Norte,2020-06-29,45.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1582459,Piraí do Norte,2020-06-30,45.0,0,0,0,2.142857142857143,0.0,15.0,0.0
1582460,Piraí do Norte,2020-07-01,47.0,2,0,0,2.2857142857142856,0.0,16.0,0.0
1582461,Piraí do Norte,2020-07-02,51.0,4,0,0,2.857142857142857,0.0,20.0,0.0
1582462,Piraí do Norte,2020-07-03,54.0,3,0,0,3.0,0.0,21.0,0.0
1582463,Piraí do Norte,2020-07-04,56.0,2,0,0,2.7142857142857144,0.0,19.0,0.0
1582464,Piraí do Norte,2020-07-05,64.0,8,0,0,2.7142857142857144,0.0,19.0,0.0
1582465,Piraí do Norte,2020-07-06,69.0,5,0,0,3.4285714285714284,0.0,24.0,0.0
1582466,Piraí do Norte,2020-07-07,72.0,3,0,0,3.857142857142857,0.0,27.0,0.0
1582467,Piraí do Norte,2020-07-08,80.0,8,0,0,4.714285714285714,0.0,33.0,0.0
1582468,Piraí do Norte,2020-07-09,81.0,1,0,0,4.285714285714286,0.0,30.0,0.0
1582469,Piraí do Norte,2020-07-10,95.0,14,0,0,5.857142857142857,0.0,41.0,0.0
1582470,Piraí do Norte,2020-07-11,103.0,8,0,0,6.714285714285714,0.0,47.0,0.0
1582471,Piraí do Norte,2020-07-12,114.0,11,1,1,7.142857142857143,0.14285714285714285,50.0,1.0
1582472,Piraí do Norte,2020-07-13,112.0,-2,1,0,6.142857142857143,0.14285714285714285,43.0,1.0
1582473,Piraí do Norte,2020-07-14,132.0,20,1,0,8.571428571428571,0.14285714285714285,60.0,1.0
1582474,Piraí do Norte,2020-07-15,143.0,11,1,0,9.0,0.14285714285714285,63.0,1.0
1582475,Piraí do Norte,2020-07-16,149.0,6,1,0,9.714285714285714,0.14285714285714285,68.0,1.0
1582476,Piraí do Norte,2020-07-17,158.0,9,1,0,9.0,0.14285714285714285,63.0,1.0
1582477,Piraí do Norte,2020-07-18,170.0,12,1,0,9.571428571428571,0.14285714285714285,67.0,1.0
1582478,Piraí do Norte,2020-07-19,170.0,0,1,0,8.0,0.0,56.0,0.0
1582479,Piraí do Norte,2020-07-20,177.0,7,1,0,9.285714285714286,0.0,65.0,0.0
1582480,Piraí do Norte,2020-07-21,190.0,13,1,0,8.285714285714286,0.0,58.0,0.0
1582481,Piraí do Norte,2020-07-22,205.0,15,1,0,8.857142857142858,0.0,62.0,0.0
1582482,Piraí do Norte,2020-07-23,205.0,0,1,0,8.0,0.0,56.0,0.0
1582483,Piraí do Norte,2020-07-24,226.0,21,1,0,9.714285714285714,0.0,68.0,0.0
1582484,Piraí do Norte,2020-07-25,238.0,12,1,0,9.714285714285714,0.0,68.0,0.0
1582485,Piraí do Norte,2020-07-26,236.0,-2,2,1,9.428571428571429,0.14285714285714285,66.0,1.0
1582486,Piraí do Norte,2020-07-27,236.0,0,2,0,8.428571428571429,0.14285714285714285,59.0,1.0
1582487,Piraí do Norte,2020-07-28,250.0,14,2,0,8.571428571428571,0.14285714285714285,60.0,1.0
1582488,Piraí do Norte,2020-07-29,259.0,9,2,0,7.714285714285714,0.14285714285714285,54.0,1.0
1582489,Piraí do Norte,2020-07-30,260.0,1,2,0,7.857142857142857,0.14285714285714285,55.0,1.0
1582490,Piraí do Norte,2020-07-31,266.0,6,2,0,5.714285714285714,0.14285714285714285,40.0,1.0
