index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1564563,Piraí do Sul,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1564564,Piraí do Sul,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1564565,Piraí do Sul,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1564566,Piraí do Sul,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1564567,Piraí do Sul,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1564568,Piraí do Sul,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1564569,Piraí do Sul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1564570,Piraí do Sul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1564571,Piraí do Sul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1564572,Piraí do Sul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1564573,Piraí do Sul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1564574,Piraí do Sul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1564575,Piraí do Sul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1564576,Piraí do Sul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1564577,Piraí do Sul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1564578,Piraí do Sul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1564579,Piraí do Sul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1564580,Piraí do Sul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1564581,Piraí do Sul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1564582,Piraí do Sul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1564583,Piraí do Sul,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1564584,Piraí do Sul,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1564585,Piraí do Sul,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1564586,Piraí do Sul,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1564587,Piraí do Sul,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1564588,Piraí do Sul,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1564589,Piraí do Sul,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1564590,Piraí do Sul,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1564591,Piraí do Sul,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1564592,Piraí do Sul,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1564593,Piraí do Sul,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1564594,Piraí do Sul,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1564595,Piraí do Sul,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1564596,Piraí do Sul,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1564597,Piraí do Sul,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1564598,Piraí do Sul,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1564599,Piraí do Sul,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1564600,Piraí do Sul,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1564601,Piraí do Sul,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1564602,Piraí do Sul,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1564603,Piraí do Sul,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1564604,Piraí do Sul,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1564605,Piraí do Sul,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1564606,Piraí do Sul,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1564607,Piraí do Sul,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1564608,Piraí do Sul,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1564609,Piraí do Sul,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1564610,Piraí do Sul,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1564611,Piraí do Sul,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1564612,Piraí do Sul,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1564613,Piraí do Sul,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1564614,Piraí do Sul,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
