index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1549800,Pontal do Araguaia,2020-03-27,0.0,0,0,0,9.142857142857142,0.5714285714285714,64.0,4.0
1549801,Pontal do Araguaia,2020-03-28,0.0,0,0,0,6.571428571428571,0.5714285714285714,46.0,4.0
1549802,Pontal do Araguaia,2020-03-29,0.0,0,0,0,6.285714285714286,0.5714285714285714,44.0,4.0
1549803,Pontal do Araguaia,2020-03-30,0.0,0,0,0,6.285714285714286,0.5714285714285714,44.0,4.0
1549804,Pontal do Araguaia,2020-03-31,0.0,0,0,0,2.857142857142857,0.2857142857142857,20.0,2.0
1549805,Pontal do Araguaia,2020-04-01,0.0,0,0,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1549806,Pontal do Araguaia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1549807,Pontal do Araguaia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1549808,Pontal do Araguaia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1549809,Pontal do Araguaia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1549810,Pontal do Araguaia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1549811,Pontal do Araguaia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1549812,Pontal do Araguaia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1549813,Pontal do Araguaia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1549814,Pontal do Araguaia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1549815,Pontal do Araguaia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1549816,Pontal do Araguaia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1549817,Pontal do Araguaia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1549818,Pontal do Araguaia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1549819,Pontal do Araguaia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1549820,Pontal do Araguaia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1549821,Pontal do Araguaia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1549822,Pontal do Araguaia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1549823,Pontal do Araguaia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1549824,Pontal do Araguaia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1549825,Pontal do Araguaia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
