index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1610776,Presidente Alves,2020-03-27,0.0,0,0,0,3.0,0.0,21.0,0.0
1610777,Presidente Alves,2020-03-28,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
1610778,Presidente Alves,2020-03-29,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1610779,Presidente Alves,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
1610780,Presidente Alves,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610781,Presidente Alves,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1610782,Presidente Alves,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1610783,Presidente Alves,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1610784,Presidente Alves,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1610785,Presidente Alves,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1610786,Presidente Alves,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1610787,Presidente Alves,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1610788,Presidente Alves,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1610789,Presidente Alves,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1610790,Presidente Alves,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1610791,Presidente Alves,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1610792,Presidente Alves,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1610793,Presidente Alves,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1610794,Presidente Alves,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1610795,Presidente Alves,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1610796,Presidente Alves,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1610797,Presidente Alves,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1610798,Presidente Alves,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1610799,Presidente Alves,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1610800,Presidente Alves,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1610801,Presidente Alves,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1610802,Presidente Alves,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1610803,Presidente Alves,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1610804,Presidente Alves,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1610805,Presidente Alves,2020-04-25,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1610806,Presidente Alves,2020-04-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610807,Presidente Alves,2020-04-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610808,Presidente Alves,2020-04-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610809,Presidente Alves,2020-04-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610810,Presidente Alves,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610811,Presidente Alves,2020-05-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610812,Presidente Alves,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
1610813,Presidente Alves,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
1610814,Presidente Alves,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1610815,Presidente Alves,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1610816,Presidente Alves,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1610817,Presidente Alves,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1610818,Presidente Alves,2020-05-08,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1610819,Presidente Alves,2020-05-09,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610820,Presidente Alves,2020-05-10,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610821,Presidente Alves,2020-05-11,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610822,Presidente Alves,2020-05-12,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610823,Presidente Alves,2020-05-13,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610824,Presidente Alves,2020-05-14,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610825,Presidente Alves,2020-05-15,3.0,0,0,0,0.0,0.0,0.0,0.0
1610826,Presidente Alves,2020-05-16,3.0,0,0,0,0.0,0.0,0.0,0.0
1610827,Presidente Alves,2020-05-17,3.0,0,0,0,0.0,0.0,0.0,0.0
1610828,Presidente Alves,2020-05-18,3.0,0,0,0,0.0,0.0,0.0,0.0
1610829,Presidente Alves,2020-05-19,3.0,0,0,0,0.0,0.0,0.0,0.0
1610830,Presidente Alves,2020-05-20,3.0,0,0,0,0.0,0.0,0.0,0.0
1610831,Presidente Alves,2020-05-21,3.0,0,0,0,0.0,0.0,0.0,0.0
1610832,Presidente Alves,2020-05-22,3.0,0,0,0,0.0,0.0,0.0,0.0
1610833,Presidente Alves,2020-05-23,3.0,0,0,0,0.0,0.0,0.0,0.0
1610834,Presidente Alves,2020-05-24,3.0,0,0,0,0.0,0.0,0.0,0.0
1610835,Presidente Alves,2020-05-25,3.0,0,0,0,0.0,0.0,0.0,0.0
1610836,Presidente Alves,2020-05-26,3.0,0,0,0,0.0,0.0,0.0,0.0
1610837,Presidente Alves,2020-05-27,3.0,0,0,0,0.0,0.0,0.0,0.0
1610838,Presidente Alves,2020-05-28,3.0,0,0,0,0.0,0.0,0.0,0.0
1610839,Presidente Alves,2020-05-29,3.0,0,0,0,0.0,0.0,0.0,0.0
1610840,Presidente Alves,2020-05-30,3.0,0,0,0,0.0,0.0,0.0,0.0
1610841,Presidente Alves,2020-05-31,3.0,0,0,0,0.0,0.0,0.0,0.0
1610842,Presidente Alves,2020-06-01,3.0,0,0,0,0.0,0.0,0.0,0.0
1610843,Presidente Alves,2020-06-02,3.0,0,0,0,0.0,0.0,0.0,0.0
1610844,Presidente Alves,2020-06-03,3.0,0,0,0,0.0,0.0,0.0,0.0
1610845,Presidente Alves,2020-06-04,3.0,0,0,0,0.0,0.0,0.0,0.0
1610846,Presidente Alves,2020-06-05,3.0,0,0,0,0.0,0.0,0.0,0.0
1610847,Presidente Alves,2020-06-06,3.0,0,0,0,0.0,0.0,0.0,0.0
1610848,Presidente Alves,2020-06-07,3.0,0,0,0,0.0,0.0,0.0,0.0
1610849,Presidente Alves,2020-06-08,3.0,0,0,0,0.0,0.0,0.0,0.0
1610850,Presidente Alves,2020-06-09,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1610851,Presidente Alves,2020-06-10,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610852,Presidente Alves,2020-06-11,5.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1610853,Presidente Alves,2020-06-12,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610854,Presidente Alves,2020-06-13,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610855,Presidente Alves,2020-06-14,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610856,Presidente Alves,2020-06-15,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610857,Presidente Alves,2020-06-16,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610858,Presidente Alves,2020-06-17,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610859,Presidente Alves,2020-06-18,5.0,0,0,0,0.0,0.0,0.0,0.0
1610860,Presidente Alves,2020-06-19,6.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1610861,Presidente Alves,2020-06-20,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610862,Presidente Alves,2020-06-21,7.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1610863,Presidente Alves,2020-06-22,7.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610864,Presidente Alves,2020-06-23,7.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610865,Presidente Alves,2020-06-24,7.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610866,Presidente Alves,2020-06-25,7.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610867,Presidente Alves,2020-06-26,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610868,Presidente Alves,2020-06-27,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610869,Presidente Alves,2020-06-28,7.0,0,0,0,0.0,0.0,0.0,0.0
1610870,Presidente Alves,2020-06-29,7.0,0,0,0,0.0,0.0,0.0,0.0
1610871,Presidente Alves,2020-06-30,7.0,0,0,0,0.0,0.0,0.0,0.0
1610872,Presidente Alves,2020-07-01,7.0,0,0,0,0.0,0.0,0.0,0.0
1610873,Presidente Alves,2020-07-02,7.0,0,0,0,0.0,0.0,0.0,0.0
1610874,Presidente Alves,2020-07-03,7.0,0,0,0,0.0,0.0,0.0,0.0
1610875,Presidente Alves,2020-07-04,7.0,0,0,0,0.0,0.0,0.0,0.0
1610876,Presidente Alves,2020-07-05,7.0,0,0,0,0.0,0.0,0.0,0.0
1610877,Presidente Alves,2020-07-06,7.0,0,0,0,0.0,0.0,0.0,0.0
1610878,Presidente Alves,2020-07-07,8.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1610879,Presidente Alves,2020-07-08,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610880,Presidente Alves,2020-07-09,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1610881,Presidente Alves,2020-07-10,9.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1610882,Presidente Alves,2020-07-11,9.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1610883,Presidente Alves,2020-07-12,9.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
