index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1703720,Primavera,2020-03-27,0.0,0,0,0,25.285714285714285,1.0,177.0,7.0
1703721,Primavera,2020-03-28,0.0,0,0,0,22.142857142857142,1.0,155.0,7.0
1703722,Primavera,2020-03-29,0.0,0,0,0,13.571428571428571,1.0,95.0,7.0
1703723,Primavera,2020-03-30,0.0,0,0,0,10.285714285714286,0.7142857142857143,72.0,5.0
1703724,Primavera,2020-03-31,0.0,0,0,0,9.428571428571429,0.0,66.0,0.0
1703725,Primavera,2020-04-01,0.0,0,0,0,9.428571428571429,0.0,66.0,0.0
1703726,Primavera,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1703727,Primavera,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1703728,Primavera,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1703729,Primavera,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1703730,Primavera,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1703731,Primavera,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1703732,Primavera,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1703733,Primavera,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1703734,Primavera,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1703735,Primavera,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1703736,Primavera,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1703737,Primavera,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1703738,Primavera,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1703739,Primavera,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1703740,Primavera,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1703741,Primavera,2020-04-17,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1703742,Primavera,2020-04-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1703743,Primavera,2020-04-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1703744,Primavera,2020-04-20,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1703745,Primavera,2020-04-21,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1703746,Primavera,2020-04-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1703747,Primavera,2020-04-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1703748,Primavera,2020-04-24,1.0,0,0,0,0.0,0.0,0.0,0.0
1703749,Primavera,2020-04-25,1.0,0,0,0,0.0,0.0,0.0,0.0
1703750,Primavera,2020-04-26,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
