index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1638826,Pão de Açúcar,2020-03-27,0.0,0,0,0,2.4285714285714284,0.14285714285714285,17.0,1.0
1638827,Pão de Açúcar,2020-03-28,0.0,0,0,0,2.2857142857142856,0.14285714285714285,16.0,1.0
1638828,Pão de Açúcar,2020-03-29,0.0,0,0,0,2.0,0.14285714285714285,14.0,1.0
1638829,Pão de Açúcar,2020-03-30,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1638830,Pão de Açúcar,2020-03-31,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1638831,Pão de Açúcar,2020-04-01,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1638832,Pão de Açúcar,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1638833,Pão de Açúcar,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1638834,Pão de Açúcar,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1638835,Pão de Açúcar,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1638836,Pão de Açúcar,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1638837,Pão de Açúcar,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1638838,Pão de Açúcar,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1638839,Pão de Açúcar,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1638840,Pão de Açúcar,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1638841,Pão de Açúcar,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1638842,Pão de Açúcar,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1638843,Pão de Açúcar,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1638844,Pão de Açúcar,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1638845,Pão de Açúcar,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1638846,Pão de Açúcar,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1638847,Pão de Açúcar,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1638848,Pão de Açúcar,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1638849,Pão de Açúcar,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1638850,Pão de Açúcar,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
