index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1668810,Raposos,2020-03-27,0.0,0,0,0,1.5714285714285714,0.8571428571428571,11.0,6.0
1668811,Raposos,2020-03-28,0.0,0,0,0,1.5714285714285714,0.8571428571428571,11.0,6.0
1668812,Raposos,2020-03-29,0.0,0,0,0,1.2857142857142858,0.42857142857142855,9.0,3.0
1668813,Raposos,2020-03-30,0.0,0,0,0,1.0,0.42857142857142855,7.0,3.0
1668814,Raposos,2020-03-31,0.0,0,0,0,0.42857142857142855,0.2857142857142857,3.0,2.0
1668815,Raposos,2020-04-01,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1668816,Raposos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1668817,Raposos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1668818,Raposos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1668819,Raposos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1668820,Raposos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1668821,Raposos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1668822,Raposos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1668823,Raposos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1668824,Raposos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1668825,Raposos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1668826,Raposos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1668827,Raposos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1668828,Raposos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1668829,Raposos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1668830,Raposos,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1668831,Raposos,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1668832,Raposos,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1668833,Raposos,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1668834,Raposos,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1668835,Raposos,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1668836,Raposos,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1668837,Raposos,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1668838,Raposos,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1668839,Raposos,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1668840,Raposos,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1668841,Raposos,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1668842,Raposos,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1668843,Raposos,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1668844,Raposos,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1668845,Raposos,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1668846,Raposos,2020-05-02,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1668847,Raposos,2020-05-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668848,Raposos,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668849,Raposos,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668850,Raposos,2020-05-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668851,Raposos,2020-05-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668852,Raposos,2020-05-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668853,Raposos,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
1668854,Raposos,2020-05-10,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1668855,Raposos,2020-05-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1668856,Raposos,2020-05-12,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1668857,Raposos,2020-05-13,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1668858,Raposos,2020-05-14,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1668859,Raposos,2020-05-15,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1668860,Raposos,2020-05-16,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
