index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1705611,Regente Feijó,2020-03-27,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705612,Regente Feijó,2020-03-28,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705613,Regente Feijó,2020-03-29,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705614,Regente Feijó,2020-03-30,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705615,Regente Feijó,2020-03-31,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1705616,Regente Feijó,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1705617,Regente Feijó,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1705618,Regente Feijó,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1705619,Regente Feijó,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1705620,Regente Feijó,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1705621,Regente Feijó,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1705622,Regente Feijó,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1705623,Regente Feijó,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1705624,Regente Feijó,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1705625,Regente Feijó,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1705626,Regente Feijó,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1705627,Regente Feijó,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1705628,Regente Feijó,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1705629,Regente Feijó,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1705630,Regente Feijó,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1705631,Regente Feijó,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1705632,Regente Feijó,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1705633,Regente Feijó,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
