index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1726148,Riachão do Bacamarte,2020-03-27,0.0,0,0,0,7.285714285714286,0.14285714285714285,51.0,1.0
1726149,Riachão do Bacamarte,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1726150,Riachão do Bacamarte,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1726151,Riachão do Bacamarte,2020-03-30,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1726152,Riachão do Bacamarte,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1726153,Riachão do Bacamarte,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1726154,Riachão do Bacamarte,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1726155,Riachão do Bacamarte,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1726156,Riachão do Bacamarte,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1726157,Riachão do Bacamarte,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1726158,Riachão do Bacamarte,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1726159,Riachão do Bacamarte,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1726160,Riachão do Bacamarte,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1726161,Riachão do Bacamarte,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1726162,Riachão do Bacamarte,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1726163,Riachão do Bacamarte,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1726164,Riachão do Bacamarte,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1726165,Riachão do Bacamarte,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1726166,Riachão do Bacamarte,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1726167,Riachão do Bacamarte,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1726168,Riachão do Bacamarte,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1726169,Riachão do Bacamarte,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1726170,Riachão do Bacamarte,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1726171,Riachão do Bacamarte,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1726172,Riachão do Bacamarte,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1726173,Riachão do Bacamarte,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1726174,Riachão do Bacamarte,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1726175,Riachão do Bacamarte,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1726176,Riachão do Bacamarte,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1726177,Riachão do Bacamarte,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1726178,Riachão do Bacamarte,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1726179,Riachão do Bacamarte,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1726180,Riachão do Bacamarte,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1726181,Riachão do Bacamarte,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1726182,Riachão do Bacamarte,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1726183,Riachão do Bacamarte,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1726184,Riachão do Bacamarte,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1726185,Riachão do Bacamarte,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1726186,Riachão do Bacamarte,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1726187,Riachão do Bacamarte,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1726188,Riachão do Bacamarte,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1726189,Riachão do Bacamarte,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1726190,Riachão do Bacamarte,2020-05-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
