index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1756348,Ribamar Fiquene,2020-03-27,0.0,0,0,0,4.142857142857143,0.14285714285714285,29.0,1.0
1756349,Ribamar Fiquene,2020-03-28,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1756350,Ribamar Fiquene,2020-03-29,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1756351,Ribamar Fiquene,2020-03-30,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1756352,Ribamar Fiquene,2020-03-31,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1756353,Ribamar Fiquene,2020-04-01,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1756354,Ribamar Fiquene,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1756355,Ribamar Fiquene,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1756356,Ribamar Fiquene,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1756357,Ribamar Fiquene,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1756358,Ribamar Fiquene,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1756359,Ribamar Fiquene,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1756360,Ribamar Fiquene,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1756361,Ribamar Fiquene,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1756362,Ribamar Fiquene,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1756363,Ribamar Fiquene,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1756364,Ribamar Fiquene,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1756365,Ribamar Fiquene,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1756366,Ribamar Fiquene,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1756367,Ribamar Fiquene,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1756368,Ribamar Fiquene,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1756369,Ribamar Fiquene,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1756370,Ribamar Fiquene,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1756371,Ribamar Fiquene,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1756372,Ribamar Fiquene,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1756373,Ribamar Fiquene,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1756374,Ribamar Fiquene,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1756375,Ribamar Fiquene,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1756376,Ribamar Fiquene,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1756377,Ribamar Fiquene,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1756378,Ribamar Fiquene,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1756379,Ribamar Fiquene,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1756380,Ribamar Fiquene,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1756381,Ribamar Fiquene,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1756382,Ribamar Fiquene,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1756383,Ribamar Fiquene,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1756384,Ribamar Fiquene,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1756385,Ribamar Fiquene,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1756386,Ribamar Fiquene,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1756387,Ribamar Fiquene,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1756388,Ribamar Fiquene,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1756389,Ribamar Fiquene,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1756390,Ribamar Fiquene,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1756391,Ribamar Fiquene,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1756392,Ribamar Fiquene,2020-05-10,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1756393,Ribamar Fiquene,2020-05-11,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1756394,Ribamar Fiquene,2020-05-12,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1756395,Ribamar Fiquene,2020-05-13,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1756396,Ribamar Fiquene,2020-05-14,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1756397,Ribamar Fiquene,2020-05-15,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1756398,Ribamar Fiquene,2020-05-16,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1756399,Ribamar Fiquene,2020-05-17,2.0,0,0,0,0.0,0.0,0.0,0.0
1756400,Ribamar Fiquene,2020-05-18,2.0,0,0,0,0.0,0.0,0.0,0.0
1756401,Ribamar Fiquene,2020-05-19,2.0,0,0,0,0.0,0.0,0.0,0.0
1756402,Ribamar Fiquene,2020-05-20,2.0,0,0,0,0.0,0.0,0.0,0.0
1756403,Ribamar Fiquene,2020-05-21,2.0,0,0,0,0.0,0.0,0.0,0.0
1756404,Ribamar Fiquene,2020-05-22,2.0,0,0,0,0.0,0.0,0.0,0.0
1756405,Ribamar Fiquene,2020-05-23,2.0,0,0,0,0.0,0.0,0.0,0.0
1756406,Ribamar Fiquene,2020-05-24,13.0,11,0,0,1.5714285714285714,0.0,11.0,0.0
1756407,Ribamar Fiquene,2020-05-25,13.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1756408,Ribamar Fiquene,2020-05-26,13.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1756409,Ribamar Fiquene,2020-05-27,13.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1756410,Ribamar Fiquene,2020-05-28,53.0,40,0,0,7.285714285714286,0.0,51.0,0.0
1756411,Ribamar Fiquene,2020-05-29,53.0,0,0,0,7.285714285714286,0.0,51.0,0.0
1756412,Ribamar Fiquene,2020-05-30,66.0,13,0,0,9.142857142857142,0.0,64.0,0.0
1756413,Ribamar Fiquene,2020-05-31,69.0,3,0,0,8.0,0.0,56.0,0.0
1756414,Ribamar Fiquene,2020-06-01,69.0,0,0,0,8.0,0.0,56.0,0.0
1756415,Ribamar Fiquene,2020-06-02,69.0,0,0,0,8.0,0.0,56.0,0.0
1756416,Ribamar Fiquene,2020-06-03,85.0,16,0,0,10.285714285714286,0.0,72.0,0.0
1756417,Ribamar Fiquene,2020-06-04,88.0,3,0,0,5.0,0.0,35.0,0.0
1756418,Ribamar Fiquene,2020-06-05,91.0,3,0,0,5.428571428571429,0.0,38.0,0.0
1756419,Ribamar Fiquene,2020-06-06,91.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
1756420,Ribamar Fiquene,2020-06-07,91.0,0,0,0,3.142857142857143,0.0,22.0,0.0
1756421,Ribamar Fiquene,2020-06-08,92.0,1,1,1,3.2857142857142856,0.14285714285714285,23.0,1.0
1756422,Ribamar Fiquene,2020-06-09,99.0,7,1,0,4.285714285714286,0.14285714285714285,30.0,1.0
1756423,Ribamar Fiquene,2020-06-10,101.0,2,2,1,2.2857142857142856,0.2857142857142857,16.0,2.0
1756424,Ribamar Fiquene,2020-06-11,102.0,1,2,0,2.0,0.2857142857142857,14.0,2.0
1756425,Ribamar Fiquene,2020-06-12,102.0,0,2,0,1.5714285714285714,0.2857142857142857,11.0,2.0
1756426,Ribamar Fiquene,2020-06-13,110.0,8,2,0,2.7142857142857144,0.2857142857142857,19.0,2.0
1756427,Ribamar Fiquene,2020-06-14,110.0,0,2,0,2.7142857142857144,0.2857142857142857,19.0,2.0
1756428,Ribamar Fiquene,2020-06-15,111.0,1,2,0,2.7142857142857144,0.14285714285714285,19.0,1.0
