index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1792700,Ribeira,2020-03-27,0.0,0,0,0,18.714285714285715,0.42857142857142855,131.0,3.0
1792701,Ribeira,2020-03-28,0.0,0,0,0,13.857142857142858,0.42857142857142855,97.0,3.0
1792702,Ribeira,2020-03-29,0.0,0,0,0,10.142857142857142,0.42857142857142855,71.0,3.0
1792703,Ribeira,2020-03-30,0.0,0,0,0,9.142857142857142,0.14285714285714285,64.0,1.0
1792704,Ribeira,2020-03-31,0.0,0,0,0,6.428571428571429,0.0,45.0,0.0
1792705,Ribeira,2020-04-01,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1792706,Ribeira,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1792707,Ribeira,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1792708,Ribeira,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1792709,Ribeira,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1792710,Ribeira,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1792711,Ribeira,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1792712,Ribeira,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1792713,Ribeira,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1792714,Ribeira,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1792715,Ribeira,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1792716,Ribeira,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1792717,Ribeira,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1792718,Ribeira,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1792719,Ribeira,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1792720,Ribeira,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1792721,Ribeira,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1792722,Ribeira,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1792723,Ribeira,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1792724,Ribeira,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1792725,Ribeira,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1792726,Ribeira,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1792727,Ribeira,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1792728,Ribeira,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1792729,Ribeira,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1792730,Ribeira,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1792731,Ribeira,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1792732,Ribeira,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1792733,Ribeira,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1792734,Ribeira,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1792735,Ribeira,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1792736,Ribeira,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1792737,Ribeira,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1792738,Ribeira,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1792739,Ribeira,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1792740,Ribeira,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1792741,Ribeira,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1792742,Ribeira,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1792743,Ribeira,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1792744,Ribeira,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1792745,Ribeira,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1792746,Ribeira,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1792747,Ribeira,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1792748,Ribeira,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1792749,Ribeira,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1792750,Ribeira,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1792751,Ribeira,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1792752,Ribeira,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1792753,Ribeira,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1792754,Ribeira,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1792755,Ribeira,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1792756,Ribeira,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1792757,Ribeira,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1792758,Ribeira,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1792759,Ribeira,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1792760,Ribeira,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1792761,Ribeira,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1792762,Ribeira,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1792763,Ribeira,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1792764,Ribeira,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1792765,Ribeira,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1792766,Ribeira,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1792767,Ribeira,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1792768,Ribeira,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1792769,Ribeira,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1792770,Ribeira,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1792771,Ribeira,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1792772,Ribeira,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1792773,Ribeira,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
