index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1790163,Rio Maria,2020-03-27,0.0,0,0,0,2.0,0.0,14.0,0.0
1790164,Rio Maria,2020-03-28,0.0,0,0,0,2.0,0.0,14.0,0.0
1790165,Rio Maria,2020-03-29,0.0,0,0,0,2.0,0.0,14.0,0.0
1790166,Rio Maria,2020-03-30,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1790167,Rio Maria,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1790168,Rio Maria,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1790169,Rio Maria,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1790170,Rio Maria,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1790171,Rio Maria,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1790172,Rio Maria,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1790173,Rio Maria,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1790174,Rio Maria,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1790175,Rio Maria,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1790176,Rio Maria,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1790177,Rio Maria,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1790178,Rio Maria,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1790179,Rio Maria,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1790180,Rio Maria,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1790181,Rio Maria,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1790182,Rio Maria,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1790183,Rio Maria,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1790184,Rio Maria,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1790185,Rio Maria,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1790186,Rio Maria,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1790187,Rio Maria,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1790188,Rio Maria,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1790189,Rio Maria,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1790190,Rio Maria,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1790191,Rio Maria,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1790192,Rio Maria,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1790193,Rio Maria,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1790194,Rio Maria,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1790195,Rio Maria,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1790196,Rio Maria,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1790197,Rio Maria,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1790198,Rio Maria,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1790199,Rio Maria,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1790200,Rio Maria,2020-05-03,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1790201,Rio Maria,2020-05-04,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1790202,Rio Maria,2020-05-05,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
