index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1732094,Rio Novo do Sul,2020-03-27,0.0,0,0,0,3.4285714285714284,0.0,24.0,0.0
1732095,Rio Novo do Sul,2020-03-28,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1732096,Rio Novo do Sul,2020-03-29,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1732097,Rio Novo do Sul,2020-03-30,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1732098,Rio Novo do Sul,2020-03-31,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1732099,Rio Novo do Sul,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1732100,Rio Novo do Sul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1732101,Rio Novo do Sul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1732102,Rio Novo do Sul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1732103,Rio Novo do Sul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1732104,Rio Novo do Sul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1732105,Rio Novo do Sul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1732106,Rio Novo do Sul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1732107,Rio Novo do Sul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1732108,Rio Novo do Sul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1732109,Rio Novo do Sul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1732110,Rio Novo do Sul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1732111,Rio Novo do Sul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1732112,Rio Novo do Sul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1732113,Rio Novo do Sul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1732114,Rio Novo do Sul,2020-04-16,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1732115,Rio Novo do Sul,2020-04-17,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1732116,Rio Novo do Sul,2020-04-18,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1732117,Rio Novo do Sul,2020-04-19,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1732118,Rio Novo do Sul,2020-04-20,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1732119,Rio Novo do Sul,2020-04-21,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1732120,Rio Novo do Sul,2020-04-22,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1732121,Rio Novo do Sul,2020-04-23,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1732122,Rio Novo do Sul,2020-04-24,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732123,Rio Novo do Sul,2020-04-25,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732124,Rio Novo do Sul,2020-04-26,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732125,Rio Novo do Sul,2020-04-27,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732126,Rio Novo do Sul,2020-04-28,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732127,Rio Novo do Sul,2020-04-29,3.0,0,0,0,0.0,0.0,0.0,0.0
1732128,Rio Novo do Sul,2020-04-30,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1732129,Rio Novo do Sul,2020-05-01,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732130,Rio Novo do Sul,2020-05-02,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732131,Rio Novo do Sul,2020-05-03,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732132,Rio Novo do Sul,2020-05-04,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732133,Rio Novo do Sul,2020-05-05,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732134,Rio Novo do Sul,2020-05-06,5.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1732135,Rio Novo do Sul,2020-05-07,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732136,Rio Novo do Sul,2020-05-08,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732137,Rio Novo do Sul,2020-05-09,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732138,Rio Novo do Sul,2020-05-10,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732139,Rio Novo do Sul,2020-05-11,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732140,Rio Novo do Sul,2020-05-12,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732141,Rio Novo do Sul,2020-05-13,5.0,0,0,0,0.0,0.0,0.0,0.0
1732142,Rio Novo do Sul,2020-05-14,6.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1732143,Rio Novo do Sul,2020-05-15,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732144,Rio Novo do Sul,2020-05-16,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732145,Rio Novo do Sul,2020-05-17,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732146,Rio Novo do Sul,2020-05-18,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732147,Rio Novo do Sul,2020-05-19,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732148,Rio Novo do Sul,2020-05-20,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1732149,Rio Novo do Sul,2020-05-21,6.0,0,0,0,0.0,0.0,0.0,0.0
1732150,Rio Novo do Sul,2020-05-22,6.0,0,0,0,0.0,0.0,0.0,0.0
1732151,Rio Novo do Sul,2020-05-23,6.0,0,0,0,0.0,0.0,0.0,0.0
1732152,Rio Novo do Sul,2020-05-24,6.0,0,0,0,0.0,0.0,0.0,0.0
1732153,Rio Novo do Sul,2020-05-25,6.0,0,0,0,0.0,0.0,0.0,0.0
1732154,Rio Novo do Sul,2020-05-26,8.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1732155,Rio Novo do Sul,2020-05-27,8.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1732156,Rio Novo do Sul,2020-05-28,9.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1732157,Rio Novo do Sul,2020-05-29,10.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1732158,Rio Novo do Sul,2020-05-30,10.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1732159,Rio Novo do Sul,2020-05-31,10.0,0,1,1,0.5714285714285714,0.14285714285714285,4.0,1.0
1732160,Rio Novo do Sul,2020-06-01,12.0,2,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1732161,Rio Novo do Sul,2020-06-02,12.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1732162,Rio Novo do Sul,2020-06-03,14.0,2,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1732163,Rio Novo do Sul,2020-06-04,14.0,0,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1732164,Rio Novo do Sul,2020-06-05,19.0,5,1,0,1.2857142857142858,0.14285714285714285,9.0,1.0
1732165,Rio Novo do Sul,2020-06-06,20.0,1,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
1732166,Rio Novo do Sul,2020-06-07,21.0,1,1,0,1.5714285714285714,0.0,11.0,0.0
1732167,Rio Novo do Sul,2020-06-08,25.0,4,1,0,1.8571428571428572,0.0,13.0,0.0
1732168,Rio Novo do Sul,2020-06-09,27.0,2,1,0,2.142857142857143,0.0,15.0,0.0
1732169,Rio Novo do Sul,2020-06-10,31.0,4,1,0,2.4285714285714284,0.0,17.0,0.0
1732170,Rio Novo do Sul,2020-06-11,31.0,0,1,0,2.4285714285714284,0.0,17.0,0.0
1732171,Rio Novo do Sul,2020-06-12,37.0,6,1,0,2.5714285714285716,0.0,18.0,0.0
1732172,Rio Novo do Sul,2020-06-13,44.0,7,1,0,3.4285714285714284,0.0,24.0,0.0
1732173,Rio Novo do Sul,2020-06-14,46.0,2,1,0,3.5714285714285716,0.0,25.0,0.0
1732174,Rio Novo do Sul,2020-06-15,50.0,4,1,0,3.5714285714285716,0.0,25.0,0.0
1732175,Rio Novo do Sul,2020-06-16,66.0,16,1,0,5.571428571428571,0.0,39.0,0.0
1732176,Rio Novo do Sul,2020-06-17,75.0,9,1,0,6.285714285714286,0.0,44.0,0.0
1732177,Rio Novo do Sul,2020-06-18,80.0,5,2,1,7.0,0.14285714285714285,49.0,1.0
1732178,Rio Novo do Sul,2020-06-19,91.0,11,3,1,7.714285714285714,0.2857142857142857,54.0,2.0
1732179,Rio Novo do Sul,2020-06-20,93.0,2,3,0,7.0,0.2857142857142857,49.0,2.0
1732180,Rio Novo do Sul,2020-06-21,100.0,7,5,2,7.714285714285714,0.5714285714285714,54.0,4.0
1732181,Rio Novo do Sul,2020-06-22,109.0,9,5,0,8.428571428571429,0.5714285714285714,59.0,4.0
1732182,Rio Novo do Sul,2020-06-23,109.0,0,5,0,6.142857142857143,0.5714285714285714,43.0,4.0
1732183,Rio Novo do Sul,2020-06-24,132.0,23,5,0,8.142857142857142,0.5714285714285714,57.0,4.0
1732184,Rio Novo do Sul,2020-06-25,155.0,23,5,0,10.714285714285714,0.42857142857142855,75.0,3.0
1732185,Rio Novo do Sul,2020-06-26,168.0,13,5,0,11.0,0.2857142857142857,77.0,2.0
1732186,Rio Novo do Sul,2020-06-27,168.0,0,5,0,10.714285714285714,0.2857142857142857,75.0,2.0
1732187,Rio Novo do Sul,2020-06-28,170.0,2,5,0,10.0,0.0,70.0,0.0
1732188,Rio Novo do Sul,2020-06-29,175.0,5,5,0,9.428571428571429,0.0,66.0,0.0
1732189,Rio Novo do Sul,2020-06-30,182.0,7,5,0,10.428571428571429,0.0,73.0,0.0
