index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1731660,Rio Novo,2020-03-27,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
1731661,Rio Novo,2020-03-28,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
1731662,Rio Novo,2020-03-29,0.0,0,0,0,5.0,0.0,35.0,0.0
1731663,Rio Novo,2020-03-30,0.0,0,0,0,4.142857142857143,0.0,29.0,0.0
1731664,Rio Novo,2020-03-31,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1731665,Rio Novo,2020-04-01,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1731666,Rio Novo,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1731667,Rio Novo,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1731668,Rio Novo,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1731669,Rio Novo,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1731670,Rio Novo,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1731671,Rio Novo,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1731672,Rio Novo,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1731673,Rio Novo,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1731674,Rio Novo,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1731675,Rio Novo,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1731676,Rio Novo,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1731677,Rio Novo,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1731678,Rio Novo,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1731679,Rio Novo,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1731680,Rio Novo,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1731681,Rio Novo,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1731682,Rio Novo,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1731683,Rio Novo,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1731684,Rio Novo,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1731685,Rio Novo,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1731686,Rio Novo,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1731687,Rio Novo,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1731688,Rio Novo,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1731689,Rio Novo,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1731690,Rio Novo,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1731691,Rio Novo,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1731692,Rio Novo,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1731693,Rio Novo,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1731694,Rio Novo,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1731695,Rio Novo,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1731696,Rio Novo,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1731697,Rio Novo,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1731698,Rio Novo,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1731699,Rio Novo,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1731700,Rio Novo,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1731701,Rio Novo,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1731702,Rio Novo,2020-05-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1731703,Rio Novo,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731704,Rio Novo,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731705,Rio Novo,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731706,Rio Novo,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731707,Rio Novo,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731708,Rio Novo,2020-05-14,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1731709,Rio Novo,2020-05-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731710,Rio Novo,2020-05-16,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731711,Rio Novo,2020-05-17,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731712,Rio Novo,2020-05-18,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731713,Rio Novo,2020-05-19,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731714,Rio Novo,2020-05-20,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1731715,Rio Novo,2020-05-21,2.0,0,0,0,0.0,0.0,0.0,0.0
1731716,Rio Novo,2020-05-22,2.0,0,0,0,0.0,0.0,0.0,0.0
1731717,Rio Novo,2020-05-23,2.0,0,0,0,0.0,0.0,0.0,0.0
1731718,Rio Novo,2020-05-24,2.0,0,0,0,0.0,0.0,0.0,0.0
1731719,Rio Novo,2020-05-25,2.0,0,0,0,0.0,0.0,0.0,0.0
1731720,Rio Novo,2020-05-26,2.0,0,0,0,0.0,0.0,0.0,0.0
1731721,Rio Novo,2020-05-27,2.0,0,0,0,0.0,0.0,0.0,0.0
1731722,Rio Novo,2020-05-28,2.0,0,0,0,0.0,0.0,0.0,0.0
1731723,Rio Novo,2020-05-29,2.0,0,0,0,0.0,0.0,0.0,0.0
1731724,Rio Novo,2020-05-30,2.0,0,0,0,0.0,0.0,0.0,0.0
1731725,Rio Novo,2020-05-31,2.0,0,0,0,0.0,0.0,0.0,0.0
1731726,Rio Novo,2020-06-01,2.0,0,0,0,0.0,0.0,0.0,0.0
1731727,Rio Novo,2020-06-02,2.0,0,0,0,0.0,0.0,0.0,0.0
1731728,Rio Novo,2020-06-03,2.0,0,0,0,0.0,0.0,0.0,0.0
1731729,Rio Novo,2020-06-04,2.0,0,0,0,0.0,0.0,0.0,0.0
1731730,Rio Novo,2020-06-05,2.0,0,0,0,0.0,0.0,0.0,0.0
1731731,Rio Novo,2020-06-06,5.0,3,0,0,0.42857142857142855,0.0,3.0,0.0
1731732,Rio Novo,2020-06-07,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1731733,Rio Novo,2020-06-08,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1731734,Rio Novo,2020-06-09,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1731735,Rio Novo,2020-06-10,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1731736,Rio Novo,2020-06-11,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1731737,Rio Novo,2020-06-12,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1731738,Rio Novo,2020-06-13,5.0,0,0,0,0.0,0.0,0.0,0.0
1731739,Rio Novo,2020-06-14,5.0,0,0,0,0.0,0.0,0.0,0.0
1731740,Rio Novo,2020-06-15,5.0,0,0,0,0.0,0.0,0.0,0.0
1731741,Rio Novo,2020-06-16,5.0,0,0,0,0.0,0.0,0.0,0.0
1731742,Rio Novo,2020-06-17,5.0,0,0,0,0.0,0.0,0.0,0.0
1731743,Rio Novo,2020-06-18,5.0,0,0,0,0.0,0.0,0.0,0.0
