index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1704904,Rio dos Bois,2020-03-27,0.0,0,0,0,30.714285714285715,1.1428571428571428,215.0,8.0
1704905,Rio dos Bois,2020-03-28,0.0,0,0,0,23.714285714285715,1.1428571428571428,166.0,8.0
1704906,Rio dos Bois,2020-03-29,0.0,0,0,0,17.285714285714285,0.7142857142857143,121.0,5.0
1704907,Rio dos Bois,2020-03-30,0.0,0,0,0,14.285714285714286,0.42857142857142855,100.0,3.0
1704908,Rio dos Bois,2020-03-31,0.0,0,0,0,9.714285714285714,0.14285714285714285,68.0,1.0
1704909,Rio dos Bois,2020-04-01,0.0,0,0,0,9.285714285714286,0.14285714285714285,65.0,1.0
1704910,Rio dos Bois,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1704911,Rio dos Bois,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1704912,Rio dos Bois,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1704913,Rio dos Bois,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1704914,Rio dos Bois,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1704915,Rio dos Bois,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1704916,Rio dos Bois,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1704917,Rio dos Bois,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1704918,Rio dos Bois,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1704919,Rio dos Bois,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1704920,Rio dos Bois,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1704921,Rio dos Bois,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1704922,Rio dos Bois,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1704923,Rio dos Bois,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1704924,Rio dos Bois,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1704925,Rio dos Bois,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1704926,Rio dos Bois,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1704927,Rio dos Bois,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1704928,Rio dos Bois,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1704929,Rio dos Bois,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1704930,Rio dos Bois,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1704931,Rio dos Bois,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1704932,Rio dos Bois,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1704933,Rio dos Bois,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1704934,Rio dos Bois,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1704935,Rio dos Bois,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1704936,Rio dos Bois,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1704937,Rio dos Bois,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1704938,Rio dos Bois,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1704939,Rio dos Bois,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1704940,Rio dos Bois,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1704941,Rio dos Bois,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1704942,Rio dos Bois,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1704943,Rio dos Bois,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1704944,Rio dos Bois,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1704945,Rio dos Bois,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1704946,Rio dos Bois,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1704947,Rio dos Bois,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1704948,Rio dos Bois,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1704949,Rio dos Bois,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1704950,Rio dos Bois,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1704951,Rio dos Bois,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1704952,Rio dos Bois,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1704953,Rio dos Bois,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1704954,Rio dos Bois,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1704955,Rio dos Bois,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1704956,Rio dos Bois,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1704957,Rio dos Bois,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1704958,Rio dos Bois,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1704959,Rio dos Bois,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1704960,Rio dos Bois,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1704961,Rio dos Bois,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1704962,Rio dos Bois,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1704963,Rio dos Bois,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1704964,Rio dos Bois,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1704965,Rio dos Bois,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1704966,Rio dos Bois,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1704967,Rio dos Bois,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1704968,Rio dos Bois,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1704969,Rio dos Bois,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1704970,Rio dos Bois,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1704971,Rio dos Bois,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1704972,Rio dos Bois,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1704973,Rio dos Bois,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1704974,Rio dos Bois,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1704975,Rio dos Bois,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1704976,Rio dos Bois,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1704977,Rio dos Bois,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1704978,Rio dos Bois,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1704979,Rio dos Bois,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1704980,Rio dos Bois,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1704981,Rio dos Bois,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1704982,Rio dos Bois,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1704983,Rio dos Bois,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1704984,Rio dos Bois,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1704985,Rio dos Bois,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1704986,Rio dos Bois,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1704987,Rio dos Bois,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1704988,Rio dos Bois,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1704989,Rio dos Bois,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1704990,Rio dos Bois,2020-06-21,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1704991,Rio dos Bois,2020-06-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1704992,Rio dos Bois,2020-06-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1704993,Rio dos Bois,2020-06-24,2.0,1,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1704994,Rio dos Bois,2020-06-25,2.0,0,0,-1,0.2857142857142857,0.0,2.0,0.0
1704995,Rio dos Bois,2020-06-26,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1704996,Rio dos Bois,2020-06-27,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1704997,Rio dos Bois,2020-06-28,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1704998,Rio dos Bois,2020-06-29,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1704999,Rio dos Bois,2020-06-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1705000,Rio dos Bois,2020-07-01,2.0,0,0,0,0.0,-0.14285714285714285,0.0,-1.0
1705001,Rio dos Bois,2020-07-02,2.0,0,0,0,0.0,0.0,0.0,0.0
1705002,Rio dos Bois,2020-07-03,2.0,0,0,0,0.0,0.0,0.0,0.0
1705003,Rio dos Bois,2020-07-04,2.0,0,0,0,0.0,0.0,0.0,0.0
1705004,Rio dos Bois,2020-07-05,2.0,0,0,0,0.0,0.0,0.0,0.0
1705005,Rio dos Bois,2020-07-06,2.0,0,0,0,0.0,0.0,0.0,0.0
1705006,Rio dos Bois,2020-07-07,2.0,0,0,0,0.0,0.0,0.0,0.0
1705007,Rio dos Bois,2020-07-08,2.0,0,0,0,0.0,0.0,0.0,0.0
1705008,Rio dos Bois,2020-07-09,2.0,0,0,0,0.0,0.0,0.0,0.0
1705009,Rio dos Bois,2020-07-10,2.0,0,0,0,0.0,0.0,0.0,0.0
1705010,Rio dos Bois,2020-07-11,2.0,0,0,0,0.0,0.0,0.0,0.0
1705011,Rio dos Bois,2020-07-12,2.0,0,0,0,0.0,0.0,0.0,0.0
1705012,Rio dos Bois,2020-07-13,2.0,0,0,0,0.0,0.0,0.0,0.0
1705013,Rio dos Bois,2020-07-14,2.0,0,0,0,0.0,0.0,0.0,0.0
1705014,Rio dos Bois,2020-07-15,2.0,0,0,0,0.0,0.0,0.0,0.0
1705015,Rio dos Bois,2020-07-16,2.0,0,0,0,0.0,0.0,0.0,0.0
1705016,Rio dos Bois,2020-07-17,2.0,0,0,0,0.0,0.0,0.0,0.0
1705017,Rio dos Bois,2020-07-18,2.0,0,0,0,0.0,0.0,0.0,0.0
1705018,Rio dos Bois,2020-07-19,4.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1705019,Rio dos Bois,2020-07-20,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1705020,Rio dos Bois,2020-07-21,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1705021,Rio dos Bois,2020-07-22,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1705022,Rio dos Bois,2020-07-23,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1705023,Rio dos Bois,2020-07-24,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1705024,Rio dos Bois,2020-07-25,6.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1705025,Rio dos Bois,2020-07-26,8.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1705026,Rio dos Bois,2020-07-27,8.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1705027,Rio dos Bois,2020-07-28,12.0,4,0,0,1.1428571428571428,0.0,8.0,0.0
1705028,Rio dos Bois,2020-07-29,13.0,1,0,0,1.1428571428571428,0.0,8.0,0.0
1705029,Rio dos Bois,2020-07-30,25.0,12,0,0,2.857142857142857,0.0,20.0,0.0
1705030,Rio dos Bois,2020-07-31,35.0,10,0,0,4.285714285714286,0.0,30.0,0.0
1705031,Rio dos Bois,2020-08-01,38.0,3,0,0,4.571428571428571,0.0,32.0,0.0
1705032,Rio dos Bois,2020-08-02,40.0,2,0,0,4.571428571428571,0.0,32.0,0.0
1705033,Rio dos Bois,2020-08-03,43.0,3,0,0,5.0,0.0,35.0,0.0
1705034,Rio dos Bois,2020-08-04,44.0,1,0,0,4.571428571428571,0.0,32.0,0.0
1705035,Rio dos Bois,2020-08-05,45.0,1,0,0,4.571428571428571,0.0,32.0,0.0
1705036,Rio dos Bois,2020-08-06,46.0,1,0,0,3.0,0.0,21.0,0.0
1705037,Rio dos Bois,2020-08-07,48.0,2,0,0,1.8571428571428572,0.0,13.0,0.0
1705038,Rio dos Bois,2020-08-08,49.0,1,0,0,1.5714285714285714,0.0,11.0,0.0
1705039,Rio dos Bois,2020-08-09,61.0,12,0,0,3.0,0.0,21.0,0.0
1705040,Rio dos Bois,2020-08-10,63.0,2,0,0,2.857142857142857,0.0,20.0,0.0
1705041,Rio dos Bois,2020-08-11,66.0,3,0,0,3.142857142857143,0.0,22.0,0.0
1705042,Rio dos Bois,2020-08-12,70.0,4,0,0,3.5714285714285716,0.0,25.0,0.0
1705043,Rio dos Bois,2020-08-13,71.0,1,0,0,3.5714285714285716,0.0,25.0,0.0
1705044,Rio dos Bois,2020-08-14,75.0,4,0,0,3.857142857142857,0.0,27.0,0.0
1705045,Rio dos Bois,2020-08-15,76.0,1,0,0,3.857142857142857,0.0,27.0,0.0
1705046,Rio dos Bois,2020-08-16,80.0,4,0,0,2.7142857142857144,0.0,19.0,0.0
1705047,Rio dos Bois,2020-08-17,85.0,5,0,0,3.142857142857143,0.0,22.0,0.0
1705048,Rio dos Bois,2020-08-18,87.0,2,0,0,3.0,0.0,21.0,0.0
1705049,Rio dos Bois,2020-08-19,86.0,-1,0,0,2.2857142857142856,0.0,16.0,0.0
1705050,Rio dos Bois,2020-08-20,85.0,-1,0,0,2.0,0.0,14.0,0.0
1705051,Rio dos Bois,2020-08-21,87.0,2,0,0,1.7142857142857142,0.0,12.0,0.0
1705052,Rio dos Bois,2020-08-22,87.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1705053,Rio dos Bois,2020-08-23,87.0,0,0,0,1.0,0.0,7.0,0.0
1705054,Rio dos Bois,2020-08-24,96.0,9,0,0,1.5714285714285714,0.0,11.0,0.0
1705055,Rio dos Bois,2020-08-25,98.0,2,0,0,1.5714285714285714,0.0,11.0,0.0
1705056,Rio dos Bois,2020-08-26,101.0,3,0,0,2.142857142857143,0.0,15.0,0.0
1705057,Rio dos Bois,2020-08-27,104.0,3,0,0,2.7142857142857144,0.0,19.0,0.0
1705058,Rio dos Bois,2020-08-28,107.0,3,0,0,2.857142857142857,0.0,20.0,0.0
1705059,Rio dos Bois,2020-08-29,107.0,0,0,0,2.857142857142857,0.0,20.0,0.0
1705060,Rio dos Bois,2020-08-30,108.0,1,0,0,3.0,0.0,21.0,0.0
1705061,Rio dos Bois,2020-08-31,108.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1705062,Rio dos Bois,2020-09-01,108.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1705063,Rio dos Bois,2020-09-02,109.0,1,0,0,1.1428571428571428,0.0,8.0,0.0
1705064,Rio dos Bois,2020-09-03,111.0,2,0,0,1.0,0.0,7.0,0.0
1705065,Rio dos Bois,2020-09-04,119.0,8,0,0,1.7142857142857142,0.0,12.0,0.0
1705066,Rio dos Bois,2020-09-05,119.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1705067,Rio dos Bois,2020-09-06,119.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1705068,Rio dos Bois,2020-09-07,119.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1705069,Rio dos Bois,2020-09-08,126.0,7,0,0,2.5714285714285716,0.0,18.0,0.0
1705070,Rio dos Bois,2020-09-09,126.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
1705071,Rio dos Bois,2020-09-10,128.0,2,0,0,2.4285714285714284,0.0,17.0,0.0
1705072,Rio dos Bois,2020-09-11,131.0,3,0,0,1.7142857142857142,0.0,12.0,0.0
1705073,Rio dos Bois,2020-09-12,131.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1705074,Rio dos Bois,2020-09-13,131.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1705075,Rio dos Bois,2020-09-14,131.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1705076,Rio dos Bois,2020-09-15,131.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1705077,Rio dos Bois,2020-09-16,131.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1705078,Rio dos Bois,2020-09-17,132.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1705079,Rio dos Bois,2020-09-18,132.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1705080,Rio dos Bois,2020-09-19,132.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1705081,Rio dos Bois,2020-09-20,132.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1705082,Rio dos Bois,2020-09-21,132.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1705083,Rio dos Bois,2020-09-22,131.0,-1,0,0,0.0,0.0,0.0,0.0
1705084,Rio dos Bois,2020-09-23,133.0,2,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1705085,Rio dos Bois,2020-09-24,132.0,-1,1,0,0.0,0.14285714285714285,0.0,1.0
1705086,Rio dos Bois,2020-09-25,133.0,1,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1705087,Rio dos Bois,2020-09-26,134.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705088,Rio dos Bois,2020-09-27,134.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705089,Rio dos Bois,2020-09-28,134.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1705090,Rio dos Bois,2020-09-29,134.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1705091,Rio dos Bois,2020-09-30,134.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1705092,Rio dos Bois,2020-10-01,134.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1705093,Rio dos Bois,2020-10-02,134.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1705094,Rio dos Bois,2020-10-03,134.0,0,1,0,0.0,0.0,0.0,0.0
1705095,Rio dos Bois,2020-10-04,134.0,0,1,0,0.0,0.0,0.0,0.0
1705096,Rio dos Bois,2020-10-05,134.0,0,1,0,0.0,0.0,0.0,0.0
1705097,Rio dos Bois,2020-10-06,134.0,0,1,0,0.0,0.0,0.0,0.0
1705098,Rio dos Bois,2020-10-07,134.0,0,1,0,0.0,0.0,0.0,0.0
1705099,Rio dos Bois,2020-10-08,136.0,2,1,0,0.2857142857142857,0.0,2.0,0.0
1705100,Rio dos Bois,2020-10-09,136.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1705101,Rio dos Bois,2020-10-10,135.0,-1,1,0,0.14285714285714285,0.0,1.0,0.0
1705102,Rio dos Bois,2020-10-11,135.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1705103,Rio dos Bois,2020-10-12,135.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1705104,Rio dos Bois,2020-10-13,135.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1705105,Rio dos Bois,2020-10-14,135.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
1705106,Rio dos Bois,2020-10-15,135.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1705107,Rio dos Bois,2020-10-16,135.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1705108,Rio dos Bois,2020-10-17,135.0,0,1,0,0.0,0.0,0.0,0.0
1705109,Rio dos Bois,2020-10-18,135.0,0,1,0,0.0,0.0,0.0,0.0
1705110,Rio dos Bois,2020-10-19,135.0,0,1,0,0.0,0.0,0.0,0.0
1705111,Rio dos Bois,2020-10-20,135.0,0,1,0,0.0,0.0,0.0,0.0
1705112,Rio dos Bois,2020-10-21,135.0,0,1,0,0.0,0.0,0.0,0.0
1705113,Rio dos Bois,2020-10-22,135.0,0,1,0,0.0,0.0,0.0,0.0
1705114,Rio dos Bois,2020-10-23,135.0,0,1,0,0.0,0.0,0.0,0.0
