index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1674940,Rodolfo Fernandes,2020-03-27,0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1674941,Rodolfo Fernandes,2020-03-28,0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1674942,Rodolfo Fernandes,2020-03-29,0,0,0,0,1.0,0.0,7.0,0.0
1674943,Rodolfo Fernandes,2020-03-30,0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1674944,Rodolfo Fernandes,2020-03-31,0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1674945,Rodolfo Fernandes,2020-04-01,0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1674946,Rodolfo Fernandes,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
1674947,Rodolfo Fernandes,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
1674948,Rodolfo Fernandes,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
1674949,Rodolfo Fernandes,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
1674950,Rodolfo Fernandes,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
1674951,Rodolfo Fernandes,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
1674952,Rodolfo Fernandes,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
1674953,Rodolfo Fernandes,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
1674954,Rodolfo Fernandes,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
1674955,Rodolfo Fernandes,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
1674956,Rodolfo Fernandes,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
1674957,Rodolfo Fernandes,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
1674958,Rodolfo Fernandes,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
1674959,Rodolfo Fernandes,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
1674960,Rodolfo Fernandes,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
1674961,Rodolfo Fernandes,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
1674962,Rodolfo Fernandes,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
1674963,Rodolfo Fernandes,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
1674964,Rodolfo Fernandes,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
1674965,Rodolfo Fernandes,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
1674966,Rodolfo Fernandes,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
1674967,Rodolfo Fernandes,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
1674968,Rodolfo Fernandes,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
1674969,Rodolfo Fernandes,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
1674970,Rodolfo Fernandes,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
1674971,Rodolfo Fernandes,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
1674972,Rodolfo Fernandes,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
1674973,Rodolfo Fernandes,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
1674974,Rodolfo Fernandes,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
1674975,Rodolfo Fernandes,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
1674976,Rodolfo Fernandes,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
1674977,Rodolfo Fernandes,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
1674978,Rodolfo Fernandes,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
1674979,Rodolfo Fernandes,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
1674980,Rodolfo Fernandes,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
1674981,Rodolfo Fernandes,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
1674982,Rodolfo Fernandes,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
1674983,Rodolfo Fernandes,2020-05-09,0,0,0,0,0.0,0.0,0.0,0.0
1674984,Rodolfo Fernandes,2020-05-10,0,0,0,0,0.0,0.0,0.0,0.0
1674985,Rodolfo Fernandes,2020-05-11,0,0,0,0,0.0,0.0,0.0,0.0
1674986,Rodolfo Fernandes,2020-05-12,0,0,0,0,0.0,0.0,0.0,0.0
1674987,Rodolfo Fernandes,2020-05-13,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
1674988,Rodolfo Fernandes,2020-05-14,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1674989,Rodolfo Fernandes,2020-05-15,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1674990,Rodolfo Fernandes,2020-05-16,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1674991,Rodolfo Fernandes,2020-05-17,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1674992,Rodolfo Fernandes,2020-05-18,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1674993,Rodolfo Fernandes,2020-05-19,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
1674994,Rodolfo Fernandes,2020-05-20,1,0,0,0,0.0,0.0,0.0,0.0
1674995,Rodolfo Fernandes,2020-05-21,1,0,0,0,0.0,0.0,0.0,0.0
1674996,Rodolfo Fernandes,2020-05-22,1,0,0,0,0.0,0.0,0.0,0.0
1674997,Rodolfo Fernandes,2020-05-23,1,0,0,0,0.0,0.0,0.0,0.0
1674998,Rodolfo Fernandes,2020-05-24,1,0,0,0,0.0,0.0,0.0,0.0
1674999,Rodolfo Fernandes,2020-05-25,1,0,0,0,0.0,0.0,0.0,0.0
1675000,Rodolfo Fernandes,2020-05-26,1,0,0,0,0.0,0.0,0.0,0.0
1675001,Rodolfo Fernandes,2020-05-27,1,0,0,0,0.0,0.0,0.0,0.0
1675002,Rodolfo Fernandes,2020-05-28,1,0,0,0,0.0,0.0,0.0,0.0
1675003,Rodolfo Fernandes,2020-05-29,2,1,0,0,0.14285714285714285,0.0,1.0,0.0
1675004,Rodolfo Fernandes,2020-05-30,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675005,Rodolfo Fernandes,2020-05-31,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675006,Rodolfo Fernandes,2020-06-01,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675007,Rodolfo Fernandes,2020-06-02,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675008,Rodolfo Fernandes,2020-06-03,3,1,0,0,0.2857142857142857,0.0,2.0,0.0
1675009,Rodolfo Fernandes,2020-06-04,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675010,Rodolfo Fernandes,2020-06-05,3,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675011,Rodolfo Fernandes,2020-06-06,3,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675012,Rodolfo Fernandes,2020-06-07,3,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675013,Rodolfo Fernandes,2020-06-08,6,3,0,0,0.5714285714285714,0.0,4.0,0.0
1675014,Rodolfo Fernandes,2020-06-09,6,0,0,0,0.5714285714285714,0.0,4.0,0.0
1675015,Rodolfo Fernandes,2020-06-10,6,0,0,0,0.42857142857142855,0.0,3.0,0.0
1675016,Rodolfo Fernandes,2020-06-11,7,1,0,0,0.5714285714285714,0.0,4.0,0.0
1675017,Rodolfo Fernandes,2020-06-12,7,0,0,0,0.5714285714285714,0.0,4.0,0.0
1675018,Rodolfo Fernandes,2020-06-13,7,0,0,0,0.5714285714285714,0.0,4.0,0.0
1675019,Rodolfo Fernandes,2020-06-14,7,0,0,0,0.5714285714285714,0.0,4.0,0.0
1675020,Rodolfo Fernandes,2020-06-15,7,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675021,Rodolfo Fernandes,2020-06-16,7,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675022,Rodolfo Fernandes,2020-06-17,7,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675023,Rodolfo Fernandes,2020-06-18,7,0,0,0,0.0,0.0,0.0,0.0
1675024,Rodolfo Fernandes,2020-06-19,7,0,0,0,0.0,0.0,0.0,0.0
1675025,Rodolfo Fernandes,2020-06-20,7,0,0,0,0.0,0.0,0.0,0.0
1675026,Rodolfo Fernandes,2020-06-21,7,0,0,0,0.0,0.0,0.0,0.0
1675027,Rodolfo Fernandes,2020-06-22,7,0,0,0,0.0,0.0,0.0,0.0
1675028,Rodolfo Fernandes,2020-06-23,7,0,0,0,0.0,0.0,0.0,0.0
1675029,Rodolfo Fernandes,2020-06-24,7,0,0,0,0.0,0.0,0.0,0.0
1675030,Rodolfo Fernandes,2020-06-25,7,0,0,0,0.0,0.0,0.0,0.0
1675031,Rodolfo Fernandes,2020-06-26,8,1,0,0,0.14285714285714285,0.0,1.0,0.0
1675032,Rodolfo Fernandes,2020-06-27,8,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675033,Rodolfo Fernandes,2020-06-28,8,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675034,Rodolfo Fernandes,2020-06-29,17,9,0,0,1.4285714285714286,0.0,10.0,0.0
1675035,Rodolfo Fernandes,2020-06-30,17,0,0,0,1.4285714285714286,0.0,10.0,0.0
1675036,Rodolfo Fernandes,2020-07-01,17,0,0,0,1.4285714285714286,0.0,10.0,0.0
1675037,Rodolfo Fernandes,2020-07-02,17,0,0,0,1.4285714285714286,0.0,10.0,0.0
1675038,Rodolfo Fernandes,2020-07-03,18,1,0,0,1.4285714285714286,0.0,10.0,0.0
1675039,Rodolfo Fernandes,2020-07-04,18,0,0,0,1.4285714285714286,0.0,10.0,0.0
1675040,Rodolfo Fernandes,2020-07-05,18,0,0,0,1.4285714285714286,0.0,10.0,0.0
1675041,Rodolfo Fernandes,2020-07-06,18,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675042,Rodolfo Fernandes,2020-07-07,18,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675043,Rodolfo Fernandes,2020-07-08,19,1,0,0,0.2857142857142857,0.0,2.0,0.0
1675044,Rodolfo Fernandes,2020-07-09,20,1,0,0,0.42857142857142855,0.0,3.0,0.0
1675045,Rodolfo Fernandes,2020-07-10,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675046,Rodolfo Fernandes,2020-07-11,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675047,Rodolfo Fernandes,2020-07-12,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675048,Rodolfo Fernandes,2020-07-13,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675049,Rodolfo Fernandes,2020-07-14,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675050,Rodolfo Fernandes,2020-07-15,20,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675051,Rodolfo Fernandes,2020-07-16,20,0,0,0,0.0,0.0,0.0,0.0
1675052,Rodolfo Fernandes,2020-07-17,20,0,0,0,0.0,0.0,0.0,0.0
1675053,Rodolfo Fernandes,2020-07-18,20,0,0,0,0.0,0.0,0.0,0.0
1675054,Rodolfo Fernandes,2020-07-19,20,0,0,0,0.0,0.0,0.0,0.0
1675055,Rodolfo Fernandes,2020-07-20,20,0,0,0,0.0,0.0,0.0,0.0
1675056,Rodolfo Fernandes,2020-07-21,20,0,0,0,0.0,0.0,0.0,0.0
1675057,Rodolfo Fernandes,2020-07-22,20,0,0,0,0.0,0.0,0.0,0.0
1675058,Rodolfo Fernandes,2020-07-23,20,0,0,0,0.0,0.0,0.0,0.0
1675059,Rodolfo Fernandes,2020-07-24,21,1,0,0,0.14285714285714285,0.0,1.0,0.0
1675060,Rodolfo Fernandes,2020-07-25,21,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675061,Rodolfo Fernandes,2020-07-26,21,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675062,Rodolfo Fernandes,2020-07-27,21,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675063,Rodolfo Fernandes,2020-07-28,21,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675064,Rodolfo Fernandes,2020-07-29,22,1,0,0,0.2857142857142857,0.0,2.0,0.0
1675065,Rodolfo Fernandes,2020-07-30,22,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675066,Rodolfo Fernandes,2020-07-31,23,1,0,0,0.2857142857142857,0.0,2.0,0.0
1675067,Rodolfo Fernandes,2020-08-01,23,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675068,Rodolfo Fernandes,2020-08-02,23,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675069,Rodolfo Fernandes,2020-08-03,23,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675070,Rodolfo Fernandes,2020-08-04,23,0,0,0,0.2857142857142857,0.0,2.0,0.0
1675071,Rodolfo Fernandes,2020-08-05,23,0,0,0,0.14285714285714285,0.0,1.0,0.0
1675072,Rodolfo Fernandes,2020-08-06,25,2,1,1,0.42857142857142855,0.14285714285714285,3.0,1.0
1675073,Rodolfo Fernandes,2020-08-07,25,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1675074,Rodolfo Fernandes,2020-08-08,25,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1675075,Rodolfo Fernandes,2020-08-09,25,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1675076,Rodolfo Fernandes,2020-08-10,25,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1675077,Rodolfo Fernandes,2020-08-11,26,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1675078,Rodolfo Fernandes,2020-08-12,24,-2,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1675079,Rodolfo Fernandes,2020-08-13,24,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1675080,Rodolfo Fernandes,2020-08-14,24,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1675081,Rodolfo Fernandes,2020-08-15,24,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
