index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1753488,Rosário do Ivaí,2020-03-27,0.0,0,0,0,6.428571428571429,0.14285714285714285,45.0,1.0
1753489,Rosário do Ivaí,2020-03-28,0.0,0,0,0,4.857142857142857,0.14285714285714285,34.0,1.0
1753490,Rosário do Ivaí,2020-03-29,0.0,0,0,0,4.0,0.14285714285714285,28.0,1.0
1753491,Rosário do Ivaí,2020-03-30,0.0,0,0,0,3.5714285714285716,0.14285714285714285,25.0,1.0
1753492,Rosário do Ivaí,2020-03-31,0.0,0,0,0,1.1428571428571428,0.14285714285714285,8.0,1.0
1753493,Rosário do Ivaí,2020-04-01,0.0,0,0,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1753494,Rosário do Ivaí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1753495,Rosário do Ivaí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1753496,Rosário do Ivaí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1753497,Rosário do Ivaí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1753498,Rosário do Ivaí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1753499,Rosário do Ivaí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1753500,Rosário do Ivaí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1753501,Rosário do Ivaí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1753502,Rosário do Ivaí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1753503,Rosário do Ivaí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1753504,Rosário do Ivaí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1753505,Rosário do Ivaí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1753506,Rosário do Ivaí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1753507,Rosário do Ivaí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1753508,Rosário do Ivaí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1753509,Rosário do Ivaí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1753510,Rosário do Ivaí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1753511,Rosário do Ivaí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1753512,Rosário do Ivaí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1753513,Rosário do Ivaí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1753514,Rosário do Ivaí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1753515,Rosário do Ivaí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1753516,Rosário do Ivaí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1753517,Rosário do Ivaí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1753518,Rosário do Ivaí,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1753519,Rosário do Ivaí,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1753520,Rosário do Ivaí,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1753521,Rosário do Ivaí,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1753522,Rosário do Ivaí,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1753523,Rosário do Ivaí,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1753524,Rosário do Ivaí,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1753525,Rosário do Ivaí,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1753526,Rosário do Ivaí,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1753527,Rosário do Ivaí,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1753528,Rosário do Ivaí,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1753529,Rosário do Ivaí,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1753530,Rosário do Ivaí,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1753531,Rosário do Ivaí,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1753532,Rosário do Ivaí,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1753533,Rosário do Ivaí,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1753534,Rosário do Ivaí,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1753535,Rosário do Ivaí,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1753536,Rosário do Ivaí,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
