index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1755656,Salto do Itararé,2020-03-27,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1755657,Salto do Itararé,2020-03-28,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1755658,Salto do Itararé,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1755659,Salto do Itararé,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1755660,Salto do Itararé,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1755661,Salto do Itararé,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1755662,Salto do Itararé,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1755663,Salto do Itararé,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1755664,Salto do Itararé,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1755665,Salto do Itararé,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1755666,Salto do Itararé,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1755667,Salto do Itararé,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1755668,Salto do Itararé,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1755669,Salto do Itararé,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1755670,Salto do Itararé,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1755671,Salto do Itararé,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1755672,Salto do Itararé,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1755673,Salto do Itararé,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1755674,Salto do Itararé,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1755675,Salto do Itararé,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1755676,Salto do Itararé,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1755677,Salto do Itararé,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1755678,Salto do Itararé,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1755679,Salto do Itararé,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1755680,Salto do Itararé,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1755681,Salto do Itararé,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1755682,Salto do Itararé,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1755683,Salto do Itararé,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1755684,Salto do Itararé,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
