index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1790652,Salvador do Sul,2020-03-27,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
1790653,Salvador do Sul,2020-03-28,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
1790654,Salvador do Sul,2020-03-29,0.0,0,0,0,4.857142857142857,0.0,34.0,0.0
1790655,Salvador do Sul,2020-03-30,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1790656,Salvador do Sul,2020-03-31,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1790657,Salvador do Sul,2020-04-01,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
1790658,Salvador do Sul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1790659,Salvador do Sul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1790660,Salvador do Sul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1790661,Salvador do Sul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1790662,Salvador do Sul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1790663,Salvador do Sul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1790664,Salvador do Sul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1790665,Salvador do Sul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1790666,Salvador do Sul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1790667,Salvador do Sul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1790668,Salvador do Sul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1790669,Salvador do Sul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1790670,Salvador do Sul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1790671,Salvador do Sul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1790672,Salvador do Sul,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1790673,Salvador do Sul,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1790674,Salvador do Sul,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1790675,Salvador do Sul,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1790676,Salvador do Sul,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1790677,Salvador do Sul,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1790678,Salvador do Sul,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1790679,Salvador do Sul,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1790680,Salvador do Sul,2020-04-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1790681,Salvador do Sul,2020-04-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
