index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1854512,Sanclerlândia,2020-03-27,0.0,0,0,0,9.428571428571429,0.14285714285714285,66.0,1.0
1854513,Sanclerlândia,2020-03-28,0.0,0,0,0,9.428571428571429,0.14285714285714285,66.0,1.0
1854514,Sanclerlândia,2020-03-29,0.0,0,0,0,3.2857142857142856,0.14285714285714285,23.0,1.0
1854515,Sanclerlândia,2020-03-30,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
1854516,Sanclerlândia,2020-03-31,0.0,0,0,0,1.0,0.0,7.0,0.0
1854517,Sanclerlândia,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1854518,Sanclerlândia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1854519,Sanclerlândia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1854520,Sanclerlândia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1854521,Sanclerlândia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1854522,Sanclerlândia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1854523,Sanclerlândia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1854524,Sanclerlândia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1854525,Sanclerlândia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1854526,Sanclerlândia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1854527,Sanclerlândia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1854528,Sanclerlândia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1854529,Sanclerlândia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1854530,Sanclerlândia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1854531,Sanclerlândia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1854532,Sanclerlândia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1854533,Sanclerlândia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1854534,Sanclerlândia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1854535,Sanclerlândia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1854536,Sanclerlândia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1854537,Sanclerlândia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1854538,Sanclerlândia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1854539,Sanclerlândia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1854540,Sanclerlândia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1854541,Sanclerlândia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1854542,Sanclerlândia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1854543,Sanclerlândia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1854544,Sanclerlândia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
