index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1890450,Santa Maria do Tocantins,2020-03-27,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
1890451,Santa Maria do Tocantins,2020-03-28,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
1890452,Santa Maria do Tocantins,2020-03-29,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1890453,Santa Maria do Tocantins,2020-03-30,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1890454,Santa Maria do Tocantins,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1890455,Santa Maria do Tocantins,2020-04-01,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1890456,Santa Maria do Tocantins,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1890457,Santa Maria do Tocantins,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1890458,Santa Maria do Tocantins,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1890459,Santa Maria do Tocantins,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1890460,Santa Maria do Tocantins,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1890461,Santa Maria do Tocantins,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1890462,Santa Maria do Tocantins,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1890463,Santa Maria do Tocantins,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1890464,Santa Maria do Tocantins,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1890465,Santa Maria do Tocantins,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1890466,Santa Maria do Tocantins,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1890467,Santa Maria do Tocantins,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1890468,Santa Maria do Tocantins,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1890469,Santa Maria do Tocantins,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1890470,Santa Maria do Tocantins,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1890471,Santa Maria do Tocantins,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1890472,Santa Maria do Tocantins,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1890473,Santa Maria do Tocantins,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1890474,Santa Maria do Tocantins,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1890475,Santa Maria do Tocantins,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1890476,Santa Maria do Tocantins,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1890477,Santa Maria do Tocantins,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1890478,Santa Maria do Tocantins,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1890479,Santa Maria do Tocantins,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1890480,Santa Maria do Tocantins,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1890481,Santa Maria do Tocantins,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1890482,Santa Maria do Tocantins,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1890483,Santa Maria do Tocantins,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1890484,Santa Maria do Tocantins,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1890485,Santa Maria do Tocantins,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1890486,Santa Maria do Tocantins,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1890487,Santa Maria do Tocantins,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1890488,Santa Maria do Tocantins,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1890489,Santa Maria do Tocantins,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1890490,Santa Maria do Tocantins,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1890491,Santa Maria do Tocantins,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1890492,Santa Maria do Tocantins,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1890493,Santa Maria do Tocantins,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1890494,Santa Maria do Tocantins,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1890495,Santa Maria do Tocantins,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1890496,Santa Maria do Tocantins,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1890497,Santa Maria do Tocantins,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1890498,Santa Maria do Tocantins,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1890499,Santa Maria do Tocantins,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1890500,Santa Maria do Tocantins,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1890501,Santa Maria do Tocantins,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1890502,Santa Maria do Tocantins,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1890503,Santa Maria do Tocantins,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1890504,Santa Maria do Tocantins,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1890505,Santa Maria do Tocantins,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1890506,Santa Maria do Tocantins,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1890507,Santa Maria do Tocantins,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1890508,Santa Maria do Tocantins,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1890509,Santa Maria do Tocantins,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1890510,Santa Maria do Tocantins,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1890511,Santa Maria do Tocantins,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1890512,Santa Maria do Tocantins,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1890513,Santa Maria do Tocantins,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1890514,Santa Maria do Tocantins,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1890515,Santa Maria do Tocantins,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1890516,Santa Maria do Tocantins,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1890517,Santa Maria do Tocantins,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1890518,Santa Maria do Tocantins,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1890519,Santa Maria do Tocantins,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1890520,Santa Maria do Tocantins,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1890521,Santa Maria do Tocantins,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1890522,Santa Maria do Tocantins,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1890523,Santa Maria do Tocantins,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1890524,Santa Maria do Tocantins,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1890525,Santa Maria do Tocantins,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1890526,Santa Maria do Tocantins,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1890527,Santa Maria do Tocantins,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1890528,Santa Maria do Tocantins,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1890529,Santa Maria do Tocantins,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1890530,Santa Maria do Tocantins,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1890531,Santa Maria do Tocantins,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1890532,Santa Maria do Tocantins,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1890533,Santa Maria do Tocantins,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1890534,Santa Maria do Tocantins,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1890535,Santa Maria do Tocantins,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
