index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1899000,Santa Rita do Tocantins,2020-03-27,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1899001,Santa Rita do Tocantins,2020-03-28,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1899002,Santa Rita do Tocantins,2020-03-29,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1899003,Santa Rita do Tocantins,2020-03-30,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1899004,Santa Rita do Tocantins,2020-03-31,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1899005,Santa Rita do Tocantins,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1899006,Santa Rita do Tocantins,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1899007,Santa Rita do Tocantins,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1899008,Santa Rita do Tocantins,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1899009,Santa Rita do Tocantins,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1899010,Santa Rita do Tocantins,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1899011,Santa Rita do Tocantins,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1899012,Santa Rita do Tocantins,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1899013,Santa Rita do Tocantins,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1899014,Santa Rita do Tocantins,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1899015,Santa Rita do Tocantins,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1899016,Santa Rita do Tocantins,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1899017,Santa Rita do Tocantins,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1899018,Santa Rita do Tocantins,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1899019,Santa Rita do Tocantins,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1899020,Santa Rita do Tocantins,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1899021,Santa Rita do Tocantins,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1899022,Santa Rita do Tocantins,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1899023,Santa Rita do Tocantins,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1899024,Santa Rita do Tocantins,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1899025,Santa Rita do Tocantins,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1899026,Santa Rita do Tocantins,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1899027,Santa Rita do Tocantins,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1899028,Santa Rita do Tocantins,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1899029,Santa Rita do Tocantins,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1899030,Santa Rita do Tocantins,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1899031,Santa Rita do Tocantins,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1899032,Santa Rita do Tocantins,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1899033,Santa Rita do Tocantins,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1899034,Santa Rita do Tocantins,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1899035,Santa Rita do Tocantins,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1899036,Santa Rita do Tocantins,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1899037,Santa Rita do Tocantins,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1899038,Santa Rita do Tocantins,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1899039,Santa Rita do Tocantins,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1899040,Santa Rita do Tocantins,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1899041,Santa Rita do Tocantins,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1899042,Santa Rita do Tocantins,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1899043,Santa Rita do Tocantins,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1899044,Santa Rita do Tocantins,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1899045,Santa Rita do Tocantins,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1899046,Santa Rita do Tocantins,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1899047,Santa Rita do Tocantins,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1899048,Santa Rita do Tocantins,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
