index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1816750,Santa Rosa de Lima,2020-03-27,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1816751,Santa Rosa de Lima,2020-03-28,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1816752,Santa Rosa de Lima,2020-03-29,0.0,0,0,0,1.0,0.0,7.0,0.0
1816753,Santa Rosa de Lima,2020-03-30,0.0,0,0,0,1.0,0.0,7.0,0.0
1816754,Santa Rosa de Lima,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1816755,Santa Rosa de Lima,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1816756,Santa Rosa de Lima,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1816757,Santa Rosa de Lima,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1816758,Santa Rosa de Lima,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1816759,Santa Rosa de Lima,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1816760,Santa Rosa de Lima,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1816761,Santa Rosa de Lima,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1816762,Santa Rosa de Lima,2020-04-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1816763,Santa Rosa de Lima,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816764,Santa Rosa de Lima,2020-04-10,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1816765,Santa Rosa de Lima,2020-04-11,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816766,Santa Rosa de Lima,2020-04-12,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816767,Santa Rosa de Lima,2020-04-13,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816768,Santa Rosa de Lima,2020-04-14,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816769,Santa Rosa de Lima,2020-04-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816770,Santa Rosa de Lima,2020-04-16,1.0,-1,0,0,0.0,0.0,0.0,0.0
1816771,Santa Rosa de Lima,2020-04-17,0.0,-1,0,0,-0.2857142857142857,0.0,-2.0,0.0
1816772,Santa Rosa de Lima,2020-04-18,0.0,0,0,0,-0.2857142857142857,0.0,-2.0,0.0
1816773,Santa Rosa de Lima,2020-04-19,0.0,0,0,0,-0.2857142857142857,0.0,-2.0,0.0
1816774,Santa Rosa de Lima,2020-04-20,0.0,0,0,0,-0.2857142857142857,0.0,-2.0,0.0
1816775,Santa Rosa de Lima,2020-04-21,0.0,0,0,0,-0.2857142857142857,0.0,-2.0,0.0
1816776,Santa Rosa de Lima,2020-04-22,0.0,0,0,0,-0.2857142857142857,0.0,-2.0,0.0
1816777,Santa Rosa de Lima,2020-04-23,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1816778,Santa Rosa de Lima,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1816779,Santa Rosa de Lima,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1816780,Santa Rosa de Lima,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1816781,Santa Rosa de Lima,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1816782,Santa Rosa de Lima,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1816783,Santa Rosa de Lima,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1816784,Santa Rosa de Lima,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1816785,Santa Rosa de Lima,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1816786,Santa Rosa de Lima,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1816787,Santa Rosa de Lima,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1816788,Santa Rosa de Lima,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1816789,Santa Rosa de Lima,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1816790,Santa Rosa de Lima,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1816791,Santa Rosa de Lima,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1816792,Santa Rosa de Lima,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1816793,Santa Rosa de Lima,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1816794,Santa Rosa de Lima,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1816795,Santa Rosa de Lima,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1816796,Santa Rosa de Lima,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1816797,Santa Rosa de Lima,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1816798,Santa Rosa de Lima,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1816799,Santa Rosa de Lima,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1816800,Santa Rosa de Lima,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1816801,Santa Rosa de Lima,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1816802,Santa Rosa de Lima,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1816803,Santa Rosa de Lima,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1816804,Santa Rosa de Lima,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1816805,Santa Rosa de Lima,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1816806,Santa Rosa de Lima,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1816807,Santa Rosa de Lima,2020-05-23,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1816808,Santa Rosa de Lima,2020-05-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816809,Santa Rosa de Lima,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816810,Santa Rosa de Lima,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816811,Santa Rosa de Lima,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816812,Santa Rosa de Lima,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816813,Santa Rosa de Lima,2020-05-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816814,Santa Rosa de Lima,2020-05-30,1.0,0,0,0,0.0,0.0,0.0,0.0
1816815,Santa Rosa de Lima,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
1816816,Santa Rosa de Lima,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
1816817,Santa Rosa de Lima,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
1816818,Santa Rosa de Lima,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
1816819,Santa Rosa de Lima,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1816820,Santa Rosa de Lima,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1816821,Santa Rosa de Lima,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1816822,Santa Rosa de Lima,2020-06-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1816823,Santa Rosa de Lima,2020-06-08,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1816824,Santa Rosa de Lima,2020-06-09,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816825,Santa Rosa de Lima,2020-06-10,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816826,Santa Rosa de Lima,2020-06-11,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816827,Santa Rosa de Lima,2020-06-12,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816828,Santa Rosa de Lima,2020-06-13,4.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
1816829,Santa Rosa de Lima,2020-06-14,5.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1816830,Santa Rosa de Lima,2020-06-15,4.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
1816831,Santa Rosa de Lima,2020-06-16,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816832,Santa Rosa de Lima,2020-06-17,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816833,Santa Rosa de Lima,2020-06-18,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1816834,Santa Rosa de Lima,2020-06-19,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1816835,Santa Rosa de Lima,2020-06-20,7.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
1816836,Santa Rosa de Lima,2020-06-21,8.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1816837,Santa Rosa de Lima,2020-06-22,8.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1816838,Santa Rosa de Lima,2020-06-23,8.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1816839,Santa Rosa de Lima,2020-06-24,8.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1816840,Santa Rosa de Lima,2020-06-25,8.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1816841,Santa Rosa de Lima,2020-06-26,8.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1816842,Santa Rosa de Lima,2020-06-27,9.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1816843,Santa Rosa de Lima,2020-06-28,9.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1816844,Santa Rosa de Lima,2020-06-29,10.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1816845,Santa Rosa de Lima,2020-06-30,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816846,Santa Rosa de Lima,2020-07-01,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1816847,Santa Rosa de Lima,2020-07-02,14.0,4,0,0,0.8571428571428571,0.0,6.0,0.0
1816848,Santa Rosa de Lima,2020-07-03,14.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1816849,Santa Rosa de Lima,2020-07-04,14.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1816850,Santa Rosa de Lima,2020-07-05,14.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1816851,Santa Rosa de Lima,2020-07-06,14.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1816852,Santa Rosa de Lima,2020-07-07,16.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
1816853,Santa Rosa de Lima,2020-07-08,15.0,-1,0,0,0.7142857142857143,0.0,5.0,0.0
1816854,Santa Rosa de Lima,2020-07-09,18.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
1816855,Santa Rosa de Lima,2020-07-10,21.0,3,0,0,1.0,0.0,7.0,0.0
1816856,Santa Rosa de Lima,2020-07-11,22.0,1,0,0,1.1428571428571428,0.0,8.0,0.0
1816857,Santa Rosa de Lima,2020-07-12,24.0,2,0,0,1.4285714285714286,0.0,10.0,0.0
1816858,Santa Rosa de Lima,2020-07-13,25.0,1,0,0,1.5714285714285714,0.0,11.0,0.0
1816859,Santa Rosa de Lima,2020-07-14,34.0,9,0,0,2.5714285714285716,0.0,18.0,0.0
1816860,Santa Rosa de Lima,2020-07-15,34.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
1816861,Santa Rosa de Lima,2020-07-16,44.0,10,0,0,3.7142857142857144,0.0,26.0,0.0
