index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1849821,Santa Teresinha,2020-03-27,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1849822,Santa Teresinha,2020-03-28,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1849823,Santa Teresinha,2020-03-29,0.0,0,0,0,3.142857142857143,0.0,22.0,0.0
1849824,Santa Teresinha,2020-03-30,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
1849825,Santa Teresinha,2020-03-31,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1849826,Santa Teresinha,2020-04-01,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1849827,Santa Teresinha,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1849828,Santa Teresinha,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1849829,Santa Teresinha,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1849830,Santa Teresinha,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1849831,Santa Teresinha,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1849832,Santa Teresinha,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1849833,Santa Teresinha,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1849834,Santa Teresinha,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1849835,Santa Teresinha,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1849836,Santa Teresinha,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1849837,Santa Teresinha,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1849838,Santa Teresinha,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1849839,Santa Teresinha,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1849840,Santa Teresinha,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1849841,Santa Teresinha,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1849842,Santa Teresinha,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1849843,Santa Teresinha,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1849844,Santa Teresinha,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1849845,Santa Teresinha,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1849846,Santa Teresinha,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1849847,Santa Teresinha,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1849848,Santa Teresinha,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1849849,Santa Teresinha,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1849850,Santa Teresinha,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1849851,Santa Teresinha,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1849852,Santa Teresinha,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1849853,Santa Teresinha,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1849854,Santa Teresinha,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1849855,Santa Teresinha,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1849856,Santa Teresinha,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1849857,Santa Teresinha,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1849858,Santa Teresinha,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1849859,Santa Teresinha,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1849860,Santa Teresinha,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1849861,Santa Teresinha,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1849862,Santa Teresinha,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1849863,Santa Teresinha,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1849864,Santa Teresinha,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1849865,Santa Teresinha,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1849866,Santa Teresinha,2020-05-11,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1849867,Santa Teresinha,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849868,Santa Teresinha,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849869,Santa Teresinha,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849870,Santa Teresinha,2020-05-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849871,Santa Teresinha,2020-05-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849872,Santa Teresinha,2020-05-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849873,Santa Teresinha,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
1849874,Santa Teresinha,2020-05-19,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1849875,Santa Teresinha,2020-05-20,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1849876,Santa Teresinha,2020-05-21,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1849877,Santa Teresinha,2020-05-22,4.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1849878,Santa Teresinha,2020-05-23,5.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1849879,Santa Teresinha,2020-05-24,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1849880,Santa Teresinha,2020-05-25,6.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1849881,Santa Teresinha,2020-05-26,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1849882,Santa Teresinha,2020-05-27,10.0,4,0,0,1.0,0.0,7.0,0.0
1849883,Santa Teresinha,2020-05-28,12.0,2,0,0,1.2857142857142858,0.0,9.0,0.0
1849884,Santa Teresinha,2020-05-29,13.0,1,0,0,1.2857142857142858,0.0,9.0,0.0
1849885,Santa Teresinha,2020-05-30,13.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1849886,Santa Teresinha,2020-05-31,13.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1849887,Santa Teresinha,2020-06-01,13.0,0,0,0,1.0,0.0,7.0,0.0
1849888,Santa Teresinha,2020-06-02,16.0,3,0,0,1.4285714285714286,0.0,10.0,0.0
1849889,Santa Teresinha,2020-06-03,16.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1849890,Santa Teresinha,2020-06-04,17.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1849891,Santa Teresinha,2020-06-05,17.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1849892,Santa Teresinha,2020-06-06,17.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1849893,Santa Teresinha,2020-06-07,17.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1849894,Santa Teresinha,2020-06-08,18.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1849895,Santa Teresinha,2020-06-09,19.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1849896,Santa Teresinha,2020-06-10,20.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1849897,Santa Teresinha,2020-06-11,19.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
1849898,Santa Teresinha,2020-06-12,18.0,-1,0,0,0.14285714285714285,0.0,1.0,0.0
1849899,Santa Teresinha,2020-06-13,19.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1849900,Santa Teresinha,2020-06-14,19.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1849901,Santa Teresinha,2020-06-15,19.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849902,Santa Teresinha,2020-06-16,24.0,5,0,0,0.7142857142857143,0.0,5.0,0.0
1849903,Santa Teresinha,2020-06-17,24.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1849904,Santa Teresinha,2020-06-18,24.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1849905,Santa Teresinha,2020-06-19,25.0,1,0,0,1.0,0.0,7.0,0.0
1849906,Santa Teresinha,2020-06-20,25.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1849907,Santa Teresinha,2020-06-21,25.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1849908,Santa Teresinha,2020-06-22,25.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1849909,Santa Teresinha,2020-06-23,25.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849910,Santa Teresinha,2020-06-24,25.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1849911,Santa Teresinha,2020-06-25,26.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1849912,Santa Teresinha,2020-06-26,28.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
1849913,Santa Teresinha,2020-06-27,29.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1849914,Santa Teresinha,2020-06-28,29.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1849915,Santa Teresinha,2020-06-29,28.0,-1,0,0,0.42857142857142855,0.0,3.0,0.0
1849916,Santa Teresinha,2020-06-30,29.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1849917,Santa Teresinha,2020-07-01,30.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
