index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1762176,Santa Tereza do Oeste,2020-03-27,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1762177,Santa Tereza do Oeste,2020-03-28,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1762178,Santa Tereza do Oeste,2020-03-29,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1762179,Santa Tereza do Oeste,2020-03-30,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1762180,Santa Tereza do Oeste,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1762181,Santa Tereza do Oeste,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1762182,Santa Tereza do Oeste,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1762183,Santa Tereza do Oeste,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1762184,Santa Tereza do Oeste,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1762185,Santa Tereza do Oeste,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1762186,Santa Tereza do Oeste,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1762187,Santa Tereza do Oeste,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1762188,Santa Tereza do Oeste,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1762189,Santa Tereza do Oeste,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1762190,Santa Tereza do Oeste,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1762191,Santa Tereza do Oeste,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1762192,Santa Tereza do Oeste,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1762193,Santa Tereza do Oeste,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1762194,Santa Tereza do Oeste,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1762195,Santa Tereza do Oeste,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1762196,Santa Tereza do Oeste,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1762197,Santa Tereza do Oeste,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1762198,Santa Tereza do Oeste,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1762199,Santa Tereza do Oeste,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1762200,Santa Tereza do Oeste,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1762201,Santa Tereza do Oeste,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1762202,Santa Tereza do Oeste,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1762203,Santa Tereza do Oeste,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1762204,Santa Tereza do Oeste,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1762205,Santa Tereza do Oeste,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1762206,Santa Tereza do Oeste,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1762207,Santa Tereza do Oeste,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1762208,Santa Tereza do Oeste,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1762209,Santa Tereza do Oeste,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1762210,Santa Tereza do Oeste,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1762211,Santa Tereza do Oeste,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1762212,Santa Tereza do Oeste,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1762213,Santa Tereza do Oeste,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1762214,Santa Tereza do Oeste,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1762215,Santa Tereza do Oeste,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1762216,Santa Tereza do Oeste,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
