index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1871760,Santana do Acaraú,2020-03-27,0.0,0,0,0,0.0,0.2857142857142857,0.0,2.0
1871761,Santana do Acaraú,2020-03-28,0.0,0,0,0,0.0,0.2857142857142857,0.0,2.0
1871762,Santana do Acaraú,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1871763,Santana do Acaraú,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1871764,Santana do Acaraú,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1871765,Santana do Acaraú,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1871766,Santana do Acaraú,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1871767,Santana do Acaraú,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1871768,Santana do Acaraú,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1871769,Santana do Acaraú,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1871770,Santana do Acaraú,2020-04-06,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1871771,Santana do Acaraú,2020-04-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871772,Santana do Acaraú,2020-04-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871773,Santana do Acaraú,2020-04-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871774,Santana do Acaraú,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871775,Santana do Acaraú,2020-04-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871776,Santana do Acaraú,2020-04-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871777,Santana do Acaraú,2020-04-13,1.0,0,0,0,0.0,0.0,0.0,0.0
1871778,Santana do Acaraú,2020-04-14,1.0,0,0,0,0.0,0.0,0.0,0.0
1871779,Santana do Acaraú,2020-04-15,1.0,0,0,0,0.0,0.0,0.0,0.0
1871780,Santana do Acaraú,2020-04-16,1.0,0,0,0,0.0,0.0,0.0,0.0
1871781,Santana do Acaraú,2020-04-17,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1871782,Santana do Acaraú,2020-04-18,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1871783,Santana do Acaraú,2020-04-19,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1871784,Santana do Acaraú,2020-04-20,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1871785,Santana do Acaraú,2020-04-21,4.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1871786,Santana do Acaraú,2020-04-22,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1871787,Santana do Acaraú,2020-04-23,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1871788,Santana do Acaraú,2020-04-24,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871789,Santana do Acaraú,2020-04-25,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871790,Santana do Acaraú,2020-04-26,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871791,Santana do Acaraú,2020-04-27,5.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1871792,Santana do Acaraú,2020-04-28,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871793,Santana do Acaraú,2020-04-29,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871794,Santana do Acaraú,2020-04-30,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871795,Santana do Acaraú,2020-05-01,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871796,Santana do Acaraú,2020-05-02,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871797,Santana do Acaraú,2020-05-03,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1871798,Santana do Acaraú,2020-05-04,10.0,5,0,0,0.7142857142857143,0.0,5.0,0.0
1871799,Santana do Acaraú,2020-05-05,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1871800,Santana do Acaraú,2020-05-06,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1871801,Santana do Acaraú,2020-05-07,10.0,0,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
1871802,Santana do Acaraú,2020-05-08,11.0,1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1871803,Santana do Acaraú,2020-05-09,11.0,0,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1871804,Santana do Acaraú,2020-05-10,12.0,1,1,0,1.0,0.14285714285714285,7.0,1.0
1871805,Santana do Acaraú,2020-05-11,13.0,1,2,1,0.42857142857142855,0.2857142857142857,3.0,2.0
1871806,Santana do Acaraú,2020-05-12,13.0,0,2,0,0.42857142857142855,0.2857142857142857,3.0,2.0
1871807,Santana do Acaraú,2020-05-13,13.0,0,2,0,0.42857142857142855,0.2857142857142857,3.0,2.0
1871808,Santana do Acaraú,2020-05-14,16.0,3,2,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1871809,Santana do Acaraú,2020-05-15,16.0,0,2,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1871810,Santana do Acaraú,2020-05-16,19.0,3,2,0,1.1428571428571428,0.14285714285714285,8.0,1.0
