index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1953336,Santo Antônio do Planalto,2020-03-27,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
1953337,Santo Antônio do Planalto,2020-03-28,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
1953338,Santo Antônio do Planalto,2020-03-29,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1953339,Santo Antônio do Planalto,2020-03-30,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1953340,Santo Antônio do Planalto,2020-03-31,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1953341,Santo Antônio do Planalto,2020-04-01,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1953342,Santo Antônio do Planalto,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1953343,Santo Antônio do Planalto,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1953344,Santo Antônio do Planalto,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1953345,Santo Antônio do Planalto,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1953346,Santo Antônio do Planalto,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1953347,Santo Antônio do Planalto,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1953348,Santo Antônio do Planalto,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1953349,Santo Antônio do Planalto,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1953350,Santo Antônio do Planalto,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1953351,Santo Antônio do Planalto,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1953352,Santo Antônio do Planalto,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1953353,Santo Antônio do Planalto,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1953354,Santo Antônio do Planalto,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1953355,Santo Antônio do Planalto,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1953356,Santo Antônio do Planalto,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1953357,Santo Antônio do Planalto,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1953358,Santo Antônio do Planalto,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1953359,Santo Antônio do Planalto,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1953360,Santo Antônio do Planalto,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1953361,Santo Antônio do Planalto,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1953362,Santo Antônio do Planalto,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1953363,Santo Antônio do Planalto,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1953364,Santo Antônio do Planalto,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1953365,Santo Antônio do Planalto,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1953366,Santo Antônio do Planalto,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1953367,Santo Antônio do Planalto,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1953368,Santo Antônio do Planalto,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
