index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1847676,Santo Antônio dos Lopes,2020-03-27,0.0,0,0,0,0.8571428571428571,0.42857142857142855,6.0,3.0
1847677,Santo Antônio dos Lopes,2020-03-28,0.0,0,0,0,0.8571428571428571,0.2857142857142857,6.0,2.0
1847678,Santo Antônio dos Lopes,2020-03-29,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1847679,Santo Antônio dos Lopes,2020-03-30,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1847680,Santo Antônio dos Lopes,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1847681,Santo Antônio dos Lopes,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1847682,Santo Antônio dos Lopes,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1847683,Santo Antônio dos Lopes,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1847684,Santo Antônio dos Lopes,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1847685,Santo Antônio dos Lopes,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1847686,Santo Antônio dos Lopes,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1847687,Santo Antônio dos Lopes,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1847688,Santo Antônio dos Lopes,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1847689,Santo Antônio dos Lopes,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1847690,Santo Antônio dos Lopes,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1847691,Santo Antônio dos Lopes,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1847692,Santo Antônio dos Lopes,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1847693,Santo Antônio dos Lopes,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1847694,Santo Antônio dos Lopes,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1847695,Santo Antônio dos Lopes,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1847696,Santo Antônio dos Lopes,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1847697,Santo Antônio dos Lopes,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1847698,Santo Antônio dos Lopes,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1847699,Santo Antônio dos Lopes,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1847700,Santo Antônio dos Lopes,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1847701,Santo Antônio dos Lopes,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1847702,Santo Antônio dos Lopes,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1847703,Santo Antônio dos Lopes,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1847704,Santo Antônio dos Lopes,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1847705,Santo Antônio dos Lopes,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1847706,Santo Antônio dos Lopes,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1847707,Santo Antônio dos Lopes,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1847708,Santo Antônio dos Lopes,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1847709,Santo Antônio dos Lopes,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1847710,Santo Antônio dos Lopes,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1847711,Santo Antônio dos Lopes,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1847712,Santo Antônio dos Lopes,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1847713,Santo Antônio dos Lopes,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1847714,Santo Antônio dos Lopes,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1847715,Santo Antônio dos Lopes,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1847716,Santo Antônio dos Lopes,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1847717,Santo Antônio dos Lopes,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1847718,Santo Antônio dos Lopes,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1847719,Santo Antônio dos Lopes,2020-05-09,16.0,16,0,0,2.2857142857142856,0.0,16.0,0.0
1847720,Santo Antônio dos Lopes,2020-05-10,16.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
1847721,Santo Antônio dos Lopes,2020-05-11,18.0,2,0,0,2.5714285714285716,0.0,18.0,0.0
1847722,Santo Antônio dos Lopes,2020-05-12,20.0,2,0,0,2.857142857142857,0.0,20.0,0.0
1847723,Santo Antônio dos Lopes,2020-05-13,34.0,14,0,0,4.857142857142857,0.0,34.0,0.0
1847724,Santo Antônio dos Lopes,2020-05-14,34.0,0,0,0,4.857142857142857,0.0,34.0,0.0
1847725,Santo Antônio dos Lopes,2020-05-15,59.0,25,0,0,8.428571428571429,0.0,59.0,0.0
1847726,Santo Antônio dos Lopes,2020-05-16,75.0,16,0,0,8.428571428571429,0.0,59.0,0.0
1847727,Santo Antônio dos Lopes,2020-05-17,75.0,0,0,0,8.428571428571429,0.0,59.0,0.0
1847728,Santo Antônio dos Lopes,2020-05-18,79.0,4,0,0,8.714285714285714,0.0,61.0,0.0
1847729,Santo Antônio dos Lopes,2020-05-19,89.0,10,0,0,9.857142857142858,0.0,69.0,0.0
1847730,Santo Antônio dos Lopes,2020-05-20,92.0,3,0,0,8.285714285714286,0.0,58.0,0.0
1847731,Santo Antônio dos Lopes,2020-05-21,93.0,1,0,0,8.428571428571429,0.0,59.0,0.0
1847732,Santo Antônio dos Lopes,2020-05-22,93.0,0,0,0,4.857142857142857,0.0,34.0,0.0
1847733,Santo Antônio dos Lopes,2020-05-23,108.0,15,0,0,4.714285714285714,0.0,33.0,0.0
1847734,Santo Antônio dos Lopes,2020-05-24,108.0,0,0,0,4.714285714285714,0.0,33.0,0.0
1847735,Santo Antônio dos Lopes,2020-05-25,108.0,0,0,0,4.142857142857143,0.0,29.0,0.0
1847736,Santo Antônio dos Lopes,2020-05-26,140.0,32,1,1,7.285714285714286,0.14285714285714285,51.0,1.0
1847737,Santo Antônio dos Lopes,2020-05-27,141.0,1,2,1,7.0,0.2857142857142857,49.0,2.0
1847738,Santo Antônio dos Lopes,2020-05-28,141.0,0,2,0,6.857142857142857,0.2857142857142857,48.0,2.0
1847739,Santo Antônio dos Lopes,2020-05-29,191.0,50,2,0,14.0,0.2857142857142857,98.0,2.0
1847740,Santo Antônio dos Lopes,2020-05-30,190.0,-1,2,0,11.714285714285714,0.2857142857142857,82.0,2.0
1847741,Santo Antônio dos Lopes,2020-05-31,227.0,37,2,0,17.0,0.2857142857142857,119.0,2.0
1847742,Santo Antônio dos Lopes,2020-06-01,227.0,0,2,0,17.0,0.2857142857142857,119.0,2.0
1847743,Santo Antônio dos Lopes,2020-06-02,255.0,28,2,0,16.428571428571427,0.14285714285714285,115.0,1.0
1847744,Santo Antônio dos Lopes,2020-06-03,254.0,-1,2,0,16.142857142857142,0.0,113.0,0.0
1847745,Santo Antônio dos Lopes,2020-06-04,286.0,32,2,0,20.714285714285715,0.0,145.0,0.0
1847746,Santo Antônio dos Lopes,2020-06-05,296.0,10,2,0,15.0,0.0,105.0,0.0
1847747,Santo Antônio dos Lopes,2020-06-06,295.0,-1,2,0,15.0,0.0,105.0,0.0
1847748,Santo Antônio dos Lopes,2020-06-07,323.0,28,2,0,13.714285714285714,0.0,96.0,0.0
1847749,Santo Antônio dos Lopes,2020-06-08,323.0,0,2,0,13.714285714285714,0.0,96.0,0.0
