index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1936728,Selvíria,2020-03-27,0.0,0,0,0,1.1428571428571428,0.2857142857142857,8.0,2.0
1936729,Selvíria,2020-03-28,0.0,0,0,0,1.1428571428571428,0.2857142857142857,8.0,2.0
1936730,Selvíria,2020-03-29,0.0,0,0,0,0.8571428571428571,0.14285714285714285,6.0,1.0
1936731,Selvíria,2020-03-30,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1936732,Selvíria,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1936733,Selvíria,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1936734,Selvíria,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1936735,Selvíria,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1936736,Selvíria,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1936737,Selvíria,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1936738,Selvíria,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1936739,Selvíria,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1936740,Selvíria,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1936741,Selvíria,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1936742,Selvíria,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1936743,Selvíria,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1936744,Selvíria,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1936745,Selvíria,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1936746,Selvíria,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1936747,Selvíria,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1936748,Selvíria,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1936749,Selvíria,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1936750,Selvíria,2020-04-18,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1936751,Selvíria,2020-04-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1936752,Selvíria,2020-04-20,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1936753,Selvíria,2020-04-21,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1936754,Selvíria,2020-04-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1936755,Selvíria,2020-04-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1936756,Selvíria,2020-04-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1936757,Selvíria,2020-04-25,1.0,0,0,0,0.0,0.0,0.0,0.0
1936758,Selvíria,2020-04-26,1.0,0,0,0,0.0,0.0,0.0,0.0
1936759,Selvíria,2020-04-27,1.0,0,0,0,0.0,0.0,0.0,0.0
1936760,Selvíria,2020-04-28,1.0,0,0,0,0.0,0.0,0.0,0.0
1936761,Selvíria,2020-04-29,1.0,0,0,0,0.0,0.0,0.0,0.0
1936762,Selvíria,2020-04-30,1.0,0,0,0,0.0,0.0,0.0,0.0
1936763,Selvíria,2020-05-01,1.0,0,0,0,0.0,0.0,0.0,0.0
1936764,Selvíria,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
1936765,Selvíria,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
1936766,Selvíria,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1936767,Selvíria,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1936768,Selvíria,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1936769,Selvíria,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1936770,Selvíria,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
1936771,Selvíria,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
1936772,Selvíria,2020-05-10,1.0,0,0,0,0.0,0.0,0.0,0.0
1936773,Selvíria,2020-05-11,1.0,0,0,0,0.0,0.0,0.0,0.0
1936774,Selvíria,2020-05-12,1.0,0,0,0,0.0,0.0,0.0,0.0
1936775,Selvíria,2020-05-13,1.0,0,0,0,0.0,0.0,0.0,0.0
1936776,Selvíria,2020-05-14,1.0,0,0,0,0.0,0.0,0.0,0.0
1936777,Selvíria,2020-05-15,1.0,0,0,0,0.0,0.0,0.0,0.0
1936778,Selvíria,2020-05-16,1.0,0,0,0,0.0,0.0,0.0,0.0
1936779,Selvíria,2020-05-17,1.0,0,0,0,0.0,0.0,0.0,0.0
1936780,Selvíria,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
