index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1914936,Senador Guiomard,2020-03-27,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
1914937,Senador Guiomard,2020-03-28,0.0,0,0,0,2.0,0.0,14.0,0.0
1914938,Senador Guiomard,2020-03-29,0.0,0,0,0,2.0,0.0,14.0,0.0
1914939,Senador Guiomard,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1914940,Senador Guiomard,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1914941,Senador Guiomard,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1914942,Senador Guiomard,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1914943,Senador Guiomard,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1914944,Senador Guiomard,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1914945,Senador Guiomard,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1914946,Senador Guiomard,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1914947,Senador Guiomard,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1914948,Senador Guiomard,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1914949,Senador Guiomard,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1914950,Senador Guiomard,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1914951,Senador Guiomard,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1914952,Senador Guiomard,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1914953,Senador Guiomard,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1914954,Senador Guiomard,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1914955,Senador Guiomard,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1914956,Senador Guiomard,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1914957,Senador Guiomard,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1914958,Senador Guiomard,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1914959,Senador Guiomard,2020-04-19,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1914960,Senador Guiomard,2020-04-20,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914961,Senador Guiomard,2020-04-21,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914962,Senador Guiomard,2020-04-22,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914963,Senador Guiomard,2020-04-23,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914964,Senador Guiomard,2020-04-24,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914965,Senador Guiomard,2020-04-25,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914966,Senador Guiomard,2020-04-26,2.0,0,0,0,0.0,0.0,0.0,0.0
1914967,Senador Guiomard,2020-04-27,2.0,0,0,0,0.0,0.0,0.0,0.0
1914968,Senador Guiomard,2020-04-28,2.0,0,0,0,0.0,0.0,0.0,0.0
1914969,Senador Guiomard,2020-04-29,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1914970,Senador Guiomard,2020-04-30,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1914971,Senador Guiomard,2020-05-01,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1914972,Senador Guiomard,2020-05-02,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1914973,Senador Guiomard,2020-05-03,6.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1914974,Senador Guiomard,2020-05-04,10.0,4,0,0,1.1428571428571428,0.0,8.0,0.0
1914975,Senador Guiomard,2020-05-05,11.0,1,0,0,1.2857142857142858,0.0,9.0,0.0
