index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1933344,Senhora do Porto,2020-03-27,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1933345,Senhora do Porto,2020-03-28,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1933346,Senhora do Porto,2020-03-29,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1933347,Senhora do Porto,2020-03-30,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1933348,Senhora do Porto,2020-03-31,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1933349,Senhora do Porto,2020-04-01,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1933350,Senhora do Porto,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1933351,Senhora do Porto,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1933352,Senhora do Porto,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1933353,Senhora do Porto,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1933354,Senhora do Porto,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1933355,Senhora do Porto,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1933356,Senhora do Porto,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1933357,Senhora do Porto,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1933358,Senhora do Porto,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1933359,Senhora do Porto,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1933360,Senhora do Porto,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1933361,Senhora do Porto,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1933362,Senhora do Porto,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1933363,Senhora do Porto,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1933364,Senhora do Porto,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1933365,Senhora do Porto,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1933366,Senhora do Porto,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1933367,Senhora do Porto,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1933368,Senhora do Porto,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1933369,Senhora do Porto,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1933370,Senhora do Porto,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1933371,Senhora do Porto,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1933372,Senhora do Porto,2020-04-24,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1933373,Senhora do Porto,2020-04-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1933374,Senhora do Porto,2020-04-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1933375,Senhora do Porto,2020-04-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1933376,Senhora do Porto,2020-04-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1933377,Senhora do Porto,2020-04-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1933378,Senhora do Porto,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1933379,Senhora do Porto,2020-05-01,1.0,0,0,0,0.0,0.0,0.0,0.0
1933380,Senhora do Porto,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
1933381,Senhora do Porto,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
1933382,Senhora do Porto,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1933383,Senhora do Porto,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1933384,Senhora do Porto,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1933385,Senhora do Porto,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1933386,Senhora do Porto,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
1933387,Senhora do Porto,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
1933388,Senhora do Porto,2020-05-10,1.0,0,0,0,0.0,0.0,0.0,0.0
1933389,Senhora do Porto,2020-05-11,1.0,0,0,0,0.0,0.0,0.0,0.0
1933390,Senhora do Porto,2020-05-12,1.0,0,0,0,0.0,0.0,0.0,0.0
1933391,Senhora do Porto,2020-05-13,1.0,0,0,0,0.0,0.0,0.0,0.0
1933392,Senhora do Porto,2020-05-14,1.0,0,0,0,0.0,0.0,0.0,0.0
1933393,Senhora do Porto,2020-05-15,1.0,0,0,0,0.0,0.0,0.0,0.0
1933394,Senhora do Porto,2020-05-16,1.0,0,0,0,0.0,0.0,0.0,0.0
1933395,Senhora do Porto,2020-05-17,1.0,0,0,0,0.0,0.0,0.0,0.0
1933396,Senhora do Porto,2020-05-18,1.0,0,0,0,0.0,0.0,0.0,0.0
1933397,Senhora do Porto,2020-05-19,1.0,0,0,0,0.0,0.0,0.0,0.0
1933398,Senhora do Porto,2020-05-20,1.0,0,0,0,0.0,0.0,0.0,0.0
1933399,Senhora do Porto,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
1933400,Senhora do Porto,2020-05-22,1.0,0,0,0,0.0,0.0,0.0,0.0
1933401,Senhora do Porto,2020-05-23,1.0,0,0,0,0.0,0.0,0.0,0.0
1933402,Senhora do Porto,2020-05-24,1.0,0,0,0,0.0,0.0,0.0,0.0
1933403,Senhora do Porto,2020-05-25,1.0,0,0,0,0.0,0.0,0.0,0.0
1933404,Senhora do Porto,2020-05-26,1.0,0,0,0,0.0,0.0,0.0,0.0
1933405,Senhora do Porto,2020-05-27,1.0,0,0,0,0.0,0.0,0.0,0.0
1933406,Senhora do Porto,2020-05-28,1.0,0,0,0,0.0,0.0,0.0,0.0
1933407,Senhora do Porto,2020-05-29,1.0,0,0,0,0.0,0.0,0.0,0.0
1933408,Senhora do Porto,2020-05-30,1.0,0,0,0,0.0,0.0,0.0,0.0
1933409,Senhora do Porto,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
1933410,Senhora do Porto,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
1933411,Senhora do Porto,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
1933412,Senhora do Porto,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
1933413,Senhora do Porto,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1933414,Senhora do Porto,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1933415,Senhora do Porto,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1933416,Senhora do Porto,2020-06-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1933417,Senhora do Porto,2020-06-08,1.0,0,0,0,0.0,0.0,0.0,0.0
1933418,Senhora do Porto,2020-06-09,1.0,0,0,0,0.0,0.0,0.0,0.0
