index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1889850,Serra Azul,2020-03-27,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1889851,Serra Azul,2020-03-28,0.0,0,0,0,1.0,0.14285714285714285,7.0,1.0
1889852,Serra Azul,2020-03-29,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1889853,Serra Azul,2020-03-30,0.0,0,0,0,0.7142857142857143,0.14285714285714285,5.0,1.0
1889854,Serra Azul,2020-03-31,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1889855,Serra Azul,2020-04-01,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
1889856,Serra Azul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1889857,Serra Azul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1889858,Serra Azul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1889859,Serra Azul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1889860,Serra Azul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1889861,Serra Azul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1889862,Serra Azul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1889863,Serra Azul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1889864,Serra Azul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1889865,Serra Azul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1889866,Serra Azul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1889867,Serra Azul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1889868,Serra Azul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1889869,Serra Azul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1889870,Serra Azul,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1889871,Serra Azul,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1889872,Serra Azul,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1889873,Serra Azul,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1889874,Serra Azul,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1889875,Serra Azul,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1889876,Serra Azul,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1889877,Serra Azul,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1889878,Serra Azul,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1889879,Serra Azul,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1889880,Serra Azul,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1889881,Serra Azul,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1889882,Serra Azul,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1889883,Serra Azul,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1889884,Serra Azul,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1889885,Serra Azul,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1889886,Serra Azul,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1889887,Serra Azul,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1889888,Serra Azul,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1889889,Serra Azul,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1889890,Serra Azul,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1889891,Serra Azul,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1889892,Serra Azul,2020-05-08,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1889893,Serra Azul,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889894,Serra Azul,2020-05-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889895,Serra Azul,2020-05-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889896,Serra Azul,2020-05-12,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889897,Serra Azul,2020-05-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889898,Serra Azul,2020-05-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889899,Serra Azul,2020-05-15,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1889900,Serra Azul,2020-05-16,1.0,-1,0,0,0.0,0.0,0.0,0.0
1889901,Serra Azul,2020-05-17,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1889902,Serra Azul,2020-05-18,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889903,Serra Azul,2020-05-19,1.0,-1,0,0,0.0,0.0,0.0,0.0
1889904,Serra Azul,2020-05-20,1.0,0,0,0,0.0,0.0,0.0,0.0
1889905,Serra Azul,2020-05-21,1.0,0,0,0,0.0,0.0,0.0,0.0
1889906,Serra Azul,2020-05-22,1.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1889907,Serra Azul,2020-05-23,1.0,0,0,0,0.0,0.0,0.0,0.0
1889908,Serra Azul,2020-05-24,1.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1889909,Serra Azul,2020-05-25,1.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1889910,Serra Azul,2020-05-26,1.0,0,0,0,0.0,0.0,0.0,0.0
1889911,Serra Azul,2020-05-27,1.0,0,0,0,0.0,0.0,0.0,0.0
1889912,Serra Azul,2020-05-28,1.0,0,0,0,0.0,0.0,0.0,0.0
1889913,Serra Azul,2020-05-29,1.0,0,0,0,0.0,0.0,0.0,0.0
1889914,Serra Azul,2020-05-30,1.0,0,0,0,0.0,0.0,0.0,0.0
1889915,Serra Azul,2020-05-31,1.0,0,0,0,0.0,0.0,0.0,0.0
1889916,Serra Azul,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
1889917,Serra Azul,2020-06-02,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1889918,Serra Azul,2020-06-03,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889919,Serra Azul,2020-06-04,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889920,Serra Azul,2020-06-05,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889921,Serra Azul,2020-06-06,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889922,Serra Azul,2020-06-07,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889923,Serra Azul,2020-06-08,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889924,Serra Azul,2020-06-09,2.0,0,0,0,0.0,0.0,0.0,0.0
1889925,Serra Azul,2020-06-10,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1889926,Serra Azul,2020-06-11,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889927,Serra Azul,2020-06-12,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889928,Serra Azul,2020-06-13,4.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1889929,Serra Azul,2020-06-14,6.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1889930,Serra Azul,2020-06-15,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889931,Serra Azul,2020-06-16,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889932,Serra Azul,2020-06-17,5.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
1889933,Serra Azul,2020-06-18,7.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1889934,Serra Azul,2020-06-19,7.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889935,Serra Azul,2020-06-20,7.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889936,Serra Azul,2020-06-21,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889937,Serra Azul,2020-06-22,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889938,Serra Azul,2020-06-23,7.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1889939,Serra Azul,2020-06-24,7.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889940,Serra Azul,2020-06-25,9.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1889941,Serra Azul,2020-06-26,9.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889942,Serra Azul,2020-06-27,9.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889943,Serra Azul,2020-06-28,9.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889944,Serra Azul,2020-06-29,10.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1889945,Serra Azul,2020-06-30,10.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889946,Serra Azul,2020-07-01,10.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889947,Serra Azul,2020-07-02,13.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
1889948,Serra Azul,2020-07-03,13.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889949,Serra Azul,2020-07-04,13.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889950,Serra Azul,2020-07-05,13.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889951,Serra Azul,2020-07-06,13.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889952,Serra Azul,2020-07-07,14.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1889953,Serra Azul,2020-07-08,16.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
1889954,Serra Azul,2020-07-09,16.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889955,Serra Azul,2020-07-10,16.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889956,Serra Azul,2020-07-11,17.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1889957,Serra Azul,2020-07-12,17.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889958,Serra Azul,2020-07-13,17.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1889959,Serra Azul,2020-07-14,17.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1889960,Serra Azul,2020-07-15,18.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1889961,Serra Azul,2020-07-16,18.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889962,Serra Azul,2020-07-17,19.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1889963,Serra Azul,2020-07-18,19.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889964,Serra Azul,2020-07-19,19.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889965,Serra Azul,2020-07-20,19.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1889966,Serra Azul,2020-07-21,19.0,0,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
1889967,Serra Azul,2020-07-22,21.0,2,2,1,0.42857142857142855,0.2857142857142857,3.0,2.0
1889968,Serra Azul,2020-07-23,21.0,0,2,0,0.42857142857142855,0.2857142857142857,3.0,2.0
1889969,Serra Azul,2020-07-24,23.0,2,2,0,0.5714285714285714,0.2857142857142857,4.0,2.0
1889970,Serra Azul,2020-07-25,28.0,5,2,0,1.2857142857142858,0.2857142857142857,9.0,2.0
1889971,Serra Azul,2020-07-26,28.0,0,2,0,1.2857142857142858,0.2857142857142857,9.0,2.0
1889972,Serra Azul,2020-07-27,28.0,0,2,0,1.2857142857142858,0.2857142857142857,9.0,2.0
1889973,Serra Azul,2020-07-28,28.0,0,2,0,1.2857142857142858,0.14285714285714285,9.0,1.0
1889974,Serra Azul,2020-07-29,54.0,26,2,0,4.714285714285714,0.0,33.0,0.0
1889975,Serra Azul,2020-07-30,57.0,3,2,0,5.142857142857143,0.0,36.0,0.0
1889976,Serra Azul,2020-07-31,58.0,1,2,0,5.0,0.0,35.0,0.0
1889977,Serra Azul,2020-08-01,60.0,2,2,0,4.571428571428571,0.0,32.0,0.0
1889978,Serra Azul,2020-08-02,61.0,1,2,0,4.714285714285714,0.0,33.0,0.0
1889979,Serra Azul,2020-08-03,61.0,0,2,0,4.714285714285714,0.0,33.0,0.0
1889980,Serra Azul,2020-08-04,65.0,4,2,0,5.285714285714286,0.0,37.0,0.0
1889981,Serra Azul,2020-08-05,65.0,0,2,0,1.5714285714285714,0.0,11.0,0.0
1889982,Serra Azul,2020-08-06,65.0,0,2,0,1.1428571428571428,0.0,8.0,0.0
1889983,Serra Azul,2020-08-07,65.0,0,2,0,1.0,0.0,7.0,0.0
1889984,Serra Azul,2020-08-08,66.0,1,2,0,0.8571428571428571,0.0,6.0,0.0
1889985,Serra Azul,2020-08-09,66.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
1889986,Serra Azul,2020-08-10,66.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
1889987,Serra Azul,2020-08-11,68.0,2,2,0,0.42857142857142855,0.0,3.0,0.0
1889988,Serra Azul,2020-08-12,68.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
1889989,Serra Azul,2020-08-13,69.0,1,2,0,0.5714285714285714,0.0,4.0,0.0
1889990,Serra Azul,2020-08-14,77.0,8,2,0,1.7142857142857142,0.0,12.0,0.0
1889991,Serra Azul,2020-08-15,79.0,2,2,0,1.8571428571428572,0.0,13.0,0.0
1889992,Serra Azul,2020-08-16,79.0,0,2,0,1.8571428571428572,0.0,13.0,0.0
1889993,Serra Azul,2020-08-17,79.0,0,2,0,1.8571428571428572,0.0,13.0,0.0
1889994,Serra Azul,2020-08-18,80.0,1,2,0,1.7142857142857142,0.0,12.0,0.0
1889995,Serra Azul,2020-08-19,87.0,7,2,0,2.7142857142857144,0.0,19.0,0.0
1889996,Serra Azul,2020-08-20,100.0,13,2,0,4.428571428571429,0.0,31.0,0.0
1889997,Serra Azul,2020-08-21,100.0,0,2,0,3.2857142857142856,0.0,23.0,0.0
1889998,Serra Azul,2020-08-22,105.0,5,2,0,3.7142857142857144,0.0,26.0,0.0
1889999,Serra Azul,2020-08-23,108.0,3,2,0,4.142857142857143,0.0,29.0,0.0
