index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1952756,Serranos,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1952757,Serranos,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1952758,Serranos,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1952759,Serranos,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1952760,Serranos,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1952761,Serranos,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1952762,Serranos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1952763,Serranos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1952764,Serranos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1952765,Serranos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1952766,Serranos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1952767,Serranos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1952768,Serranos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1952769,Serranos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1952770,Serranos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1952771,Serranos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1952772,Serranos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1952773,Serranos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1952774,Serranos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1952775,Serranos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1952776,Serranos,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1952777,Serranos,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
