index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1936508,Siqueira Campos,2020-03-27,0.0,0,0,0,16.428571428571427,1.2857142857142858,115.0,9.0
1936509,Siqueira Campos,2020-03-28,0.0,0,0,0,12.857142857142858,1.2857142857142858,90.0,9.0
1936510,Siqueira Campos,2020-03-29,0.0,0,0,0,11.142857142857142,1.0,78.0,7.0
1936511,Siqueira Campos,2020-03-30,0.0,0,0,0,8.857142857142858,0.8571428571428571,62.0,6.0
1936512,Siqueira Campos,2020-03-31,0.0,0,0,0,4.857142857142857,0.2857142857142857,34.0,2.0
1936513,Siqueira Campos,2020-04-01,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1936514,Siqueira Campos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1936515,Siqueira Campos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1936516,Siqueira Campos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1936517,Siqueira Campos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1936518,Siqueira Campos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1936519,Siqueira Campos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1936520,Siqueira Campos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1936521,Siqueira Campos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1936522,Siqueira Campos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1936523,Siqueira Campos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1936524,Siqueira Campos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1936525,Siqueira Campos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1936526,Siqueira Campos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1936527,Siqueira Campos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1936528,Siqueira Campos,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1936529,Siqueira Campos,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1936530,Siqueira Campos,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1936531,Siqueira Campos,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1936532,Siqueira Campos,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1936533,Siqueira Campos,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1936534,Siqueira Campos,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1936535,Siqueira Campos,2020-04-23,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1936536,Siqueira Campos,2020-04-24,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1936537,Siqueira Campos,2020-04-25,2.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1936538,Siqueira Campos,2020-04-26,2.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1936539,Siqueira Campos,2020-04-27,1.0,-1,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1936540,Siqueira Campos,2020-04-28,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1936541,Siqueira Campos,2020-04-29,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1936542,Siqueira Campos,2020-04-30,1.0,0,1,0,0.0,0.0,0.0,0.0
1936543,Siqueira Campos,2020-05-01,1.0,0,1,0,0.0,0.0,0.0,0.0
1936544,Siqueira Campos,2020-05-02,1.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1936545,Siqueira Campos,2020-05-03,1.0,0,1,0,-0.14285714285714285,0.0,-1.0,0.0
1936546,Siqueira Campos,2020-05-04,1.0,0,1,0,0.0,0.0,0.0,0.0
1936547,Siqueira Campos,2020-05-05,1.0,0,1,0,0.0,0.0,0.0,0.0
1936548,Siqueira Campos,2020-05-06,1.0,0,1,0,0.0,0.0,0.0,0.0
1936549,Siqueira Campos,2020-05-07,1.0,0,1,0,0.0,0.0,0.0,0.0
1936550,Siqueira Campos,2020-05-08,1.0,0,1,0,0.0,0.0,0.0,0.0
1936551,Siqueira Campos,2020-05-09,1.0,0,1,0,0.0,0.0,0.0,0.0
