index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1972960,Souto Soares,2020-03-27,0.0,0,0,0,9.285714285714286,1.2857142857142858,65.0,9.0
1972961,Souto Soares,2020-03-28,0.0,0,0,0,6.714285714285714,1.1428571428571428,47.0,8.0
1972962,Souto Soares,2020-03-29,0.0,0,0,0,5.428571428571429,1.1428571428571428,38.0,8.0
1972963,Souto Soares,2020-03-30,0.0,0,0,0,3.5714285714285716,0.5714285714285714,25.0,4.0
1972964,Souto Soares,2020-03-31,0.0,0,0,0,1.8571428571428572,0.5714285714285714,13.0,4.0
1972965,Souto Soares,2020-04-01,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1972966,Souto Soares,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1972967,Souto Soares,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1972968,Souto Soares,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1972969,Souto Soares,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1972970,Souto Soares,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1972971,Souto Soares,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1972972,Souto Soares,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1972973,Souto Soares,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1972974,Souto Soares,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1972975,Souto Soares,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1972976,Souto Soares,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1972977,Souto Soares,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1972978,Souto Soares,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1972979,Souto Soares,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1972980,Souto Soares,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1972981,Souto Soares,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1972982,Souto Soares,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1972983,Souto Soares,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1972984,Souto Soares,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1972985,Souto Soares,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1972986,Souto Soares,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1972987,Souto Soares,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1972988,Souto Soares,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1972989,Souto Soares,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1972990,Souto Soares,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1972991,Souto Soares,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1972992,Souto Soares,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1972993,Souto Soares,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1972994,Souto Soares,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1972995,Souto Soares,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1972996,Souto Soares,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1972997,Souto Soares,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1972998,Souto Soares,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1972999,Souto Soares,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1973000,Souto Soares,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1973001,Souto Soares,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1973002,Souto Soares,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1973003,Souto Soares,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1973004,Souto Soares,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1973005,Souto Soares,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1973006,Souto Soares,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1973007,Souto Soares,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1973008,Souto Soares,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1973009,Souto Soares,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1973010,Souto Soares,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1973011,Souto Soares,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1973012,Souto Soares,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1973013,Souto Soares,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1973014,Souto Soares,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1973015,Souto Soares,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1973016,Souto Soares,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1973017,Souto Soares,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1973018,Souto Soares,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1973019,Souto Soares,2020-05-25,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1973020,Souto Soares,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1973021,Souto Soares,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1973022,Souto Soares,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1973023,Souto Soares,2020-05-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1973024,Souto Soares,2020-05-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1973025,Souto Soares,2020-05-31,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1973026,Souto Soares,2020-06-01,1.0,0,0,0,0.0,0.0,0.0,0.0
1973027,Souto Soares,2020-06-02,1.0,0,0,0,0.0,0.0,0.0,0.0
1973028,Souto Soares,2020-06-03,1.0,0,0,0,0.0,0.0,0.0,0.0
1973029,Souto Soares,2020-06-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1973030,Souto Soares,2020-06-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1973031,Souto Soares,2020-06-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1973032,Souto Soares,2020-06-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1973033,Souto Soares,2020-06-08,1.0,0,0,0,0.0,0.0,0.0,0.0
1973034,Souto Soares,2020-06-09,1.0,0,0,0,0.0,0.0,0.0,0.0
1973035,Souto Soares,2020-06-10,1.0,0,0,0,0.0,0.0,0.0,0.0
1973036,Souto Soares,2020-06-11,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
